PROVINCE,STANDARD,FIELD,SPECIES COMPOSITION INFORMATION (1)*,,,,,,,,,,,,,,,,,,,
BC,Forest Cover Inventory,Species       Species%,"5 Species to nearest 10% by volume. Composition codes 1(6-15), 2(16-25), 3(26-35), 4(36-45), 5(46-55), 6(56-65), 7(66-75), 8(76-85), 9(86-95), 10(96-100)",,,,,,,,,,,,,,,,,,,
,VRI 2.4,Species       Species%,6 Species to nearest 1% by basal area or density (trees ave ht< 2m),,,,,,,,,,,,,,,,,,,
AB,Phase 3,"S1,S2,S3,S4             U1,U2,U3,U4","4 Species based on % of gross roundwood volume and/ or percentage of crown closure (0 and 1 ht class). Up to 3 species, each comprising at least 20% of stand content and no more than 1 species constituting 11%-20%. 10% or less is not recorded but included with similar species. (SEE RULES FOR SPECIES % ASSIGNMENT)",,,,,,,,,,,,,,,,,,,
,AVI 2.1,Species       Species%,"5 Species to nearest 10% based on crown closure. Composition codes 1(6-15), 2(16-25), 3(26-35), 4(36-45), 5(46-55), 6(56-65), 7(66-75), 8(76-85), 9(86-95), 10(96-100) ",,,,,,,,,,,,,,,,,,,
,AVI 2.1+,Species       Species%,5 Species same as AVI 2.1 ,,,,,,,,,,,,,,,,,,,
SK,UTM,Species,4 Species ,Described by 2-part cover type and sub type                                                                                                   Primary species have > 25% of volume of stand.    Secondary species have <25% of volume of stand,,,,,,,,,,,,,,,,,,
,SFVI,Species        Species %,6 Species to nearest 10% by crown closure ,,,,,,,,,,,,,,,,,,,
MB,Prior 1998,Cover type      Sub type     Species Comp,4 Species to nearest 10% by basal area; also see cover type/sub type for general species cover- ,,,,,,,,,"10 cover type codes (0-3=S, 4-7=M, 8=N, 9=H)                                                                                                                                                22 softwood (S), 24 mixedwood (M), 9 mixedwood (N), 15 hardwood (H) subtypes",,,,,,,,,,
,FLI,SP#                   SP# PER,6 Species to nearest 10% by crown closure. Numeric codes from 1 to 10 representing 10% cover classes are used,,,,,,,,,,,,,,,,,,,
ON,FRI,SPC,10 Species to nearest 10% by basal area,,,,,,,,,,,,,,,,,,,
,FRI FIM,OSPCOMP          USPCOMP,10 Species to nearest 10% by crown closure,,,,,,,,,,,,,,,,,,,
,FRI NBI,SPC,10 Species to nearest 10% by crown closure,,,,,,,,,,,,,,,,,,,
QC,TIE (3rd),GES_CO,"Species designated in terms of cover type, species groups and subgroups.              (Codes may represent a combination of species or species association). Plantation spp and certain islands with white spruce are identified separately.",,,,,,,Cover type:   Species group:        Sub group:,"Softwood (3 types), mixedwood (47 types), hardwood (16 types)                                                                                                                      Major species in stand based on % crown closure 75% or 50%                                                                                                                                            Secondary species at least 25% of cover type",,,,,,,,"Three species codes can be entered, a code can repesent a species or group.",,,
,QIE (4th),GES_CO,"Same set up as per the 3rd, however species list and codes are revised and better defined - moving towards species  % by crown closure",,,,,,,,,,,,,,,,,,,
PE,Pre 2000,Cover Class,"3-5 Species to nearest 10% by crown closure. First species designates major component of stand, second species important minor component, third any other component. First and second must represent > 75%",,,,,,,,,,,,,,,,,,,
,2000,CoverClass# Percent#,7 Species to nearest 10% by crown closure.,,,,,,,,,,,,,,,,,,,
NB,Pre 2003,Species,"3 Species to nearest 10% by gross merch. volume. Minimum requirement of 20% per species, 18 species and species groups recognized, hardwoods not specified by species but by 3 groups (TH,IH, H) for productive forest stand types",,,,,,,,,,,,,,,,,,,
,2003,Species,5 Species,"FST1 (all merchantable)  FST2 (with unmerchantable understory)  FST3 (no merchantable component), non-productive forest does not identify species beyond hardwood/ softwood",,,,,,,,,,,,,,,,,,
NS,Pre 2006,Species,4 Species to nearest 10% of crown composition ,,,,,,,,,,,,,,,,,,,
,2006,Species,"4 Species to nearest 10% of crown composition. For two-storied stands the second story identifies only broad species groups (S, SH, HS, H)",,,,,,,,,,,,,,,,,,,
NL,2005,Species,"3 Species based on total basal area, any single species must comprise > 25%",,,,,,,,,,,,,,,,,,,
WBNP,1979,v#sp#,"4 Species per each vegetation plant community (V1 to V7) based on percent cover. Note: also includes non tree codes for Alder, Willow, Ericaceous, and Graminoid.",,,,,,,,,,,,,,,,,,,
PANP,1968,,,,,,,,,,,,,,,,,,,,,
YT,2.1,SP #                      SP# PER,4 Species to nearest 10% by crown closure,,,,,,,,,,,,,,,,,,,
NT,3.0,SP #                      SP# PER,4 Species to nearest 10% by crown closure,,,,,,,,,,,,,,,,,,,
