header_id,jurisdiction,owner_type,owner_name,inventory_type,inventory_version,inventory_manual,source_data_format,acquisition_date,data_transfer,received_from,contact_info,data_availability,redistribution,permission,license_agreement,source_data_photoyear,photoyear_start,photoyear_end
AB_0003,AB,PROV_GOV                      ,CROWN_BLUERIDGE                                                                                                                                       ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,E00                           ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)                                                                                                                                                          ",Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1990,1998
AB_0006,AB,PROV_GOV                      ,CROWN_GRODONBUCHANAN                                                                                                                                  ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,E00                           ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)                                                                                                                                                          ",Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1996,2000
AB_0007,AB,PROV_GOV                      ,CROWN_MANNINGDIVERSIFIED                                                                                                                              ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,E00                           ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)                                                                                                                                                          ",Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1997,2003
AB_0008,AB,PROV_GOV                      ,CROWN_MILLARWESTIN                                                                                                                                    ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,E00                           ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)                                                                                                                                                          ",Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1990,1997
AB_0010,AB,PROV_GOV                      ,CROWN_TOLKO                                                                                                                                           ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,E00                           ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)                                                                                                                                                          ",Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1987,2003
AB_0011,AB,PROV_GOV                      ,CROWN_WELWOOD                                                                                                                                         ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,E00                           ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)                                                                                                                                                          ",Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1987,2001
AB_0014,AB,INDUSTRY                      ,ALPAC                                                                                                                                                 ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,E00                           ,27/02/2009                    ,On a DVD                      ,Gido from Timberline Natural resource group                                                                                                           ,Unknown                                                                                                                                                                                                                                                                                                                                                       ,Direct contact                                                                                                                                        ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired. Signed version is with Alpac                                                                                                                 ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1988,2000
AB_0016,AB,INDUSTRY                      ,CANFOR                                                                                                                                                ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,Coverage                      ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,Unknown                                                                                                                                                                                                                                                                                                                                                       ,Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1988,1995
AB_0018,AB,INDUSTRY                      ,DMI                                                                                                                                                   ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,Coverage                      ,2000                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,Unknown                                                                                                                                                                                                                                                                                                                                                       ,Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1988,2003
AB_0020,AB,INDUSTRY                      ,SLAVELAKEPULP                                                                                                                                         ,AVI                           ,2.1 other                     ,NA,Coverage                      ,2000                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,Unknown                                                                                                                                                                                                                                                                                                                                                       ,Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1991,2001
AB_0021,AB,INDUSTRY                      ,TOLKO                                                                                                                                                 ,AVI                           ,2.1                           ,AVI 2.1 manual                                    ,Shapefile                     ,2004                          ,Missing                       ,Harry Stelfox                                                                                                                                         ,Unknown                                                                                                                                                                                                                                                                                                                                                       ,Alberta Sustainable Resources Development                                                                                                             ,Needs direct agreement from the owner under the license agreement                                                                                     ,RESTRICTED                                                                                                                                            ,Expired                                                                                                                                               ,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect                                                     ,1988,2003
