INVENTORY_ID,JURISDICTION,OWNER_TYPE,OWNER_NAME,STANDARD_TYPE,STANDARD_VERSION,STANDARD_ID,STANDARD_REVISION,STANDARD_MANUAL_NAME,SRC_DATA_FORMAT,PRODUCTION_YEARS,PUBLICATION_DATE,ACQUISITION_DATE,ACQUISITION_TYPE,ACQUISITION_LINKS,CONTACT_INFO,DATA_AVAILABILITY,REDISTRIBUTION,PERMISSION,LICENSE_AGREEMENT,LICENSE_AGREEMENT_URL,PHOTO_YEAR_SRC,PHOTO_YEAR_START,PHOTO_YEAR_END,COMMENT,CAS04_EXPORT_SRC_SCRIPT,CAS04_FILE_LOCATION,CAS02,CAS03,CAS04,CAS05_INITIAL,CAS05_TEMPORAL
AB01,Alberta,PROV_GOV,CROWN,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",NOT_APPLICABLE,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1996,1996,Not used in CASFRI v3. Has been replaced by AB_0025 that have a better coverage. Only FMU S7 and P11 was kept. Contact info was provided in the description of the data (READ ME.doc),NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB02,Alberta,PROV_GOV,CROWN_ALPAC,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,-8886,-8886,Not used in CASFRI v3. Received under BEEST project,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB03,Alberta,PROV_GOV,CROWN_BLUERIDGE,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1990,1998,Received under BEEST project,Export_ABCROWNFMA_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWNFMA/BlueRidge,YES,YES,YES,YES,YES
AB04,Alberta,PROV_GOV,CROWN_CANFOR,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1988,1995,Not used in CASFRI v3. Received under BEEST project,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB05,Alberta,PROV_GOV,CROWN_DAISHOWA,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1996,1996,Not used in CASFRI v3. Received under BEEST project,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB06,Alberta,PROV_GOV,CROWN_GRODONBUCHANAN,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1996,2000,Received under BEEST project,Export_ABCROWNFMA_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWNFMA/GordonBuchananTolko,YES,YES,YES,YES,YES
AB07,Alberta,PROV_GOV,CROWN_MANNINGDIVERSIFIED,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1997,2003,Received under BEEST project,Export_ABCROWNFMA_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWNFMA/ManningDiversified,YES,YES,YES,YES,YES
AB08,Alberta,PROV_GOV,CROWN_MILLARWESTIN,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1990,1997,Received under BEEST project,Export_ABCROWNFMA_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWNFMA/MillerWestin,YES,YES,YES,YES,YES
AB09,Alberta,PROV_GOV,CROWN_SLAVELAKEPULP,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1991,2001,Not used in CASFRI v3. Received under BEEST project,NOT_APPLICABLE,CASFRI/FRIs/AB/SourceDataset/v.00.03,YES,NO,NO,NO,YES
AB10,Alberta,PROV_GOV,CROWN_TOLKO,AVI,2.1,AVI01,,AVI 2.1 manual,ESRI_E00,UNKNOWN_VALUE,UNKNOWN_VALUE,2004,UNKNOWN_VALUE,NOT_APPLICABLE,"Harry Stelfox, Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,REQUIRES_AGREEMENT,RESTRICTED,EXPIRED,NOT_APPLICABLE,SPATIAL_JOIN,1987,2003,Received under BEEST project,Export_ABCROWNFMA_V4.py,CASFRI/FRIs/AB/SourceDataset/v.00.04/CROWNFMA/Tolko,YES,YES,YES,YES,YES
