PROVINCE,STANDARD,TYPE,FIELD,"CAS  LOWER AND UPPER BOUND (Lower is > and Upper is <) Numbers within a box on top are the class, those on the bottom are bounds of the class",,,,,,,,,,,,,,,,,,,
BC,For. Cov. Inv.,CLASS (10%),CC,0,1,2,3,4,5,6,7,8,9,10,,,,,,,,,
,,,,0-5,6-15,16-25,26-35,36-45,46-55,56-65,66-75,76-85,86-95,96-100,,,,,,,,,
,VRI,Nearest 1%,Crown Closure,1-100,,,,,,,,,,,,,,,,,,,
AB,Phase 3,CLASS,CC,A             6-30,B           31-50,C            51-70,D               71-100,,,,,,,,,,,,,,,,
,AVI 2.1,CLASS,Crown Closure,A             6-30,B           31-50,C            51-70,D               71-100,,,,,,,,,,,,,,,,
,AVI 2.1 +,Nearest 1%,Crown Closure,1-100,,,,,,,,,,,,,,,,,,,
,AVI 2.1 other,Nearest 10%,Crown Closure,0             6-10,1            11-20,2            21-30,3            31.40,4             41-50,5           51-60,6           61-70,7           71-80,8           81-90,9           91-100,,,,,,,,,,
SK,SERM,CLASS,CC,A             11-30,B           31-55,C            56-80,D               81-100,,,,,,,,,,,,,,,,
,SFVI 4.0,Nearest 1%,Crown Closure,1-100,,,,,,,,,,,,,,,,,,,
MB,Prior 1997,CLASS,Crown Closure,1             0-20,2           21-50,3           51-70,4            71-100,,,,,,,,,,,,,,,,
,1997,CLASS (10%),Crown Closure,0                 0-10,1           11-20,2            21-30,3              31-40,4             41-50,5             51-60,6             61-70,7            71-80,8             81-90,9           91-100,,,,,,,,,,
,FLI,CLASS (0%),CC,0                 1-5 (with Canlay V),0             6-10,1             11-20,2             21-30,3              31-40,4             41-50,5             51-60,6             61-70,7            71-80,8             81-90,9           91-100,,"NOTE: Shrub crown closure is included with the shrub code in NNF_ANTH, e.g. SC6 (closed shrub with 61%-70% crown closure). Shrub crown closure will need to be pulled from here and placed in the crown closure field for CAS",,,,,,,
ON,FRI,-,No Field,None,,,,,,,,,,,,,,,,,,,
,FRI FIM,Nearest 1%,OCCLO         UCCLO,1-100,,,,,,,,,,,,,,,,,,,
,FRI NBI,Nearest 1%,Crown Closure,1-100,,,,,,,,,,,,,,,,,,,
QC,3rd,CLASS,CDE_CO,A                     25-40        ,B              40-60,C             60-80,D                 80-100,,,,,,,,,,,,,,,,
,4th,CLASS,CDE_CO,A                     25-40        ,B              40-60,C             60-80,D                 80-100,,,,,,,,,,,,,,,,
PE,Pre 2000,CLASS,Crown Closure,A                     0-30        ,B            31-60,C            61-80,D                   81-100,,,,,,,,,,,,,,,,
,2000,Nearest 1%,CROWN,1-100,,,,,,,,,,,,,,,,,,,
NB,Pre 2003,,,,,,,,,,,,,,,,,,,,,,
,2003,CLASS,Crown Closure,1           10-30,2                31-50,3                    51-70,4                71-90,5                         91 - 100,61 Patchy       10-30,62 Patchy               31-50,63 Patchy           51-70,64 Patchy    71-90         ,Codes 1 to 5 used with normal cover distribution; codes 61 to 64 used with patchy vegetation distribution,,,,,,,,,,
NS,Pre 2006,CLASS (10%),Crown Closure,1               0-10,2                  11-20,3                    21-30,4                31-40,5                41-50,6            51-60,7                           61-70,8                     71-80,9                      81-90,10                91-100,,,,,,,,,,
,2006,CLASS (5%),Crown Closure,"Assigned in 5% increments from 0 to 95%.  e.g 27% = 25, 3% = 05",,,,,,,,                                                                                                            ,,,,,,,,,,,
NL,2005,CLASS,Crown Closure,DI or NSRV                 1-25,3             26-50,2                 51-75,1             76-100,0                                                                        Cannot be defined from interpretation,,,,,Non Commercial Forest,,,1               76-100,2               51-75,3               26-50,4               10-25,"Must identify comercial forest vs non commercial first, then assign appropriate CC code",,,
WBNP,1979,Nearest 1%,pent#,"Describes primary coverage in percentage. Codes start at 01= 1%, then, for example: 05= 5%, 35= 35%, and 00= 100%",,,,,,,,,,,,,,,,,,,
PANP,1968,,,,,,,,,,,,,,,,,,,,,,
YT,2.1,CLASS (5%),CC,0-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71-75,76-80,81-85,86-90,91-95,96-100
NT,3.0,CLASS (5%),CrownClos,0                    0-5,10              6-15,20             16-25,30            26-35,40         36-45,50           46-55,60           56-65,70          66-75,80           76-85,90          86-95,100         96-100,Crown closure may appear in 10% or 5% classes depending on inventory,,,,,,,,
,3.0,CLASS (10%),CrownClos,0-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71-75,76-80,81-85,86-90,91-95,96-100
