Group,Attribute,Type
HDR,IDENTIFICATION_ID,int
,JURISDICTION,str
,COORDINATE_SYS,str
,PROJECTION,str
,DATUM,str
,INVENTORY_OWNER,str
,LAND_OWNER,str
,PERMISSION,str
,TENURE_TYPE,str
,INV_TYPE,str
,INV_VERSION,str
,INV_START_YR,int
,INV_FINISH_YR,int
,INV_ACQ_ID,str
,INV_ACQ_YR,int
,INV_UPDATE_YR,str
CAS,CAS_ID,str
,ORIG_STAND_ID,int
,STAND_STRUCTURE,str
,NUM_OF_LAYERS,int
,IDENTIFICATION_ID,int
,MAP_SHEET_ID,str
,GIS_AREA,float
,GIS_PERIMETER,float
,INVENTORY_AREA,float
,PHOTO_YEAR,int
LYR,CAS_ID,str
,SOIL_MOIST_REG,str
,STRUCTURE_PER,int
,LAYER,int
,LAYER_RANK,int
,CROWN_CLOSURE_UPPER,int
,CROWN_CLOSURE_LOWER,int
,HEIGHT_UPPER,int
,HEIGHT_LOWER,int
,PRODUCTIVE_FOR,str
,SPECIES_1,str
,SPECIES_PER_1,int
,SPECIES_2,str
,SPECIES_PER_2,int
,SPECIES_3,str
,SPECIES_PER_3,int
,SPECIES_4,str
,SPECIES_PER_4,int
,SPECIES_5,str
,SPECIES_PER_5,int
,SPECIES_6,str
,SPECIES_PER_6,int
,SPECIES_7,str
,SPECIES_PER_7,int
,SPECIES_8,str
,SPECIES_PER_8,int
,SPECIES_9,str
,SPECIES_PER_9,int
,SPECIES_10,str
,SPECIES_PER_10,int
,ORIGIN_UPPER,int
,ORIGIN_LOWER,int
,SITE_CLASS,str
,SITE_INDEX,float
NFL,CAS_ID,str
,SOIL_MOIST_REG,str
,STRUCTURE_PER,str
,LAYER,int
,LAYER_RANK,int
,CROWN_CLOSURE_UPPER,int
,CROWN_CLOSURE_LOWER,int
,HEIGHT_UPPER,int
,HEIGHT_LOWER,int
,NAT_NON_VEG,str
,NON_FOR_ANTH,str
,NON_FOR_VEG,str
DST,CAS_ID,str
,DIST_1,str
,DIST_YR_1,int
,DIST_EXT_UPPER_1,int
,DIST_EXT_LOWER_1,int
,DIST_2,str
,DIST_YR_2,int
,DIST_EXT_UPPER_2,int
,DIST_EXT_LOWER_2,int
,DIST_3,str
,DIST_YR_3,int
,DIST_EXT_UPPER_3,int
,DIST_EXT_LOWER_3,int
,LAYER,int
ECO,CAS_ID,str
,WETLAND_TYPE,str
,WET_VEG_COVER,str
,WET_LANDFORM_MOD,str
,WET_LOCAL_MOD,str
,ECO_SITE,int
