Error type,Description,Function,Generic Small Four Char Code,Generic Large Four Char Code,Generic Small Int Code,Generic Large Int Code,Generic Double Code,Generic Text Code,
Special values,,,,,,,,,
-Infinity,Negative infinity,NO FUNCTION,-2222,-222222222,-32768,-2147483648,-2147483648,MINUS_INF,
+Infinity,Positive infinity,NO FUNCTION,-2221,-222222221,32767,2147483647,2147483647,PLUS_INF,
Missing values,,,,,,,,,
Null,Undefined value - true null value,TT_NotNull(),-8888,-888888888,-32767,-2147483647,-2147483647,NULL_VALUE,
Empty string,Missing that is not null,TT_NotEmpty(),,,,,,EMPTY_STRING,
Not applicable,Target attribute not in source table,TT_False(),-8887,-888888887,-32765,-2147483645,-2147483645,NOT_APPLICABLE,
Invalid values,,,,,,,,,
Out of range,Value is outside the range of values,TT_Between(); TT_GreaterThan(); TT_LesserThan(),-9999,-999999999,-32764,-2147483644,-2147483644,OUT_OF_RANGE,
Not member of set,Value is not a member of a set or list,TT_Match(),-9998,-999999998,-32763,-2147483643,-2147483643,NOT_IN_SET,
Invalid value,Invalid value,NO FUNCTION,-9997,-999999997,-32762,-2147483642,-2147483642,INVALID,
Precision too high,Precision is greater than allowed,NO FUNCTION,-9996,-999999996,-32761,-2147483641,-2147483641,WRONG_PRECISION,
Wrong data type,Value is of the wrong data type,TT_IsInt(); TT_IsNumeric(); TT_IsString(),-9995,-999999995,-32760,-2147483640,-2147483640,WRONG_TYPE,
