Group,Attribute,Min,Max,Null,Missing,Infinity
HDR,IDENTIFICATION_ID,,,,,
,JURISDICTION,,,,,
,COORDINATE_SYS,,,,,
,PROJECTION,,,,,
,DATUM,,,,,
,INVENTORY_OWNER,,,,,
,LAND_OWNER,,,,,
,PERMISSION,,,,,
,TENURE_TYPE,,,,,
,INV_TYPE,,,,,
,INV_VERSION,,,,,
,INV_START_YR,,,,,
,INV_FINISH_YR,,,,,
,INV_ACQ_ID,,,,,
,INV_ACQ_YR,,,,,
,INV_UPDATE_YR,,,,,
CAS,CAS_ID,,,,,
,ORIG_STAND_ID,,,,,
,STAND_STRUCTURE,,,,,
,NUM_OF_LAYERS,,,,,
,IDENTIFICATION_ID,,,,,
,MAP_SHEET_ID,,,,,
,GIS_AREA,,,,,
,GIS_PERIMETER,,,,,
,INVENTORY_AREA,,,,,
,PHOTO_YEAR,,,,,
LYR,CAS_ID,,,,,
,SOIL_MOIST_REG,,,,,
,STRUCTURE_PER,,,,,
,LAYER,,,,,
,LAYER_RANK,,,,,
,CROWN_CLOSURE_UPPER,0,100,NA,,
,CROWN_CLOSURE_LOWER,0,100,NA,,
,HEIGHT_UPPER,0,100,NA,,
,HEIGHT_LOWER,0,100,NA,,
,PRODUCTIVE_FOR,,,,,
,SPECIES_1,,,,,
,SPECIES_PER_1,,,,,
,SPECIES_2,,,,,
,SPECIES_PER_2,,,,,
,SPECIES_3,,,,,
,SPECIES_PER_3,,,,,
,SPECIES_4,,,,,
,SPECIES_PER_4,,,,,
,SPECIES_5,,,,,
,SPECIES_PER_5,,,,,
,SPECIES_6,,,,,
,SPECIES_PER_6,,,,,
,SPECIES_7,,,,,
,SPECIES_PER_7,,,,,
,SPECIES_8,,,,,
,SPECIES_PER_8,,,,,
,SPECIES_9,,,,,
,SPECIES_PER_9,,,,,
,SPECIES_10,,,,,
,SPECIES_PER_10,,,,,
,ORIGIN_UPPER,,,,,
,ORIGIN_LOWER,,,,,
,SITE_CLASS,,,,,
,SITE_INDEX,,,,,
NFL,CAS_ID,,,,,
,SOIL_MOIST_REG,,,,,
,STRUCTURE_PER,,,,,
,LAYER,,,,,
,LAYER_RANK,,,,,
,CROWN_CLOSURE_UPPER,,,,,
,CROWN_CLOSURE_LOWER,,,,,
,HEIGHT_UPPER,,,,,
,HEIGHT_LOWER,,,,,
,NAT_NON_VEG,,,,,
,NON_FOR_ANTH,,,,,
,NON_FOR_VEG,,,,,
DST,CAS_ID,,,,,
,DIST_1,,,,,
,DIST_YR_1,,,,,
,DIST_EXT_UPPER_1,,,,,
,DIST_EXT_LOWER_1,,,,,
,DIST_2,,,,,
,DIST_YR_2,,,,,
,DIST_EXT_UPPER_2,,,,,
,DIST_EXT_LOWER_2,,,,,
,DIST_3,,,,,
,DIST_YR_3,,,,,
,DIST_EXT_UPPER_3,,,,,
,DIST_EXT_LOWER_3,,,,,
,LAYER,,,,,
ECO,CAS_ID,,,,,
,WETLAND_TYPE,,,,,
,WET_VEG_COVER,,,,,
,WET_LANDFORM_MOD,,,,,
,WET_LOCAL_MOD,,,,,
,ECO_SITE,,,,,
