Class,Type,Description,Text code,Numeric code,Function,Example
Special values,-Infinity,Negative infinity,MINUS_INF,-2222,NO FUNCTION,
,+Infinity,Positive infinity,PLUS_INF,-2221,NO FUNCTION,
Missing values,Empty string,Missing that is not null,EMPTY_STRING,-8889,TT_NotEmpty(),
,Null,Undefined value - true null value,NULL_VALUE,-8888,TT_NotNull(),
,Not applicable,Target attribute not in source table,NOT_APPLICABLE,-8887,TT_False(),
,Unknown value,Non-null value that is not known,UNKNOWN_VALUE,-8886,,PHOTO_YEAR in AB
,Unused value,Non-null value that is not used in CAS,UNUSED_VALUE,-8885,,DIST_EXT_UPPER_1 in ab16
Invalid values,Out of range,Value is outside the range of values,OUT_OF_RANGE,-9999,TT_Between(); TT_GreaterThan(); TT_LesserThan(),
,Not member of set,Value is not a member of a set or list,NOT_IN_SET,-9998,TT_Match(),
,Invalid value,Invalid value,INVALID_VALUE,-9997,NO FUNCTION,
,Precision too high,Precision is greater than allowed,WRONG_PRECISION,-9996,NO FUNCTION,
,Wrong data type,Value is of the wrong data type,WRONG_TYPE,-9995,TT_IsInt(); TT_IsNumeric(); TT_IsString(),
Generic,Translation error,Generic translation error,TRANSLATION_ERROR,-3333,,
Geometry,Invalid geometry,Invalid geometry in one or more polygons,INVALID_GEOMETRY,-7779,,
,No intersect,FRI does not intersect any polygons,NO_INTERSECT,-7778,,
