Attribute,Description,AttributeValue
JURISDICTION,British Columbia,BC
JURISDICTION,Alberta,AB
JURISDICTION,Saskatchewan,SK
JURISDICTION,Manitoba,MB
JURISDICTION,Ontario,ON
JURISDICTION,Quebec,QC
JURISDICTION,Prince Edward Island,PE
JURISDICTION,New Brunswick,NB
JURISDICTION,Nova Scotia,NS
JURISDICTION,Newfoundland and Labrador,NL
JURISDICTION,Yukon Territory,YK
JURISDICTION,Northwest Territories,NT
JURISDICTION,Wood Buffalo National Park,WB
JURISDICTION,Prince Albert National Park,PA
COORDINATE_SYSTEM,Universal Trans Mercator,UTM
COORDINATE_SYSTEM,British Columbia Geographic System,BCGS
COORDINATE_SYSTEM,National Topographic System,NTS
COORDINATE_SYSTEM,Ontario Base Map,OBM
COORDINATE_SYSTEM,Township System,TOWNSHIP
PROJECTION,Albers System,ALBERS
PROJECTION,Universal Trans Mercator System,UTM
DATUM,North American Datum 1927,NAD27
DATUM,North American Datum 1983,NAD83
INV_OWNER,Provincial Government,PROV_GOV
INV_OWNER,Federal Government,FED_GOV
INV_OWNER,Yukon Territory or Northwest Territories,TERRITORY
INV_OWNER,First Nations,FN
INV_OWNER,Industry,INDUSTRY
INV_OWNER,Private,PRIVATE
LAND_OWNER,Crown,CROWN
LAND_OWNER,Private,PRIVATE
LAND_OWNER,Military,MILITARY
LAND_OWNER,First Nation,FN
PERMISSIONS,Use of the inventory data is unrestricted,UNRESTRICTED
PERMISSIONS,Use of the inventory data has restrictions,RESTRICTED
PERMISSIONS,Use of the data has limitations,LIMITED
TENURE_TYPE,Tree Farm License,TFL
TENURE_TYPE,Forest License,FL
TENURE_TYPE,Forest Management Agreement,FMA
TENURE_TYPE,Forest Management License Agreement,FMLA
TENURE_TYPE,Sustainable Forest License,SFL
TENURE_TYPE,National or Provincial Park,PARK
TENURE_TYPE,Northern Boreal Initiative,NBI
TENURE_TYPE,Private Land,PRIVATE
TENURE_TYPE,Administered by the Military,MILITARY
TENURE_TYPE,First Nation or M&eacute;tis Area,FN
TENURE_TYPE,Tenure type not on list,OTHER
TENURE_TYPE,Timber Limit,TL
TENURE_TYPE,No tenure,NONE
INV_TYPE,Inventory name or type of inventory,Alpha Numeric
INV_VERSION,The standard and version of the standard used to create the inventory,Alpha Numeric
REFERENCE_YEAR_MIN and REFERENCE_YEAR_MAX,Reference Year Minimum - first year of inventory,1960 - 2020
REFERENCE_YEAR_MIN and REFERENCE_YEAR_MAX,Reference Year Maximum - last year of inventory,1960 - 2020
INV_START_YR and INV_FINISH_YR,Inventory start year - year inventory was started,1960 - 2020
INV_START_YR and INV_FINISH_YR,Inventory finish year - year inventory was finished,1960 - 2020
INV_UPDATE_YR,Year when an update to the inventory data was updated,1960 - 2020
INV_ACQ_YR,Year inventory was acquired for CAS,2008 - 2020
INV_ACQ_ID,Data acquisition identification number,1 - 1000
ORIGINAL_STAND_ID,Original stand identification - unique number for each polygon within the original inventory,"1 - 10,000,000"
CAS_STAND_ID,CAS stand identification - unique number for each polygon within CAS,Alpha Numeric
MAPSHEET_ID,Map sheet identification according to original naming convention for an inventory,Alpha Numeric
IDENTIFICATION_ID,Unique number for a particular inventory section,1 - 1000
POLYGON_AREA and POLYGON_PERIMETER,Polygon area (ha).,"0.1 - 10,000"
POLYGON_AREA and POLYGON_PERIMETER,Polygon perimeter (ha).,0.1 - infinity
PHOTO_YEAR_MIN and PHOTO_YEAR_MAX,Photo Year Minimum - earliest year of aerial photo acquisition,1960 - 2020
PHOTO_YEAR_MIN and PHOTO_YEAR_MAX,Photo Year Maximum - last year of aerial photo acquisition,1960 - 2020
ADM_UNIT_1 and ADM_UNIT_2,Administration Unit 1,"Alpha Numeric,e.g. FMU"
ADM_UNIT_1 and ADM_UNIT_2,Administration Unit 2,"Alpha Numeric, e.g. WC"
STAND STRUCTURE,Single layered - vegetation within a polygon where the heights do not vary significantly.,S
STAND STRUCTURE,"Multilayered - two or more distinct layers of vegetation occur. Each layer is significant, clearly observable and evenly distributed. Each layer is assigned an independent description.",M
STAND STRUCTURE,Complex - stands exhibit a high variation of heights with no single,C
STAND STRUCTURE,Horizontal - two or more significant strata within the same polygon; at least one of the strata is too small to delineate as a separate H polygon.,
STAND_STRUCTURE_PER and STAND_STRUCTURE_ RANGE,"Stand Structure Percent - used with horizontal stands to identify the percentage, in 10% increments, strata within the polygon. Must add up to 100%. Only two strata represented by each homogeneous descriptions are allowed per polygon.",9-Jan
STAND_STRUCTURE_PER and STAND_STRUCTURE_ RANGE,Stand Structure Range - height range (m) around the midpoint height of the stand.,9-Jan
NUMBER_OF_LAYERS,Identifies the number of vegetation or non vegetation layers assigned to a particular polygon. A maximum of 9 layers can be identified.,9-Jan
LAYER,Identifies the number of vegetation or non vegetation layers assigned to a particular polygon. A maximum of 9 layers can be identified.,"1 - 9, V"
LAYER RANK,"Layer Rank - value assigned sequentially to layer of importance. Rank 1 is the most important layer followed by Rank 2, etc.",9-Jan
LAYER RANK,Blank - no value,
SMR,Dry - Soil retains moisture for a negligible period following precipitation with very rapid drained substratum.,D
SMR,Mesic - Soils retains moisture for moderately short to short periods following precipitation with moderately well drained substratum.,F
SMR,Moist - Soil retains abundant to substantial moisture for much of the growing season with slow soil infiltration.,M
SMR,"Wet - Poorly drained to flooded where the water table is usually at or near the surface, or the land is covered by shallow water.",W
SMR,Aquatic - Permanent deep water areas characterized by hydrophytic vegetation (emergent) that grows in or at the surface of water.,A
SMR,Blank - no value,
CROWN_CLOSURE_UPPER and CROWN_CLOSURE_LOWER,Upper Bound - upper bound of a crown closure class,0 - 100
CROWN_CLOSURE_UPPER and CROWN_CLOSURE_LOWER,Lower Bound - lower bound of a crown closure class,0 - 100
