Appendix 4  Soil Regime Moisture  - Summary of Canadian Forest Inventories and CAS Conversion,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,COMMOM: MOISTURE_REGIME,,,,
,,,,,,,,,,,,,,,D,F,M,W,A
,,,,,,,,,,,,,,,DRY,MESIC,MOIST,WET,AQUATIC
PROVINCE,STANDARD,FIELD,       CODES,,,,,,,,,,,,CONVERSION TO CAS,,,,
BC,Forest Cover Inventory,NO FIELD,,,,,,,,,,,,,,,,,
,VRI,Soil_Moisture_Regime,VX                  0 ,X               1,SX            2,SM                 3,M                    4,SG                    5,HG                     6,SD                     7,,HD                     8,,,"VX, X, SX = D  ","SM, M=F  ","SG, HG=M  ","SD, HD=W",
AB,AVI 2.1,MOISTURE REGIME,,D,,,M,,,,W,,,A,D=D  ,M=F,W=W,A=A,
,AVI2.1+,MOISTURE REGIME,VX                         0,X               1,SX            2,SM                 3,M                    4,SG                    5,HG                     6,SD                     7,  ,HD                     8,,,"0,1,2 = D  ","3,4=F  ", 5=M  ," 6,7=W",8=A
,PHASE 3,NO FIELD,,,,,,,,,,,,,,,,,
SK,SERM,NO FIELD,CAN DERIVE FROM DRINAGE CLASS AND UNPRODUCTIVE WETLAND TYPES,,,,,,,,Very poorly drained = W                               Poorly drained = M,,,Imperfectly drained = M        Moderatley  drained = F,,Well drained = F                Very rapidly drained = D                                                   Rapidly drained = D,,,
,SFVI 4.0,Soil_Moisture_Regime,VD,D,MF,F,VF,MM,M,VM,MW,W,VW,,"VD, D=D  ","MF, F, VF=F  ","MM, M, VM-M  ","MW, W, VW=W",
MB,To 1996,NO FIELD,,,,,,,,,,,,,,,,,
,1997,MOISTURE,1=arid,2=dry,,,,,3=moist,,,4=wet,,, 1=D ,2=D,3=M,4=W,
,FLI,MR,D ,,,F,V,M,,,,W,,,D=D       W=W,"F,V=F",M=M,W=W,
ON,FRI,NO FIELD (CAN DERIVE FROM ECOSITE),,,,,,,,,,,,,,,,,
,FRI FIM,NO FIELD (CAN DERIVE FROM ECOSITE),,,,,,,,,,,,,,,,,
,FRI NBI,Soil_Moisture_Regime,VD,D,MF,F,VF,MM,M,VM,MW,W,VW,,"VD, D=D      ","MF, F, VF=F","MM, M, VM=M","MW, W, VW=W",
QC,3rd Inventory,RHY_CO                       Regime Hydrique,1                                             X,2                       SX,SM,3                 M,,,4                     SH,,,5                        W,,,"1,2=D           ",3=F,4=M,5=W,
,,Class de Drainage,Moisture can also be derived from drainage class (CDR_CO): Use the first number of the two number code.,,,,,,,,,,,,"0,1=D","2,3=F",4=M,"5,6=W",
PE,2000,NO FIELD,,,,,,,,,,,,,,,,,
NB,2003,NO FIELD,,,,,,,,,,,,,,,,,
NS,2006,NO FIELD,,,,,,,,,,,,,,,,,
NL,2005,NO FIELD,Identifies W (wet) and D (dry) Biophtsical Class for Non Commercial Forest Land,,,,,,,,,,,,D=D,,W=W,,
WBNP,1979,v#moi,Describes vegetation class moisture regime. Values range from 0 to 3 with 0 being driest and 3 the wettest.,,,,,,,,,,Do not confuse with moict field,,1=D,2=F,3=M,4=W,
PANP,1968,,,,,,,,,,,,,,,,,,
YT,2.1,SMR,,D,,,,,M,,,W,,A,D=D,M=F,W=W,A=A,
NT,3.0,MOISTURE  ,VX,X,SX,SM,,,M,SG,HG,SD,HD,,"VX, X, SX=D","SM, M=F","SG, HG=M","SD, HD=W",
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,25/01/2010
