PROVINCE,STANDARD,TYPE,FIELD,COMMON INVENTORY LOWER AND UPPER BOUND (Meters) (Lower bound is > and < for upper bound),,,,,,,,,
BC,Forest Cover Inventory,CLASS,HEIGHT,1                     0-10.4,2                10.5-19.4,3                      19.5-28.4,4                          28.5-37.4,5                      37.5-46.4,6                    46.5-55.4,7                       55.5-64.4,8                                   64.5-INFINITY,,
,VRI,Nearest 0.1m,HEIGHT,0.1 +,,,,,,,,,
AB,Phase 3,CLASS,HEIGHT,0                  0-6.0,1                    6.1-12.0,2               12.1-18.0,3                18.1 - 24.0,4          24.1-30.0,5                                     30.1-INFINITY,,,,
,AVI 2-1,Nearest 1m,HEIGHT,1+,,,,,,,,,
,AVI 2.1+,Nearest 0.1m,HEIGHT,0.5+,,,,,,,,,
SK,UTM,CLASS,HEIGHT,5                       2.5 - 7.5,10                        7.6-12.5,15                          12.6 - 17.5,20                              17.6 - 22.5,25                                           22.6-INFINITY,,,,,
,SFVI 4.0,Nearest 1m,HEIGHT,1+,,,,,,,,,
MB,Pre 1996,NONE,No Field,Height was not recorded prior to 1996,,,,,,,,,
,1997,Nearest 1m,HT,1+,,,,,,,,,
,FLI,Nearest 1m,HEIGHT,1+,,,,,,,,,
ON,FRI,Nearest 1m,HT,1+,,,,,,,,,
,FRI FIM,Nearest 1m,HT,1+,,,,,,,,,
,NBI,Nearest 1m,HT,0.1+,,,,,,,,,
QC,3rd,CLASS,CHA_CO Hauteur,6                         <4,5                                   4-7,4                                            7-12,3                                       12-17,2                                   17-22,1                                    22-INFINITY,,,,
PE,Pre 2000,CLASS,HEIGHT,1                               0.0-5.0,2                                       5.1-10.0,3                                            10.1 15.0,4                                                15.1-20.1,5                                         20.1-INFINITY,,,,,
,2000,Nearest 1m,HEIGHT,1+,,,,,,,,,
NB,Pre 2003,,No Field,"Not interpreted, but incorporated in age and site class data",,,,,,,,,
,2003,Nearest 1m,HEIGHT,1+,,,,,,,,,
NS,,Nearest 1m,HEIGHT,1+,,,,,,,,,
,2006,Nearest 1m,HEIGHT,1+,,,,,,,,,
NL,2005,CLASS,HEIGHT,1                                    0 - 3.5,2                                3.6-6.5,3                                6.6-9.5,4                                           9.6-12.5,5                                              12.6-15.5,6                             15.6-18.5,7                          18.6-21.5     ,8                                       21.6-INFINITY,Codes 1-5 also assigned to non commercial forest,
WBNP,1979,CLASS,v#htc,0                           < 1,1                          1 - 5,2                             6 - 10,3                             11 - 15,13                   1 - 15,14                   1 - 20,23                   6 - 10,24                   6 - 15,34                    11 - 20,35                 45                                          11 - 20         16 - 26
PANP,1968,,,,,,,,,,,,
YT,2.1,Nearest 1m,AVE_HT,1+,,Also have minimum and maximum height fields,,,,,,,
NT,3.0,Nearest 1m,HEIGHT,1+,,,,,,,,,
