CASFRI HEADER ID,JURISDICTION,OWNER TYPE,OWNER NAME,INVENTORY TYPE,INVENTORY VERSION,INVENTORY MANUALS,SOURCE DATA FORMAT,ACQUISITION DATE,DATA TRANSFER,RECEIVED FROM ,CONTACT INFO,DATA AVAILABILITY,REDISTRIBUTION  (derived product),PERMISSION,LICENSE AGREEMENTS,SOURCE DATA PHOTOYEAR,PHOTOYEAR START,PHOTOYEAR END,COVERAGE IMAGE,Name of the original dataset,COMMENT,ExportedSourceFiles  Pythonscript (v4),PHOTO_YR_FORMAT_Marc,Location_on_harddrive_Marc,CAS02,CAS03,CAS04,CAS05_initial,CAS05_temporal
AB_0001,AB,PROV_GOV,CROWN,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Not applicable,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1996,1996,JPEG,,Not used in CASFRI v3. Has been replaced by AB_0025 that have a better coverage. Only FMU S7 and P11 was kept. Contact info was provided in the description of the data (READ ME.doc),,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB_0002,AB,PROV_GOV,CROWN_ALPAC,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,,,JPEG,,Not used in CASFRI v3. Received under BEEST project,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB_0003,AB,PROV_GOV,CROWN_BLUERIDGE,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1990,1998,JPEG,,Received under BEEST project,Export_ABCROWNFMA_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/CROWNFMA/BlueRidge,X,X,X,X,X
AB_0004,AB,PROV_GOV,CROWN_CANFOR,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1988,1995,JPEG,,Not used in CASFRI v3. Received under BEEST project,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB_0005,AB,PROV_GOV,CROWN_DAISHOWA,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1996,1996,JPEG,,Not used in CASFRI v3. Received under BEEST project,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB_0006,AB,PROV_GOV,CROWN_GRODONBUCHANAN,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1996,2000,JPEG,,Received under BEEST project,Export_ABCROWNFMA_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/CROWNFMA/GordonBuchananTolko,X,X,X,X,X
AB_0007,AB,PROV_GOV,CROWN_MANNINGDIVERSIFIED,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1997,2003,JPEG,,Received under BEEST project,Export_ABCROWNFMA_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/CROWNFMA/ManningDiversified,X,X,X,X,X
AB_0008,AB,PROV_GOV,CROWN_MILLARWESTIN,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1990,1997,JPEG,,Received under BEEST project,Export_ABCROWNFMA_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/CROWNFMA/MillerWestin,X,X,X,X,X
AB_0009,AB,PROV_GOV,CROWN_SLAVELAKEPULP,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1991,2001,JPEG,,Not used in CASFRI v3. Received under BEEST project,,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.03,X,,,,X
AB_0010,AB,PROV_GOV,CROWN_TOLKO,AVI,2.1,AVI 2.1 manual,E00,2004,Missing,Harry Stelfox,"Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)",Alberta Sustainable Resources Development,Needs direct agreement from the owner under the license agreement,RESTRICTED,Expired,Independent shapefile provides by the province. Fetch at the polygon level by a spatial intersect,1987,2003,JPEG,,Received under BEEST project,Export_ABCROWNFMA_V4.py,SPATIAL_JOIN,FRIs/AB/SourceDataset/v.00.04/CROWNFMA/Tolko,X,X,X,X,X
