values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
NOT_APPLICABLE,4614,1522,1030,5852,24476,9146,8553,21184,39017,4555,1142604,1421223,NA,6856,10669,NA,41052,73893,252564,333114,NA,87348,84546,69446,77270,129868,152048,NA,476,29169,1182003,81709,1240062,3111711,2383413,64052,NA,NA,NA,NA,NA,NA,NA
DEAD_UNKNOWN,193,9,59,83,3015,18,13,1828,6507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,133,2969,114,NA,NA,NA,NA,NA,NA,NA,NA
OTHER,591,179,NA,35,2499,197,61,159,522,NA,NA,NA,NA,752,398,NA,1187,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,29,160,9,NA,39,290,110,NA,6,NA,85,5,NA,NA,NA
CUT,15,NA,NA,7,133,13,NA,190,268,NA,NA,NA,NA,12,99,NA,158,157,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,6,10858,6,8376,6040,31939,NA,587,NA,5773,3902,560,9,6
SILVICULTURE_TREATMENT,1013,165,329,224,609,7364,243,657,694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2619,NA,NA,NA,NA,NA,NA,NA,NA,42,21794,1,59608,113125,59662,NA,102,NA,736,408,929,NA,NA
NULL_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5976,105,84876,52302,NA,20695,NA
NOT_IN_SET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536,129,36,35,10586,NA,NA
BURN,NA,NA,NA,1,16,NA,NA,100,377,NA,NA,NA,NA,3,1,NA,88,71,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,1,1247,93,4062,3245,613,NA,1386,NA,2417,1569,2241,NA,NA
WINDFALL,NA,NA,NA,NA,9,2,3,4,34,NA,NA,NA,NA,7,NA,NA,8,58,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,26,975,9,3235,7022,2126,NA,10,1,46,21,50,NA,NA
DISEASE,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236,NA,7,4,6,NA,NA
INSECT,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1758,3,4780,33433,6836,NA,181,NA,2,2,NA,NA,NA
WEATHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,31,NA,NA,NA,NA,2,NA,NA,NA,NA
EMPTY_STRING,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30709,NA,19167
FLOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,72,NA,305,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PARTIAL_CUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,96162,81,123943,242008,237069,NA,NA,NA,NA,NA,NA,NA,NA
SLIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
UNKNOWN_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA
