values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
-9999,3604,1543,901,2620,16317,4190,3656,13164,18881,NA,NA,NA,NA,6152,2582,NA,7259,NA,130223,149200,NA,NA,NA,NA,75753,124829,24797,NA,NA,NA,NA,NA,NA,NA,NA,2723,NA,NA,NA,NA,7465,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,174,1210,329,17051,17449,NA,NA,NA,NA,1118,1138,7396,8717,3261,NA,NA,NA,NA,12,5053,NA,NA,NA,28953,765,28214,51641,50377,2,NA,NA,614,448,834,296,270
1988,147,NA,2,NA,94,160,145,292,317,37,11583,11234,NA,NA,NA,NA,61,182,3803,4221,3874,NA,NA,NA,NA,NA,4343,NA,NA,NA,19932,37,18417,41875,41710,2318,NA,NA,3935,3212,604,430,381
1989,93,NA,NA,8,40,129,134,303,361,40,11308,11038,NA,NA,NA,NA,1945,24567,2729,4093,3022,NA,NA,NA,NA,NA,3608,NA,NA,NA,22381,70,19889,55927,47643,2855,1457,NA,2983,2359,17,1304,1133
1987,79,NA,1,3,47,76,203,327,469,22,12158,11883,NA,NA,NA,NA,14,1283,2136,3307,3628,NA,NA,NA,NA,NA,3448,NA,NA,NA,18934,NA,17113,44393,39764,3344,NA,NA,8751,8285,33,NA,NA
1986,106,NA,NA,NA,27,77,158,156,164,1,12007,11865,NA,NA,NA,NA,82,31,2891,4553,6059,NA,NA,NA,NA,NA,2874,NA,NA,NA,31875,39,19167,65925,31493,1654,NA,NA,1475,533,2,160,140
2008,NA,NA,NA,NA,NA,NA,NA,53,73,121,71942,62070,NA,NA,NA,NA,627,72,1496,4561,NA,NA,NA,NA,NA,1074,1765,NA,NA,NA,43640,2,22512,35021,90475,NA,NA,NA,NA,NA,NA,NA,NA
1985,71,NA,3,NA,75,204,116,118,150,5,15207,14404,NA,NA,NA,NA,11,111,1677,2525,4682,NA,NA,NA,NA,3,2667,NA,NA,NA,14128,3,59386,72949,24688,1724,NA,NA,1568,815,394,133,123
2001,NA,NA,NA,NA,NA,NA,NA,190,309,312,14761,15504,NA,NA,NA,NA,2941,55,6833,8251,1489,NA,NA,NA,NA,1,4863,NA,NA,NA,40945,11696,28203,48422,45379,7,NA,NA,646,71,30,37,37
1995,1,NA,29,39,NA,135,368,308,840,126,14655,14394,NA,NA,NA,NA,311,3675,5411,6188,3651,NA,NA,NA,57,71,5060,NA,NA,NA,22551,114,37255,51916,68244,2542,837,118,14407,13871,6772,650,543
2000,NA,NA,NA,NA,NA,NA,NA,436,542,142,16022,16792,NA,NA,8,NA,1586,59,7755,9127,2183,NA,NA,NA,NA,19,5502,NA,NA,NA,43886,14470,27494,52291,48642,6,24,2,1597,1148,76,3,3
1981,53,NA,4,2,4231,111,79,113,4083,NA,7396,7371,NA,NA,NA,NA,79,1198,1053,1115,1333,NA,NA,NA,1172,1190,1809,NA,NA,NA,10209,2,24691,81129,18162,714,NA,NA,959,546,1028,21,21
1962,47,NA,NA,NA,NA,391,15,18,24,NA,3107,3212,NA,NA,NA,NA,NA,3,20,8,177,NA,NA,NA,NA,NA,88,NA,NA,NA,646,NA,1189,9738,5943,NA,NA,NA,NA,NA,NA,NA,NA
1993,27,NA,36,NA,89,167,194,442,522,29,13369,12843,NA,NA,NA,NA,174,169,3617,4527,3803,NA,NA,NA,NA,NA,4190,NA,NA,NA,19008,35,19484,40406,48356,1860,NA,9,1130,562,6131,46,43
1992,124,NA,NA,NA,116,138,268,312,331,24,13779,13214,NA,NA,NA,NA,267,139,3879,4845,5197,NA,NA,NA,NA,NA,3867,NA,NA,NA,19590,NA,21433,39662,50080,1406,NA,NA,969,245,461,222,207
1944,NA,1,NA,NA,NA,NA,NA,NA,490,NA,376,356,NA,NA,NA,NA,6,399,125,125,4,NA,NA,NA,NA,NA,6,NA,NA,NA,289,NA,7736,26326,8513,NA,NA,NA,NA,NA,NA,NA,NA
1983,134,NA,NA,NA,76,185,93,125,145,NA,9797,9811,NA,NA,NA,NA,29,42,1065,1704,1773,NA,NA,NA,17,17,2623,NA,NA,NA,18700,76,30906,62478,30002,835,NA,NA,913,325,129,53,42
1952,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,934,876,NA,NA,NA,NA,2,318,11,11,231,NA,NA,NA,NA,NA,20,NA,NA,NA,1060,NA,5,7268,210,NA,NA,NA,NA,NA,NA,95,81
1997,NA,10,31,NA,NA,NA,1,285,333,168,16402,15969,NA,NA,2,NA,349,82,7254,8030,2535,NA,NA,NA,NA,NA,5040,NA,NA,NA,28493,1150,28540,57753,55371,31,NA,NA,438,247,109,13,9
1946,NA,321,NA,NA,NA,NA,NA,NA,181,NA,411,415,NA,NA,NA,NA,1,189,1,1,269,NA,NA,NA,NA,NA,2,NA,NA,NA,43,NA,680,1494,940,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,185,375,299,16680,17229,NA,NA,NA,NA,1679,130,6787,8677,1159,NA,NA,NA,NA,NA,5530,NA,NA,NA,49976,1229,25956,71159,46948,NA,693,2,2569,1170,42,17,15
1968,18,NA,NA,NA,4192,353,195,66,180,3,4206,4194,NA,NA,NA,NA,50,53,83,74,278,NA,NA,NA,NA,NA,129,NA,NA,NA,478,NA,282,11082,7255,2,NA,NA,NA,NA,220,76,59
