values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
-9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,34152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-9995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8888,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2269,45867,NA,NA,NA,677495,142,NA,NA,NA,24202,NA,NA,NA,NA,67248,NA,NA,NA,184,98858,2211,228812,391057,412736,13903,NA,NA,NA,NA,NA,NA,NA
-8887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,96,NA,NA,1760,NA,171215,1412,NA,NA,2035,NA,NA,NA,NA,NA,NA,NA,NA
-8886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24584,482,52846,NA,140480,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,1551,1382,NA,NA,1867,NA,NA,1083,9173,NA,7,NA,NA,320,320,3120,537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47760,103991,NA,6603,2539,NA,17851,25908,NA,NA,NA,3,2,1,NA,NA,32550,NA,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1163,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57497,89439,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2354,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71547,90129,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2261,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39368,51969,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14,5,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133018,142474,NA,NA,NA,NA,NA,NA,NA,NA,NA,56341,58357,76353,2,3,1383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2629,2409,16662,1,1
6,16531,4651,10302,9906,60108,22108,44542,137788,186255,NA,23983,26675,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,2,6,6,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,1567,283,27239,15713,371,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19532,24461,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,10,2,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,81,77,2015,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36027,42015,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,108,283,279,1104,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22059,26858,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,9,9,809,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176080,185982,NA,NA,NA,NA,NA,NA,56487,54196,5696,89770,83039,92318,26090,31190,63442,NA,NA,NA,NA,NA,NA,NA,NA,NA,2040,988,49527,32189,19087,3819,3405
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98478,113847,2813,11683,5043,6233,25802,19259,NA,NA,NA,19,19,7,NA,NA,628,NA,NA,1176,NA,NA,NA,NA,NA,35566,NA,NA,NA,NA,564,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19360,27071,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,23,3,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2222,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10577,13868,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,24,2,2,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1759,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10075,10727,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,16,NA,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,890,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141464,159660,NA,NA,NA,NA,NA,NA,NA,NA,NA,40022,39705,52602,7786,7781,24836,NA,NA,NA,NA,NA,NA,NA,NA,NA,2035,874,42934,28126,16112,17404,15665
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9872,15344,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,3,2,2,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,10,10,637,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10525,13927,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,2,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2211,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17210,19361,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,1264,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9566,8933,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2113,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199715,215698,NA,NA,NA,NA,NA,NA,NA,NA,NA,38269,36298,38229,32689,38087,58129,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,901,50303,33990,17014,21471,19351
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7748,7170,6536,13402,5016,12556,28687,20387,NA,NA,NA,4,2,2,2,2,7,NA,NA,1384,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2076,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12056,15804,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,398,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10067,12742,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1675,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10037,15896,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,3,3,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,245,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138425,157801,NA,NA,NA,NA,NA,NA,NA,NA,NA,39249,39942,36958,1188,1188,20707,NA,NA,NA,270625,46620,151902,193198,318060,NA,1692,429,36736,24387,10562,18253,16515
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9163,11923,NA,NA,NA,NA,NA,NA,NA,NA,58345,2,2,NA,1,1,9791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,301,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13436,17836,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1822,NA,NA
