values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
-9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24050,14967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111680,182740,123288,NA,NA
-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20037,7848,190705,48213,29936,NA,NA,NA,84625,77610,50750,NA,NA,NA,NA,842,4874,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
-8888,24292,5805,17426,15356,108348,35281,51039,180832,225140,NA,829094,928767,NA,NA,NA,NA,1881,NA,NA,NA,NA,184897,187783,240137,83816,126652,NA,9,NA,NA,192851,4494,670,NA,22446,NA,11604,3171,130924,NA,NA,NA,NA
-8887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12461,NA,NA,NA,NA,NA,NA,NA,596182,NA,NA,NA,230,97,281595,3638,NA,NA,848242,118295,569147,1178282,1039617,423442,NA,NA,NA,NA,NA,NA,NA
-8886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12292,241,26423,NA,70240,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24038,22042
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4657,5640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10131,11927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9781,12460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4391,5285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153371,186536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6105,6097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6176,6625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7426,8215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4621,4965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,16097,2454,5538,7726,43777,24200,30815,115904,143142,NA,532929,588113,24115,26439,9820,146474,57745,45281,89056,107431,NA,114532,107369,81445,47365,64262,412322,NA,NA,9505,NA,NA,NA,823414,NA,NA,7475,3175,178405,121370,65334,21000,19741
