values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
BORROW_PIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,3037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653,3276,97,3192,8600,7249,NA,9,5,373,207,11,NA,NA
CULTIVATED,161,NA,NA,134,139,NA,873,44633,45000,NA,5455,4690,801,NA,NA,78822,1602,5,30589,42379,3557,28832,28039,24891,NA,NA,16586,NA,NA,6502,4301,25,17163,22362,39726,4,176,19,NA,NA,123,NA,NA
EMPTY_STRING,NA,3419,NA,NA,NA,NA,25049,NA,197719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,32,NA,NA,NA,NA,NA
FACILITY_INFRASTRUCTURE,2885,95,478,967,2102,464,652,10049,12442,NA,265566,320827,724,1,NA,24571,990,233,8006,9774,7725,6166,6804,7551,63,87,NA,NA,NA,913,1149,177,11412,23999,21168,NA,159,119,NA,NA,200,NA,NA
INDUSTRIAL,303,1,84,89,456,78,283,2687,2900,NA,2581,3058,530,NA,NA,8794,163,647,5288,7424,NA,4036,4056,3662,486,672,NA,NA,NA,NA,113,3,NA,NA,4,NA,26,14,NA,NA,194,NA,NA
LAGOON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,29,102,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11119,4667,2572,196529,5782,23788,NA,NA,630337,116591,114428,110775,NA,NA,NA,3589,1614,5653,701143,197516,294299,950788,581768,NA,NA,NA,NA,NA,NA,NA,NA
NOT_IN_SET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5400,26206,NA,NA,NA,NA,64073,127555,1229783,NA,NA,NA,NA,NA,NA,NA,NA,328947,166,462,39924,15230,NA,7,7
NULL_VALUE,15625,NA,4104,6500,57831,23257,NA,173274,NA,NA,1721886,1943490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16920,6193,270836,168747,76825,82563,76262
OTHER,NA,NA,103,7,NA,NA,NA,NA,NA,NA,3397,4148,NA,NA,NA,NA,514,92,NA,NA,8615,5372,5164,3854,625,619,72126,4,NA,5406,79,1,1,91,1991,11406,NA,NA,NA,NA,1153,80,75
SETTLEMENT,27,NA,1,32,27,6,1,1278,2186,NA,NA,NA,795,1,NA,27938,629,294,28842,53987,13862,37345,37988,40772,52,358,NA,NA,NA,3096,3175,57,2873,10429,5998,NA,16,1,NA,NA,NA,NA,NA
TRANSLATION_ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
