values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
ALPINE_FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64355,67830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRYOID,40,NA,2,NA,8,239,109,1266,3066,NA,33636,36866,NA,NA,NA,NA,NA,NA,NA,NA,196946,NA,NA,NA,1131,2452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,237,16281,11829,4,126,102
EMPTY_STRING,NA,831,NA,NA,NA,NA,4878,NA,84517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FORBS,1202,120,2,118,1544,107,35,5059,5238,NA,5353,6588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,1164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,513,6308,4873,NA,NA,NA
GRAMINOIDS,4985,925,879,2475,10164,9096,7442,48305,53994,NA,52139,74823,1443,1755,960,59698,1880,410,NA,NA,NA,NA,NA,NA,7169,17655,26023,663,741,NA,NA,NA,NA,NA,NA,1511,6047,1496,64647,35213,20633,NA,NA
HERBS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164356,197331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454,2986,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26234,22739
LOW_SHRUB,2973,562,1353,631,8833,9744,4389,32316,38201,NA,356107,392959,NA,110,31,NA,1016,1730,NA,NA,NA,NA,NA,NA,22583,42204,NA,1175,390,NA,NA,NA,NA,NA,NA,NA,6937,1772,107387,81091,39685,1276,1235
NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11263,2,NA,238945,4368,21047,NA,NA,448433,136083,134776,122863,NA,NA,NA,1526,164,21794,492989,160106,212988,593854,445001,NA,NA,NA,NA,NA,NA,NA,NA
NOT_IN_SET,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78227,139926,NA,NA,NA,NA,15867,28078,898282,229,NA,NA,NA,NA,NA,NA,NA,92554,NA,NA,NA,NA,NA,241,221
NULL_VALUE,5547,NA,1363,2340,11995,1801,NA,78746,NA,NA,1231883,1395457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609,652,40297,15437,1681,40765,39415
OPEN_MUSKEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1302,NA,NA,41458,NA,NA,NA,4,18717,60047,61696,68640,NA,NA,394190,NA,NA,429,195550,35676,85415,336868,156636,111930,NA,NA,NA,NA,NA,NA,NA
OTHER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1310,NA,149,305,666,15398,NA,NA,NA,NA,NA,NA,NA
TALL_SHRUB,4254,1077,1171,2163,28011,2818,10004,66229,75231,NA,91056,104359,NA,2802,1581,NA,2562,1901,NA,NA,NA,2212,7,2,18009,34752,NA,NA,307,NA,23387,2094,30388,85242,55601,118964,3700,2175,76213,35741,16503,14004,12628
TRANSLATION_ERROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
TUNDRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
