values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
AQUATIC,74,49,3,38,475,17,26,2188,2163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182065,28856,97743,324771,186358,NA,NA,NA,NA,NA,NA,186,172
DRY,100,1,8,865,238,583,61,16710,14520,NA,NA,NA,NA,23,4,106,22,617,NA,NA,NA,NA,NA,NA,84,2040,NA,NA,NA,NA,38387,14811,3920,40818,12773,NA,1545,167,2086,1991,91,21924,18663
EMPTY_STRING,NA,743,NA,NA,NA,NA,3638,NA,43691,NA,NA,NA,NA,2,NA,NA,1082,NA,NA,NA,NA,NA,NA,NA,NA,11920,NA,NA,NA,NA,NA,NA,NA,NA,NA,305198,554,353,NA,NA,1656,NA,2469
MESIC,7468,881,1545,3409,11253,8428,14031,86605,95534,NA,NA,NA,NA,2272,1153,NA,2382,1680,NA,NA,NA,NA,NA,NA,2183,7422,NA,NA,103,NA,81511,30312,30182,69248,59497,17254,10291,2548,38441,24516,17965,13427,11915
MOIST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1325,590,253,2018,1391,NA,NA,NA,NA,NA,NA,21544,46781,NA,NA,NA,NA,6386,2523,5156,8362,9345,NA,2447,1051,61474,25651,11984,NA,NA
NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78227,139930,NA,NA,NA,NA,NA,NA,1318495,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38642,37624
NOT_IN_SET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4311,4429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1
NULL_VALUE,4591,NA,953,1520,11115,1773,NA,40094,NA,NA,NA,NA,14007,NA,NA,339750,3071,21012,NA,NA,NA,NA,NA,NA,16336,18816,NA,NA,6,NA,365239,110008,173487,469654,363437,17905,1,NA,27862,13096,NA,2492,NA
UNKNOWN_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998885,2276213,NA,NA,NA,NA,NA,NA,NA,NA,664096,198342,196479,191505,NA,NA,NA,1826,NA,22223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNUSED_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5712,3307,154,7914,328,NA,NA,NA,NA,NA,NA,NA,NA
WET,6768,1841,2261,1897,37474,13004,9102,86324,104339,NA,NA,NA,NA,1047,825,15,1251,388,NA,NA,NA,NA,NA,NA,20841,37883,NA,1767,1341,NA,33936,8059,18298,95502,26166,NA,2691,2726,181270,118930,46790,5979,5500
