values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
25,893,971,9,450,9843,3330,277,3545,7546,NA,NA,NA,NA,1513,1047,NA,3209,9532,NA,NA,NA,50823,46519,29905,2633,4548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1493,59,11702,5481,7740,NA,NA
95,361,177,135,878,1631,345,960,2601,5066,NA,NA,NA,NA,1168,687,NA,16672,1848,NA,NA,NA,NA,NA,NA,1433,2534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1257,27,11820,5699,6027,NA,NA
100,4099,642,1100,4556,16679,12036,6528,9940,22254,NA,NA,NA,NA,3110,8296,NA,18313,57828,NA,NA,NA,8649,11467,12228,9765,12705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3703,121,55525,39616,22927,NA,NA
50,701,58,51,201,1783,303,369,2186,3779,NA,NA,NA,NA,1033,589,NA,2266,3345,NA,NA,NA,2949,3998,7334,1770,2719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1498,21,7832,4016,4306,NA,NA
75,372,27,88,116,820,178,467,1430,2846,NA,NA,NA,NA,1004,620,NA,2332,1643,NA,NA,NA,13,10,28,1824,2941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1067,8,7101,3436,4031,NA,NA
-9999,NA,NA,35,1,1,548,271,4420,5954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59845,103877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA
-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24914,22552,19951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1142604,1421223,NA,NA,NA,NA,NA,NA,252564,333114,NA,NA,NA,NA,NA,NA,152048,NA,505,29517,1314826,81902,1444257,3519874,2721934,64052,NA,NA,NA,NA,NA,20704,19173
-8886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8888,NA,NA,NA,NA,NA,NA,NA,NA,NA,4555,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
-9995,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
