values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
AQUATIC,NA,NA,NA,4,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27995,2095,28743,94840,67758,NA,NA,NA,NA,NA,NA,NA,NA
DRY,102,1,4,50,228,589,19,26528,20959,NA,236590,258624,42322,58,25,67454,346,33759,NA,NA,61627,NA,NA,NA,1307,4559,NA,NA,3,NA,19587,2486,19710,84078,49127,9713,1371,75,3377,3289,172,52927,48127
EMPTY_STRING,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2840,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,1,NA,NA,NA,NA,12979
MESIC,53277,10466,26025,36797,153292,87420,121065,364955,440341,NA,2100448,2419228,NA,65406,23640,NA,134675,61674,NA,NA,NA,NA,NA,NA,79625,117109,NA,NA,636,NA,1072561,127473,1318996,3856923,2684072,502410,20677,6884,232743,156558,156269,42505,39622
MOIST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670482,721271,30111,15188,6417,73343,40070,10221,NA,NA,NA,NA,NA,NA,111312,147981,NA,NA,NA,NA,278136,18873,276785,776067,521270,323814,4971,1937,261220,156225,66021,NA,NA
NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692153,NA,NA,NA,NA,NA,2240816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOT_IN_SET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21564,NA,NA,NA,1713,1793,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA
NULL_VALUE,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1210423,1287256,NA,NA,NA,677497,1,NA,NA,NA,NA,NA,NA,NA,31936,40576,NA,NA,3,NA,1,NA,19,340,24,NA,NA,NA,NA,NA,NA,14593,NA
UNKNOWN_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932271,1053554,NA,1010407,982162,972710,NA,NA,NA,6386,NA,81073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNUSED_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2508,415,993,4561,1671,NA,NA,NA,NA,NA,NA,NA,NA
WET,19408,3712,7782,7376,71640,24845,28590,137768,190475,NA,54082,58294,13166,8793,6849,35869,38889,48940,NA,NA,91701,NA,NA,NA,19939,35064,NA,933,1118,NA,109092,9255,75334,316506,137089,24398,1964,1870,211213,167591,73935,4710,4374
