values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
ALPINE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17220,18779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965,1731
BEACH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1838,2221,15,NA,NA,1185,NA,NA,NA,NA,NA,2144,2167,1949,31,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMPTY_STRING,NA,2780,NA,NA,NA,NA,23784,NA,233619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,111,NA,NA,445,NA,NA
EXPOSED_LAND,11,2,2,17,115,137,2,689,703,NA,136592,172113,NA,NA,NA,9,4,10,461,650,61728,12783,12377,10178,323,518,NA,NA,NA,NA,129589,50050,13212,100102,26183,NA,40,NA,NA,NA,NA,2368,2016
FLOOD,1736,614,596,805,7060,267,2068,11230,12510,NA,NA,NA,4655,NA,NA,24788,NA,NA,NA,NA,NA,2644,2642,2588,NA,NA,NA,225,NA,558,7991,423,38828,105554,79966,27388,44,207,27319,7876,NA,NA,NA
ISLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8610,NA,NA,NA,NA,NA,NA,NA,NA,191573,102,NA,NA,71194,20024,28961,73782,58273,NA,NA,NA,NA,NA,NA,NA,NA
LAKE,268,119,37,72,1806,256,192,6907,7299,NA,153039,164938,3092,NA,NA,57259,98,4707,NA,12948,306379,33128,31601,22972,11117,20054,NA,1424,164,3412,NA,NA,NA,NA,NA,27970,80,212,11915,6979,NA,33435,33034
NOT_APPLICABLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5634,4669,2572,244774,9502,5341,NA,NA,249422,144010,143754,149372,NA,NA,NA,1842,1450,16999,232340,38130,150593,487896,289039,NA,NA,NA,NA,NA,NA,NA,NA
NOT_IN_SET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72834,113728,NA,NA,NA,NA,50658,102949,508925,NA,NA,NA,NA,NA,NA,NA,NA,259213,4,NA,373,207,1236,100,98
NULL_VALUE,16827,NA,4073,6616,51271,22552,NA,207089,NA,NA,1044001,1213479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16920,6193,270836,168747,76825,41972,37011
OCEAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1794,1817,NA,NA,NA,NA,NA,NA,NA,70,1227,1039,889,318,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIVER,54,NA,62,31,137,115,77,1052,1690,NA,76640,90623,298,NA,NA,7463,96,735,NA,2691,11053,NA,NA,NA,1709,1737,580723,NA,NA,NA,NA,NA,NA,NA,NA,24077,43,47,690,375,NA,464,189
ROCK_RUBBLE,NA,NA,NA,4,24,109,125,3388,2932,NA,493288,539913,311,NA,NA,2044,1,5671,1013,1941,34099,2594,3049,4128,550,2670,37274,NA,NA,NA,NA,NA,NA,NA,NA,1219,4,NA,NA,NA,NA,539,497
SAND,105,NA,NA,184,142,369,NA,1455,1453,NA,20,20,3,NA,NA,2602,NA,1,NA,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,490,11,25,NA,NA,NA,NA,NA
SLIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26217,23735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNOW_ICE,NA,NA,NA,NA,NA,NA,NA,111,41,NA,20707,18803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TIDAL_FLATS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,43,NA,NA,NA,NA,68,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNKNOWN_VALUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA
WATER_SEDIMENT,NA,NA,NA,NA,NA,NA,610,NA,NA,NA,27486,29729,NA,NA,NA,NA,37,6,3919,7902,NA,NA,NA,NA,910,1318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1807,1768
WATERBODY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271670,88890,97346,248935,204443,NA,NA,NA,NA,NA,NA,NA,NA
