inventory,src_area,src_area_8888,src_area_8887,src_area_8886,src_area_9997,cas_area,area_diff
AB03,10.84758952,NaN,NaN,NaN,NaN,10.85487782,-0.067
AB06,9.173748666,NaN,NaN,NaN,NaN,9.180879603,-0.078
AB07,12.7106335,NaN,NaN,NaN,NaN,12.71944171,-0.069
AB08,8.92428768,NaN,NaN,NaN,NaN,8.930458752,-0.069
AB10,10.35833367,NaN,NaN,NaN,NaN,10.3627564,-0.043
AB11,3.581528621,NaN,NaN,NaN,NaN,3.58416034,-0.073
AB16,5.400814366,NaN,NaN,NaN,NaN,5.404490333,-0.068
AB25,17.99569037,NaN,NaN,NaN,NaN,18.01610913,-0.113
AB29,16.03262975,NaN,NaN,NaN,NaN,16.04924169,-0.104
AB30,19.0790374,NaN,NaN,NaN,NaN,19.09680928,-0.093
BC08,NaN,-8888,NaN,NaN,NaN,21.2697648,NaN
BC10,19.32166508,NaN,NaN,NaN,NaN,19.32052791,0.006
MB01,115735.5195,NaN,NaN,NaN,NaN,11.63412807,99.99
MB02,87791.94964,NaN,NaN,NaN,NaN,8.782958462,99.99
MB04,124903.5671,NaN,NaN,NaN,NaN,12.49598846,99.99
MB05,243586.493,NaN,NaN,NaN,NaN,26.02795855,99.989
MB06,126220.0884,NaN,NaN,NaN,NaN,12.79548882,99.99
MB07,102085.0941,NaN,NaN,NaN,NaN,10.28738872,99.99
NB01,9.50564824,NaN,NaN,NaN,NaN,9.357094834,1.563
NB02,6.161949403,NaN,NaN,NaN,NaN,6.161924257,0
NL01,74200.57647,NaN,NaN,NaN,NaN,7.439238304,99.99
NS01,6.176025241,NaN,NaN,NaN,NaN,6.094081916,1.327
NS02,6.521092251,NaN,NaN,NaN,NaN,6.439115314,1.257
NS03,7.884614399,NaN,NaN,NaN,NaN,7.798192551,1.096
NT01,25.06754308,NaN,NaN,NaN,NaN,22.36772688,10.77
NT03,21.76066321,NaN,NaN,NaN,NaN,21.95931899,-0.913
ON02,14.6213728,NaN,NaN,NaN,NaN,11.68566137,20.078
PC01,48.89228933,NaN,NaN,NaN,NaN,48.89228955,0
PC02,5557.531434,NaN,NaN,NaN,NaN,4341.524416,21.88
PE01,4.622359089,NaN,NaN,NaN,NaN,5.380998197,-16.412
QC02,10.15808113,NaN,NaN,NaN,NaN,10.27122623,-1.114
QC03,14.87981507,NaN,NaN,NaN,NaN,14.54773025,2.232
QC04,5.727601875,NaN,NaN,NaN,NaN,5.698357775,0.511
QC05,6.377497371,NaN,NaN,NaN,NaN,6.348347518,0.457
QC06,6.805563235,NaN,NaN,NaN,NaN,6.847053628,-0.61
SK01,9.691104304,NaN,NaN,NaN,NaN,9.715928018,-0.256
SK02,8.289389943,NaN,NaN,NaN,NaN,8.295508268,-0.074
SK03,19.02293225,NaN,NaN,NaN,NaN,19.03030974,-0.039
SK04,8.105802931,NaN,NaN,NaN,NaN,8.109327334,-0.043
SK05,7.891122125,NaN,NaN,NaN,NaN,7.895751942,-0.059
SK06,NaN,-8888,NaN,NaN,NaN,9.683159107,NaN
YT01,1266079.575,NaN,NaN,NaN,NaN,126.6276419,99.99
YT02,1367501.327,NaN,NaN,NaN,NaN,136.7584329,99.99
