province,targetSpecies,sourceSpecies
BC,Popu balb,ACB
BC,Popu bals,*AC
BC,Popu balb,AC
BC,Popu balt,ACT
BC,Popu delx,*AD
BC,Popu delt,AD
BC,Popu spp.,A
BC,Popu trem,AT
BC,Popu delx,*AX
BC,Popu hybr,AX
BC,Abie amab,BA
BC,Abie spp.,B
BC,Abie bals,BB
BC,Abie gran,BG
BC,Abie lasi,BL
BC,Abie magn,BM
BC,Abie proc,BP
BC,Thuj plic,C
BC,Thuj plic,CW
BC,Alnu spp.,D
BC,Alnu inca,DM
BC,Alnu rubr,DR
BC,Betu neoa,EA
BC,Betu spp.,E
BC,Betu pend,EE
BC,Betu papy,EP
BC,Betu pube,ES
BC,Betu occi,EW
BC,Betu alle,EY
BC,Pseu men,*FDC
BC,Pseu menm,FDC
BC,Pseu men,*FDI
BC,Pseu meng,FDI
BC,Pseu menz,FD
BC,Pseu menz,F
BC,Corn nutt,G
BC,Corn nutt,GP
BC,Tsug mert,HM
BC,Tsug spp.,H
BC,Tsug hete,HW
BC,Tsug merx,HXM
BC,Juni scop,J
BC,Juni scop,JR
BC,Rham purs,K
BC,Lari lyal,LA
BC,Lari spp.,L
BC,Lari sibi,LS
BC,Lari lari,LT
BC,Lari occi,LW
BC,Acer spp.,M
BC,Acer macr,MB
BC,Acer circ,MV
BC,Calc decu,OA
BC,Pinu albi,PA
BC,Pinu flex,PF
BC,Pinu bank,PJ
BC,Pinu cont,*PLC
BC,Pinu conc,PLC
BC,Pinu cont,*PLI
BC,Pinu conl,PLI
BC,Pinu cont,PL
BC,Pinu radi,PM
BC,Pinu spp.,P
BC,Pinu resi,PR
BC,Pinu mont,PW
BC,Pinu murx,PXJ
BC,Pinu pond,PY
BC,Quer garr,QG
BC,Quer spp.,Q
BC,Arbu menz,RA
BC,Arbu menz,R
BC,Pice mari,SB
BC,Pice enge,SE
BC,Pice abie,SN
BC,Pice spp.,S
BC,Pice sitc,SS
BC,Pice glau,SW
BC,Pice lutx,*SXL
BC,Pice sitx,SXL
BC,Pice sppx,*SX
BC,Pice hybr,SX
BC,Pice sitx,SXS
BC,Pice enge,SXW
BC,Taxu brev,T
BC,Taxu brev,TW
BC,Malu pumi,U
BC,Prun emar,VB
BC,Prun pens,VP
BC,Prun spp.,V
BC,Prun aviu,VS
BC,Sali spp.,WA
BC,Sali bebb,WB
BC,Sali luci,WP
BC,Sali spp.,W
BC,Sali scou,WS
BC,Soft unkn,XC
BC,hard unkn,*XH
BC,Hard unkn,XH
BC,Prun pens,*X
BC,Uncl spp.,X
BC,Cham noot,YC
BC,Cham noot,Y
BC,Soft unkn,ZC
BC,hard unkn,*ZH
BC,Hard unkn,ZH
BC,Uncl spp.,Z
