targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
CROWN_CLOSURE_UPPER,int,"notNull(crown_closure, -8888);between(crown_closure, 0, 100, -9999)",copy(crown_closure),,
CROWN_CLOSURE_LOWER,int,"notNull(crown_closure, -8888);between(crown_closure, 0, 100, -9999)",copy(crown_closure),,
HEIGHT_UPPER,float,"notNull(proj_height_1, -8888);greaterThan(proj_height_1, 0.1, -9999a);lesserThan(proj_height, 100, -9999b)",copy(proj_height_1),,
HEIGHT_LOWER,float,"notNull(proj_height_1, -8888);greaterThan(proj_height_1, 0.1, -9999);lesserThan(proj_height, 100, -9999b)",copy(proj_height_1),,
SPECIES_1,str,"notNull(species_cd_1, ""NULL"");matchCode(species_cd_1,bcSppList, ""XXXX ERRC"", TRUE)","map(species_cd_1, bcSppList, casSppList)",,
SPECIES_PER_1,int,"notNull(species_pct_1, -8888);between(species_pct_1, 0, 100, -9999)",copy(species_pct_1),,
SPECIES_2,str,,,,
SPECIES_PER_2,int,,,,
SPECIES_3,str,,,,
SPECIES_PER_3,int,,,,
SPECIES_4,str,,,,
SPECIES_PER_4,int,,,,
SPECIES_5,str,,,,
SPECIES_PER_5,int,,,,
SPECIES_6,str,,,,
SPECIES_PER_6,int,,,,
SPECIES_7,NA,NA,NA,NA,
SPECIES_PER_7,NA,NA,NA,NA,
SPECIES_8,NA,NA,NA,NA,
SPECIES_PER_8,NA,NA,NA,NA,
SPECIES_9,NA,NA,NA,NA,
SPECIES_PER_9,NA,NA,NA,NA,
SPECIES_10,NA,NA,NA,NA,
SPECIES_PER_10,NA,NA,NA,NA,
