province,targetSpecies,sourceSpecies
NB,Alnu spp.,AL
NB,Pinu nigr,AP
NB,Frax spp.,AS
NB,Frax nigr,BA
NB,Fagu gran,BE
NB,Abie bals,BF
NB,Betu spp.,BI
NB,Robi psue,BL
NB,*Popu bals,BP
NB,Popu balb,BP
NB,Pice mari,BS
NB,Abie spp.,DF
NB,Pice spp.,DS
NB,Betu pend,EB
NB,Thuj occi,EC
NB,Tsug cana,EH
NB,Lari deci,EL
NB,Pseu menz,FD
NB,Abie pice,FS
NB,Betu popu,GB
NB,Gled tria,HL
NB,Hard unkn,HW
NB,Ostr virg,*I
NB,Ostr virg,Ir
NB,Hard into,IH
NB,Abie firm,JF
NB,Lari kaem,JL
NB,Pinu bank,JP
NB,Popu gran,LA
NB,Pinu cont,LP
NB,Acer sach,*MA
NB,Acer spp.,MA
NB,Acer sach,*MS
NB,Uncl spp.,MS
NB,Prun spp.,*NC
NB,Hard nonc,NC
NB,Uncl spp.,NR
NB,Pice abie,NS
NB,Quer spp.,O
NB,Quer spp.,Oa
NB,Hard unkn,OH
NB,Soft unkn,OS
NB,Pinu spp.,PI
NB,Popu spp.,PO
NB,Pinu rigi,PR
NB,Pinu sylv,PS
NB,Acer rubr,RM
NB,Pinu resi,RP
NB,Pice mari,*RS
NB,Pice rube,RS
NB,Abie pice,SF
NB,Acer sacc,SM
NB,Pice rube,*SP
NB,Pice spp.,SP
NB,Soft unkn,SW
NB,Popu trem,TA
NB,Hard tole,TH
NB,Lari lari,TL
NB,Frax amer,WA
NB,Betu papy,WB
NB,Thuj plic,WC
NB,Pinu stro,WP
NB,Pinu stro,WO
NB,Pice glau,WS
NB,Betu alle,YB
