rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notNull(src_filename);notNull(trm_1);notNull(poly_num);notNull(ogc_fid),"padConcat({'ab06', src_filename, trm_1, poly_num, ogc_fid}, {'4','15','10','10','7'}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,ORIG_STAND_ID,text,"notNull(poly_num);isInt(poly_num);isGreaterThan(poly_num,'0')",copyText(poly_num),Copies source value to ORIG_STAND_ID,TRUE
3,STAND_STRUCTURE,text,"notNull(struc);notEmpty(struc);matchList(struc,{'C','H','M'})",copyText(struc),Copies source value to STAND_STRUCTURE,TRUE
4,NUM_OF_LAYERS,integer,true(),copyInt('1'),Copies value 1 to NUM_OF_LAYERS,TRUE
5,IDENTIFICATION_ID,integer,true(),copyInt('6'),Copies value 6 to IDENTIFICATION_ID,TRUE
6,MAP_SHEET_ID,text,notNull(trm);isInt(trm),copyText(trm),Copies source value to MAP_SHEET_ID,TRUE
7,CASFRI_AREA,double precision,"geoIsValid(wkb_geometry, TRUE)",geoArea(wkb_geometry),Validates geometry then calculates area,TRUE
8,CASFRI_PERIMETER,double precision,"geoIsValid(wkb_geometry, TRUE)",geoPerimeter(wkb_geometry),Validates geometry then calculates perimeter,TRUE
9,SRC_INV_AREA,double precision,"notNull(shape_area);isNumeric(shape_area);isGreaterThan(shape_area,'0')",copyDouble(shape_area),Copies source value to SRC_INV_AREA,TRUE
10,STAND_PHOTO_YEAR,integer,"geoIsValid(wkb_geometry, TRUE);geoIntersects(wkb_geometry, 'rawfri', 'ab_photoyear', 'wkb_geometry')","geoIntersectionInt(wkb_geometry, 'rawfri', 'ab_photoyear', 'wkb_geometry', 'photo_yr', 'GREATEST_AREA')",Copies source value to STAND_PHOTO_YEAR,TRUE
