rule_id,targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
1,CAS_ID,text,notNull(src_filename|NULL_VALUE);notNull(trm_1|NULL_VALUE);notNull(poly_num|NULL_VALUE);notNull(ogc_fid|NULL_VALUE),"padConcat({'ab06', src_filename, trm_1, poly_num, ogc_fid}, {'4','15','10','10','7'}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_1,text,"notNull(mod1|NULL_VALUE);matchList(mod1,{'BU','CC','CL','PL','SC','SN','ST','TH'}|NOT_IN_SET)","mapText(mod1, {'BU','CC','CL','PL','SC','SN','ST','TH'}, {'BU','CO','OT','SI','SI','DT','OT','SI'})",Maps source value to DIST_1 using lists of values,TRUE
3,DIST_YR_1,integer,"notNull(mod1_yr|-8888);isInt(mod1_yr|-9995);between(mod1_yr,'0','2020'|-9999)",copyInt(mod1_yr),Copies (line_7b_disturbance_history) to DIST_YR_1,TRUE
4,DIST_EXT_UPPER_1,integer,"notNull(mod1_ext|-8888);isInt(mod1_ext|-9995);matchList(mod1_ext,{'1','2','3','4','5'}|-9998)","mapInt(mod1_ext, {'1','2','3','4','5'}, {'25','50','75','95','100'})",Attribute does not occur,TRUE
5,DIST_EXT_LOWER_1,integer,"notNull(mod1_ext|-8888);isInt(mod1_ext|-9995);matchList(mod1_ext,{'1','2','3','4','5'}|-9998)","mapInt(mod1_ext, {'1','2','3','4','5'}, {'1','26','51','76','96'})",Attribute does not occur,TRUE
6,DIST_2,text,"notNull(mod2|NULL_VALUE);matchList(mod2,{'BU','CC','CL','PL','SC','SN','ST','TH'}|-9998)","mapText(mod2, {'BU','CC','CL','PL','SC','SN','ST','TH'}, {'BU','CO','OT','SI','SI','DT','OT','SI'})",Attribute does not occur,TRUE
7,DIST_YR_2,integer,"notNull(mod2_yr|-8888);isInt(mod2_yr|-8889);between(mod2_yr,'0','2020'|-9999)",copyInt(mod2_yr),Attribute does not occur,TRUE
8,DIST_EXT_UPPER_2,integer,"notNull(mod2_ext|-8888);notUsed(mod2_ext,0|-8889);matchList(mod2_ext,{'1','2','3','4','5'}|-9998)","mapInt(mod2_ext, {'1','2','3','4','5'}, {'-8885','25','50','75','95','100'})",Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,"notNull(mod2_ext|-8888);notUsed(mod2_ext,0|-8889);matchList(mod2_ext,{'1','2','3','4','5'}|-9998)","mapInt(mod2_ext, {'1','2','3','4','5'}, {'-8885','1','26','51','76','96'})",Attribute does not occur,TRUE
10,DIST_3,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
11,DIST_YR_3,integer,false(|-8887),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(|-8887),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(|-8887),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,true(|-8887),copyInt('1'),Copy value of 1 to LAYER,TRUE
