rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notNull(src_filename);notNull(trm_1);notNull(poly_num);notNull(ogc_fid),"padConcat({'ab06', src_filename, trm_1, poly_num, ogc_fid}, {'4','15','10','10','7'}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"notNull(moist_reg);matchList(moist_reg,{'a','A','d','D','m','M','w','W'})","mapText(moist_reg, {'a','A','d','D','m','M','w','W'}, {'A','A','D','D','F','F','W','W'})",Maps source value to SOIL_MOIST_REG using lists of values,TRUE
3,STRUCTURE_PER,integer,"notNull(struc_val);isInt(struc_val);isBetween(struc_val,'1','9')",copyInt(struc_val),Copy source value to STRUCTURE_PER,TRUE
4,LAYER,integer,true(),copyInt('1'),Copy value of 1 to LAYER,TRUE
5,LAYER_RANK,integer,true(),copyInt('1'),Copy value of 1 to LAYER_RANK,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(density);matchList(density,{'A','B','C','D'})","mapInt(density, {'A','B','C','D'}, {'30','50','70','100'})",Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(density);matchList(density,{'A','B','C','D'})","mapInt(density, {'A','B','C','D'}, {'6','31','51','71'})",Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,"notNull(height);isNumeric(height);isGreaterThan(height,'1');isLessThan(height,'100')",copyDouble(height),Copies source value to HEIGHT_UPPER,TRUE
9,HEIGHT_LOWER,double precision,"notNull(height);isNumeric(height);isGreaterThan(height,'1');isLessThan(height,'100')",copyDouble(height),Copies source value to HEIGHT_LOWER,TRUE
10,PRODUCTIVE_FOR,text,false(),nothingText(),Waiting for a new helper function,TRUE
11,SPECIES_1,text,"notNull(sp1);notEmpty(sp1);matchTable(sp1,'translation','ab_avi01_species','TRUE')","lookupText(sp1, 'translation', 'ab_avi01_species', 'spec1', 'TRUE')",Maps source value to SPECIES_1 using lookup table,TRUE
12,SPECIES_PER_1,integer,"notNull(sp1_per);isInt(sp1_per);isBetween(sp1_per,'0','100')",copyInt(sp1_per),Copies source value to SPECIES_PER_1,TRUE
13,SPECIES_2,text,"notNull(sp2);notEmpty(sp2);matchTable(sp2,'translation','ab_avi01_species','TRUE')","lookupText(sp2, 'translation', 'ab_avi01_species', 'spec2', 'TRUE')",Maps source value to SPECIES_2 using lookup table,TRUE
14,SPECIES_PER_2,integer,"notNull(sp2_per);isInt(sp2_per);isBetween(sp2_per,'0','100')",copyInt(sp2_per),Copies source value to SPECIES_PER_2,TRUE
15,SPECIES_3,text,"notNull(sp3);notEmpty(sp3);matchTable(sp3,'translation','ab_avi01_species','TRUE')","lookupText(sp3, 'translation', 'ab_avi01_species', 'spec3', 'TRUE')",Maps source value to SPECIES_3 using lookup table,TRUE
16,SPECIES_PER_3,integer,"notNull(sp3_per);isInt(sp3_per);isBetween(sp3_per,'0','100')",copyInt(sp3_per),Copies source value to SPECIES_PER_3,TRUE
17,SPECIES_4,text,"notNull(sp4);notEmpty(sp4);matchTable(sp4,'translation','ab_avi01_species','TRUE')","lookupText(sp4, 'translation', 'ab_avi01_species', 'spec4', 'TRUE')",Maps source value to SPECIES_4 using lookup table,TRUE
18,SPECIES_PER_4,integer,"notNull(sp4_per);isInt(sp4_per);isBetween(sp4_per,'0','100')",copyInt(sp4_per),Copies source value to SPECIES_PER_4,TRUE
19,SPECIES_5,text,"notNull(sp5);notEmpty(sp5);matchTable(sp5,'translation','ab_avi01_species','TRUE')","lookupText(sp5, 'translation', 'ab_avi01_species', 'spec5', 'TRUE')",Maps source value to SPECIES_5 using lookup table,TRUE
20,SPECIES_PER_5,integer,"notNull(sp5_per);isInt(sp5_per);isBetween(sp5_per,'0','100')",copyInt(sp5_per),Copies source value to SPECIES_PER_5,TRUE
21,SPECIES_6,text,false(),nothingText(),Attribute does not occur,TRUE
22,SPECIES_PER_6,integer,false(),nothingInt(),Attribute does not occur,TRUE
23,SPECIES_7,text,false(),nothingText(),Attribute does not occur,TRUE
24,SPECIES_PER_7,integer,false(),nothingInt(),Attribute does not occur,TRUE
25,SPECIES_8,text,false(),nothingText(),Attribute does not occur,TRUE
26,SPECIES_PER_8,integer,false(),nothingInt(),Attribute does not occur,TRUE
27,SPECIES_9,text,false(),nothingText(),Attribute does not occur,TRUE
28,SPECIES_PER_9,integer,false(),nothingInt(),Attribute does not occur,TRUE
29,SPECIES_10,text,false(),nothingText(),Attribute does not occur,TRUE
30,SPECIES_PER_10,integer,false(),nothingInt(),Attribute does not occur,TRUE
31,ORIGIN_UPPER,integer,"notNull(origin);isInt(origin);isBetween(origin,'1500','2020')",copyInt(origin),Copies (origin) to ORIGIN_UPPER,TRUE
32,ORIGIN_LOWER,integer,"notNull(origin);isInt(origin);isBetween(origin,'1500','2020')",copyInt(origin),Copies (origin) to ORIGIN_LOWER,TRUE
33,SITE_CLASS,text,"notNull(tpr);matchList(tpr,{'U','F','M','G'})","mapText(tpr, {'U','F','M','G'}, {'U','P','M','G'})",Maps source value to SITE_CLASS using lists of values,TRUE
34,SITE_INDEX,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
