rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notNull(src_filename);notNull(forest_id_2);notNull(ogc_fid),"padConcat({'ab16', 'CANFOR', src_filename, forest_id_2, ogc_fid}, {'4','15','10','10','7'}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_TYPE_1,text,"notNull(modcon1);matchList(modcon1,{'BU','CC','CL','CU','DT','PL','SC','SL','SN','ST','SU','TH','UK','WF'})","mapText(modcon1, {'BU','CC','CL','CU','DT','PL','SC','SL','SN','ST','SU','TH','UK','WF'}, {'BU','CO','OT','CL','DT','SI','SI','OT','DT','OT','OT','SI','OT','WF'})",Maps source value to DIST_TYPE_1 using lists of values,TRUE
3,DIST_YEAR_1,integer,"notNull(modyear1);isInt(modyear1);isBetween(modyear1,'0','2020')",copyInt(modyear1),Copies (line_7b_disturbance_history) to DIST_YEAR_1,TRUE
4,DIST_EXT_UPPER_1,integer,"notNull(modext1);notEmpty(modext1);isGreaterThan(modext1,'0','FALSE');matchList(modext1,{'1','2','3','4','5'})","mapInt(modext1, {'1','2','3','4','5'}, {'25','50','75','95','100'})",Attribute does not occur,TRUE
5,DIST_EXT_LOWER_1,integer,"notNull(modext1);notEmpty(modext1);isGreaterThan(modext1,'0','FALSE');matchList(modext1,{'1','2','3','4','5'})","mapInt(modext1, {'1','2','3','4','5'}, {'1','26','51','76','96'})",Attribute does not occur,TRUE
6,DIST_TYPE_2,text,"notNull(modcon2);matchList(modcon2,{'BU','CC','CL','PL','SC','SN','ST','TH'})","mapText(modcon2, {'BU','CC','CL','PL','SC','SN','ST','TH'}, {'BU','CO','OT','SI','SI','DT','OT','SI'})",Attribute does not occur,TRUE
7,DIST_YEAR_2,integer,"notNull(modyear2);isInt(modyear2);isBetween(modyear2,'0','2020')",copyInt(modyear2),Attribute does not occur,TRUE
8,DIST_EXT_UPPER_2,integer,"notNull(modext2);notEmpty(modext2);isGreaterThan(modext2,'0','FALSE');matchList(modext2,{'1','2','3','4','5'})","mapInt(modext2, {'1','2','3','4','5'}, {'25','50','75','95','100'})",Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,"notNull(modext2);notEmpty(modext2);isGreaterThan(modext2,'0','FALSE');matchList(modext2,{'1','2','3','4','5'})","mapInt(modext2, {'1','2','3','4','5'}, {'1','26','51','76','96'})",Attribute does not occur,TRUE
10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur,TRUE
11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,true(),copyInt('1'),Copy value of 1 to LAYER,TRUE
