category,targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
HDR,IDENTIFICATION_ID,,,,,
HDR,JURISDICTION,,,,,
HDR,COORDINATE_SYS,,,,,
HDR,PROJECTION,,,,,
HDR,DATUM,,,,,
HDR,INVENTORY_OWNER,,,,,
HDR,LAND_OWNER,,,,,
HDR,PERMISSION,,,,,
HDR,TENURE_TYPE,,,,,
HDR,INV_TYPE,,,,,
HDR,INV_VERSION,,,,,
HDR,INV_START_YR,,,,,
HDR,INV_FINISH_YR,,,,,
HDR,INV_ACQ_ID,,,,,
HDR,INV_ACQ_YR,,,,,
HDR,INV_UPDATE_YR,,,,,
CAS,CAS_ID,str,"notNull(var1, ""NULL"", var2, ""NULL"", var3, ""NULL"", var4, ""NULL"")",concat(),,
CAS,ORIG_STAND_ID,,,,,
CAS,STAND_STRUCTURE,,,,,
CAS,NUM_OF_LAYERS,,,,,
CAS,IDENTIFICATION_ID,,,,,
CAS,MAP_SHEET_ID,,,,,
CAS,GIS_AREA,,,,,
CAS,GIS_PERIMETER,,,,,
CAS,INVENTORY_AREA,,,,,
CAS,PHOTO_YEAR,,,,,
LYR,CAS_ID,str,"notNull(var1, ""NULL"", var2, ""NULL"", var3, ""NULL"", var4, ""NULL"")",concat(),,
LYR,SOIL_MOIST_REG,,,,,
LYR,STRUCTURE_PER,,,,,
LYR,LAYER,,,,,
LYR,LAYER_RANK,,,,,
LYR,CROWN_CLOSURE_UPPER,int,"notNull(crown_closure, -8888);between(crown_closure, 0, 100, -9999)",copy(crown_closure),,
LYR,CROWN_CLOSURE_LOWER,int,"notNull(crown_closure, -8888);between(crown_closure, 0, 100, -9999)",copy(crown_closure),,
LYR,HEIGHT_UPPER,float,"notNull(proj_height_1, -8888);greaterThan(proj_height_1, 0.1, -9999a);lesserThan(proj_height_1, 100, -9999b)",copy(proj_height_1),,
LYR,HEIGHT_LOWER,float,"notNull(proj_height_1, -8888);greaterThan(proj_height_1, 0.1, -9999);lesserThan(proj_height_1, 100, -9999b)",copy(proj_height_1),,
LYR,PRODUCTIVE_FOR,,,,,
LYR,SPECIES_1,str,"notNull(species_cd_1, ""NULL"");matchStr(species_cd_1,bcSppList, ""XXXX ERRC"", TRUE)","map(species_cd_1, bcSppList, casSppList)",,
LYR,SPECIES_PER_1,int,"notNull(species_pct_1, -8888);between(species_pct_1, 0, 100, -9999)",copy(species_pct_1),,
LYR,SPECIES_2,str,"notNull(species_cd_2, ""NULL"");matchStr(species_cd_2,bcSppList, ""XXXX ERRC"", TRUE)","map(species_cd_2, bcSppList, casSppList)",,
LYR,SPECIES_PER_2,int,"notNull(species_pct_2, -8888);between(species_pct_2, 0, 100, -9999)",copy(species_pct_2),,
LYR,SPECIES_3,str,"notNull(species_cd_3, ""NULL"");matchStr(species_cd_3,bcSppList, ""XXXX ERRC"", TRUE)","map(species_cd_3, bcSppList, casSppList)",,
LYR,SPECIES_PER_3,int,"notNull(species_pct_3, -8888);between(species_pct_3, 0, 100, -9999)",copy(species_pct_3),,
LYR,SPECIES_4,str,"notNull(species_cd_4, ""NULL"");matchStr(species_cd_4,bcSppList, ""XXXX ERRC"", TRUE)","map(species_cd_4, bcSppList, casSppList)",,
LYR,SPECIES_PER_4,int,"notNull(species_pct_4, -8888);between(species_pct_4, 0, 100, -9999)",copy(species_pct_4),,
LYR,SPECIES_5,str,"notNull(species_cd_5, ""NULL"");matchStr(species_cd_5,bcSppList, ""XXXX ERRC"", TRUE)","map(species_cd_5, bcSppList, casSppList)",,
