targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
CAS_ID,str,"""notNull(var1, """"NULL"""", var2, """"NULL"""", var3, """"NULL"""", var4, """"NULL"""")""",concat(),,
SOIL_MOIST_REG,,,,,
STRUCTURE_PER,,,,,
LAYER,,,,,
LAYER_RANK,,,,,
CROWN_CLOSURE_UPPER,int,"notNull(density, -8888);between(density, 0, 100, -9999)","map(density, ""A,B,C,D,"", ""6,31,51,71"")",,
CROWN_CLOSURE_LOWER,int,"notNull(density, -8888);between(density, 0, 100, -9999)","map(density, ""A,B,C,D,"", ""30,50,70,100"")",,
HEIGHT_UPPER,int,"notNull(height, -8888);greaterThan(height, 1, -9999a);lesserThan(height, 100, -9999b)",copy(height),,
HEIGHT_LOWER,int,"notNull(height, -8888);greaterThan(height, 1, -9999);lesserThan(height, 100, -9999b)",copy(height),,
PRODUCTIVE_FOR,,,,,
SPECIES_1,str,"notNull(sp1, ""NULL"");matchStr(sp1,abSppList, ""XXXX ERRC"", TRUE)","map(sp1, abSppList, casSppList)",,
SPECIES_PER_1,int,"notNull(sp1_per, -8888);between(sp1_per, 0, 100, -9999)",copy(sp1_per),,
SPECIES_2,str,"notNull(sp2, ""NULL"");matchStr(sp2,abSppList, ""XXXX ERRC"", TRUE)","map(sp2, abSppList, casSppList)",,
SPECIES_PER_2,int,"notNull(sp2_per, -8888);between(sp2_per, 0, 100, -9999)",copy(sp2_per),,
SPECIES_3,str,"notNull(sp3, ""NULL"");matchStr(sp3,abSppList, ""XXXX ERRC"", TRUE)","map(sp3, abSppList, casSppList)",,
SPECIES_PER_3,int,"notNull(sp3_per, -8888);between(sp3_per, 0, 100, -9999)",copy(sp3_per),,
SPECIES_4,str,"notNull(sp4, ""NULL"");matchStr(sp4,abSppList, ""XXXX ERRC"", TRUE)","map(sp4, abSppList, casSppList)",,
SPECIES_PER_4,int,"notNull(sp4_per, -8888);between(sp4_per, 0, 100, -9999)",copy(sp4_per),,
SPECIES_5,str,"notNull(sp5, ""NULL"");matchStr(sp5,abSppList, ""XXXX ERRC"", TRUE)","map(sp5, abSppList, casSppList)",,
SPECIES_PER_5,int,"notNull(sp5_per, -8888);between(sp5_per, 0, 100, -9999)",copy(sp5_per),,
SPECIES_6,NA,NA,NA,NA,NA
SPECIES_PER_6,NA,NA,NA,NA,NA
SPECIES_7,NA,NA,NA,NA,NA
SPECIES_PER_7,NA,NA,NA,NA,NA
SPECIES_8,NA,NA,NA,NA,NA
SPECIES_PER_8,NA,NA,NA,NA,NA
SPECIES_9,NA,NA,NA,NA,NA
SPECIES_PER_9,NA,NA,NA,NA,NA
SPECIES_10,NA,NA,NA,NA,NA
SPECIES_PER_10,NA,NA,NA,NA,NA
ORIGIN_UPPER,int,,,,
ORIGIN_LOWER,int,,,,
SITE_CLASS,text,,,,
SITE_INDEX,text,,,,
