rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({species_1, species_2, species_3, species_4, species_5}, TRUE)",NA,"Translate only rows where sp1, sp2, sp3, sp4 or sp5 is not empty", TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moist_reg);notEmpty(soil_moist_reg);matchList(soil_moist_reg,{'a','A','d','D','m','M','w','W'})","mapText(soil_moist_reg, {'a','A','d','D','m','M','w','W'}, {'A','A','D','D','F','F','W','W'})",Maps source value to SOIL_MOIST_REG using lists of values,TRUE
3,STRUCTURE_PER,integer,"matchList({stand_structure, struc_val}, {'H1', 'H2', 'H3', 'H4', 'H5', 'H6', 'H7', 'H8', 'H9', 'C3', 'C4', 'C6', 'C7', 'C8', 'C9', 'S0', 'M0', 'M', 'MO', '0'})","mapInt({stand_structure, struc_val}, {'H1', 'H2', 'H3', 'H4', 'H5', 'H6', 'H7', 'H8', 'H9', 'C3', 'C4', 'C6', 'C7', 'C8', 'C9', 'S0', 'M0', 'M', 'MO', '0'}, {10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100})","Concatenate stand structure letter and structure percent value, then map to correct value.",TRUE
4,LAYER,integer,true(),"countOfNotNull({species_1_layer1}, {species_1_layer2}, {nfl, anth_veg, anth_non, nat_non}, {unfl, uanth_veg, uanth_non, unat_non}, layer, 'FALSE')",Count layers up to max_layer_number which is set by the createMappingsView() function in the workflow. Dummy variables are used here and in attribute_dependencies.csv to avoid two sets of values (sp1 and usp1) being mapped to the same column (sp1),TRUE
5,LAYER_RANK,integer,false(|-8887),nothingInt(),No rank attribute,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(crown_closure_upper);notEmpty(crown_closure_upper);matchList(crown_closure_upper,{'A','B','C','D'})","mapInt(crown_closure_upper, {'A','B','C','D'}, {30,50,70,100})",Maps source value to CROWN_CLOSURE_UPPER using lists of values.,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(crown_closure_lower);notEmpty(crown_closure_lower);matchList(crown_closure_lower,{'A','B','C','D'})","mapInt(crown_closure_lower, {'A','B','C','D'}, {6,31,51,71})",Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,"notEmpty(species_1|-8887);notNull(height_upper);isNumeric(height_upper);isBetween(height_upper,1,100)",copyDouble(height_upper),"Copies source value to HEIGHT_UPPER for rows with sp1 value. Rows without sp1 can still have height for the nfl shrub layer, we don't want to report those values here.",TRUE
9,HEIGHT_LOWER,double precision,"notEmpty(species_1|-8887);notNull(height_lower);isNumeric(height_lower);isBetween(height_lower,1,100)",copyDouble(height_lower),"Copies source value to HEIGHT_LOWER for rows with sp1 value. Rows without sp1 can still have height for the nfl shrub layer, we don't want to report those values here.",TRUE
10,PRODUCTIVE_FOR,text,false(),nothingText(),Waiting for a new helper function,TRUE
