rule_id,targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
1,HEADER_ID,text,true(|1),copyText('AB06'),Copies value 'AB06' to HEADER_ID,TRUE
2,JURISDICTION,text,true(|1),copyText('AB'),Copies value 'AB' to JURISDICTION,TRUE
3,OWNER_TYPE,text,true(|1),copyText('PROV_GOV'),Copies value 'PROV_GOV' to OWNER_TYPE,TRUE
4,OWNER_NAME,text,true(|1),copyText('CROWN_GRODONBUCHANAN'),Copies value 'CROWN_GRODONBUCHANAN' to OWNER_NAME,TRUE
5,INVENTORY_TYPE,text,true(|1),copyText('AVI'),Copies value 'AVI' to INVENTORY_TYPE,TRUE
6,INVENTORY_VERSION,text,true(|1),copyText('2.1'),Copies value '2.1' to INVENTORY_VERSION,TRUE
7,INVENTORY_MANUAL,text,true(|1),copyText('AVI 2.1 manual'),Copies value 'AVI 2.1 manual' to INVENTORY_MANUAL,TRUE
8,SOURCE_DATA_FORMAT,text,true(|1),copyText('E00'),Copies value 'E00' to SOURCE_DATA_FORMAT,TRUE
9,ACQUISITION_DATE,text,true(|1),copyText('2004'),Copies value '2004' to ACQUISITION_DATE,TRUE
10,DATA_TRANSFER,text,true(|1),copyText('Missing'),Copies value 'Missing' to DATA_TRANSFER,TRUE
11,RECEIVED_FROM,text,true(|1),copyText('Harry Stelfox'),Copies value 'Harry Stelfox' to RECEIVED_FROM,TRUE
12,CONTACT_INFO,text,true(|1),"copyText('Data Distribution Resource Data Division Lands and Forest Service Alberta Environmental Protection 9820, 106 Street, Edmonton, Alberta, T5K 2J6 Datadist@env.gov.ab.ca, 427-7374 (Ph), 422-0973 (Fx)')",Copies value ''Data Distribution...' to CONTACT_INFO,TRUE
13,DATA_AVAILABILITY,text,true(|1),copyText('Alberta Sustainable Resources Development'),Copies value 'Alberta Sustainable Resources Development' to DATA_AVAILABILITY,TRUE
14,REDISTRIBUTION,text,true(|1),copyText('Needs direct agreement from the owner under the license agreement'),Copies value 'Needs direct agreement...' to REDISTRIBUTION,TRUE
15,PERMISSION,text,true(|1),copyText('RESTRICTED'),Copies value 'RESTRICTED' to PERMISSION,TRUE
16,LICENSE_AGREEMENT,text,true(|1),copyText('Expired'),Copies value 'Expired' to LICENSE_AGREEMENT,TRUE
17,SOURCE_DATA_PHOTOYEAR,text,true(|1),copyText('Independent shapefile provided by the province. Fetch at the polygon level by a spatial intersect'),Copies value 'Independent shapefile provided...' to SOURCE_DATA_PHOTOYEAR,TRUE
18,PHOTOYEAR_START,integer,true(|1),copyInt('1996'),Copies value '1996' to PHOTOYEAR_START,TRUE
19,PHOTOYEAR_END,integer,true(|1),copyInt('2000'),Copies value '2000' to PHOTOYEAR_END,TRUE
