rule_id,targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
1,INVENTORY_ID,text,true(|1),copyText('NB01'),Copies value 'NB01' to INVENTORY_ID,TRUE
2,JURISDICTION,text,true(|1),copyText('NB'),Copies value 'NB' to JURISDICTION,TRUE
3,OWNER_TYPE,text,true(|1),copyText('PROV_GOV'),Copies value 'PROV_GOV' to OWNER_TYPE,TRUE
4,OWNER_NAME,text,true(|1),copyText('New Brunswick Natural Resources'),Copies value 'New Brunswick Natural Resources' to OWNER_NAME,TRUE
5,STANDARD_TYPE,text,true(|1),copyText('NA'),Copies value 'NA' to STANDARD_TYPE,TRUE
6,STANDARD_VERSION,text,true(|1),copyText('With Revisions'),Copies value 'With Revisions' to STANDARD_VERSION,TRUE
7,INVENTORY_MANUAL,text,true(|1),copyText('NB Natural Resource data dictionary'),Copies value 'NB Natural Resource Data dictionary' to INVENTORY_MANUAL,TRUE
8,SRC_DATA_FORMAT,text,true(|1),copyText('Shapefile'),Copies value 'Shapefile' to SRC_DATA_FORMAT,TRUE
9,ACQUISITION_DATE,text,true(|1),copyText('21/03/2012'),Copies value '21/03/2012' to ACQUISITION_DATE,TRUE
10,DATA_TRANSFER,text,true(|1),copyText('FTP site ( ftp://ftp.gnb.ca)'),Copies value 'FTP site ( ftp://ftp.gnb.ca)' to DATA_TRANSFER,TRUE
11,RECEIVED_FROM,text,true(|1),copyText('email: Gisele Gaudet. Natural resources. Phone: 506 453-2183. email: gisele.gaudet@gnb.ca'),Copies value 'email: Gisele Gaudet...' to RECEIVED_FROM,TRUE
12,CONTACT_INFO,text,true(|1),copyText('Gisele Gaudet. Natural resources. Phone: 506 453-2183. email: gisele.gaudet@gnb.ca'),Copies value 'Gisele Gaudet...' to CONTACT_INFO,TRUE
13,DATA_AVAILABILITY,text,true(|1),copyText('Administration process'),Copies value 'Administration process' to DATA_AVAILABILITY,TRUE
14,REDISTRIBUTION,text,true(|1),copyText('Needs direct agreement from the owner under point 2.5 of the license agreement'),Copies value 'Needs direct agreement...' to REDISTRIBUTION,TRUE
15,PERMISSION,text,true(|1),copyText('RESTRICTED'),Copies value 'RESTRICTED' to PERMISSION,TRUE
16,LICENSE_AGREEMENT,text,true(|1),copyText('License agreements'),Copies value 'License agreements' to LICENSE_AGREEMENT,TRUE
17,PHOTO_YEAR_SRC,text,true(|1),copyText('Included in SIDS'),Copies value 'Included in SIDS' to PHOTO_YEAR_SRC,TRUE
18,PHOTO_YEAR_START,integer,true(|1),copyInt('1981'),Copies value '1981' to PHOTO_YEAR_START,TRUE
19,PHOTO_YEAR_END,integer,true(|1),copyInt('2010'),Copies value '2010' to PHOTO_YEAR_END,TRUE
