rule_id,targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
1,HEADER_ID,text,true(|1),copyText('BC08'),Copies value 'BC08' to HEADER_ID,TRUE
2,JURISDICTION,text,true(|1),copyText('BC'),Copies value 'BC' to JURISDICTION,TRUE
3,OWNER_TYPE,text,true(|1),copyText('PROV_GOV'),Copies value 'PROV_GOV' to OWNER_TYPE,TRUE
4,OWNER_NAME,text,false(|NOT_APPLICABLE),copyText('BCGOV FOR Forest Analysis'),Copies value 'BCGOV FOR Forest Analysis' to OWNER_NAME,TRUE
5,INVENTORY_TYPE,text,"notNull(inventory_standard_cd|-8888);matchList(inventory_standard_cd,'F,V,I,L'|-9998)","mapInt(inventory_standard_cd, 'F,V,I,L', 'FIP,VRI,I,""')",Maps source value to INVENTORY_TYPE using list,TRUE
6,INVENTORY_VERSION,text,true(|1),copyText('2.1'),Copies value '2.1' to INVENTORY_VERSION,TRUE
7,INVENTORY_MANUAL,text,"notNull(inventory_standard_cd|-8888);matchList(inventory_standard_cd,'F,V,I,L'|-9998)","mapInt(inventory_standard_cd, 'F,V,I,L', 'FIP data dictionary,VRI data dictionary,"",""')",Copies value 'MOF' to LAND_OWNER,TRUE
8,SOURCE_DATA_FORMAT,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
9,ACQUISITION_DATE,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
10,DATA_TRANSFER,text,"notNull(inventory_standard_cd|NULL_VALUE);matchList(inventory_standard_cd,'F,V,I,L'|-9998)",copyText(inventory_standard_cd),Copies source value to INV_TYPE,TRUE
11,RECEIVED_FROM,text,false(|-8887),nothingInt(),Attribute does not occur,TRUE
12,CONTACT_INFO,text,false(|-8887),nothingInt(),Attribute does not occur,TRUE
13,DATA_AVAILABILITY,text,false(|-8887),nothingInt(),Attribute does not occur,TRUE
14,REDISTRIBUTION,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
15,PERMISSION,text,false(|-8887),nothingInt(),Attribute does not occur,TRUE
16,LICENSE_AGREEMENT,text,false(|-8887),nothingInt(),Attribute does not occur,TRUE
17,SOURCE_DATA_PHOTOYEAR,text,,,,TRUE
18,PHOTOYEAR_START,integer,,,,TRUE
19,PHOTOYEAR_END,integer,,,,TRUE
,,,,,,TRUE
