rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(map_id);notNull(feature_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_id, feature_id, ogc_fid}, {'4','15','10','10','7'}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,INVENTORY_ID,text,notEmpty(inventory_id),copyText(inventory_id),Copies source value,TRUE
3,ORIG_STAND_ID,text,"notNull(feature_id);isInt(feature_id);isGreaterThan(feature_id, '0')",copyText(feature_id),Copies source value to ORIG_STAND_ID,TRUE
4,STAND_STRUCTURE,text,true(),copyText('S'),Copies value S to STAND_STRUCTURE,TRUE
5,NUM_OF_LAYERS,integer,true(),copyInt('1'),Copies value 1 to NUM_OF_LAYERS,TRUE
6,MAP_SHEET_ID,text,notNull(map_id),copyText(map_id),Copies source value to MAP_SHEET_ID,TRUE
7,CASFRI_AREA,double precision,"geoIsValid(wkb_geometry, TRUE)",geoArea(wkb_geometry),Validates geometry then calculates area,TRUE
8,CASFRI_PERIMETER,double precision,"geoIsValid(wkb_geometry, TRUE)",geoPerimeter(wkb_geometry),Validates geometry then calculates perimeter,TRUE
9,SRC_INV_AREA,double precision,"notNull(geometry_area);isNumeric(geometry_area);isGreaterThan(geometry_area, '0')",copyDouble(geometry_area),Copies source value to SRC_INV_AREA,TRUE
10,STAND_PHOTO_YEAR,integer,"notNull(reference_year);isInt(reference_year);isBetween(reference_year, '1900', '2020')",copyInt(reference_year),Copies source value to STAND_PHOTO_YEAR,TRUE
