rule_id,targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
1,IDENTIFICATION_ID,integer,"notNull(inventory_standard_cd|-8888);matchList(inventory_standard_cd,'F,V,I,L'|-9998)","mapInt(inventory_standard_cd, 'F,V,I,L', '4,5,6,0')",Maps source value to IDENTIFCATION_ID using list,TRUE
2,JURISDICTION,text,true(|1),copyText('BC'),Copies value 'BC' to JURISDICTION,TRUE
3,COORDINATE_SYS,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
4,PROJECTION,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
5,DATUM,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
6,INVENTORY_OWNER,text,true(|1),copyText('PROV_GOV'),Copies value 'PROV_GOV' to INVENTORY_OWNER,TRUE
7,LAND_OWNER,text,true(|1),copyText('MOF'),Copies value 'MOF' to LAND_OWNER,TRUE
8,PERMISSION,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
9,TENURE_TYPE,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
10,INV_TYPE,text,"notNull(inventory_standard_cd|NULL_VALUE);matchList(inventory_standard_cd,'F,V,I,L'|-9998)",copyText(inventory_standard_cd),Copies source value to INV_TYPE,TRUE
11,INV_VERSION,integer,false(|-8887),nothingInt(),Attribute does not occur,TRUE
12,INV_START_YR,integer,false(|-8887),nothingInt(),Attribute does not occur,TRUE
13,INV_FINISH_YR,integer,false(|-8887),nothingInt(),Attribute does not occur,TRUE
14,INV_ACQ_ID,text,false(|NOT_APPLICABLE),nothingText(),Attribute does not occur,TRUE
15,INV_ACQ_YR,integer,false(|-8887),nothingInt(),Attribute does not occur,TRUE
16,INV_UPDATE_YR,integer,false(|-8887),nothingInt(),Attribute does not occur,TRUE
