rule_id,targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
1,CAS_ID,text,notNull(src_filename|NULL_VALUE);notNull(map_id|NULL_VALUE);notNull(feature_id|NULL_VALUE);notNull(ogc_fid|NULL_VALUE),"padConcat('bc08, src_filename, map_id, feature_id, ogc_fid', '4,15,10,10,7', 'x,x,x,0,0', '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moisture_regime_1|NULL_VALUE);matchList(soil_moisture_regime_1,'0,1,2,3,4,5,6,7,8'|NOT_IN_SET)","mapText(soil_moisture_regime_1, '0,1,2,3,4,5,6,7,8', 'D,D,D,F,F,M,M,W,W')",Maps source value to SOIL_MOIST_REG using lists of values,TRUE
3,STRUCTURE_PER,integer,false(|-8887),nothingInt(),Copy source value to STRUCTURE_PER,TRUE
4,LAYER,integer,true(|1),copyInt(1),Copy value of 1 to LAYER,TRUE
5,LAYER_RANK,integer,true(|1),copyInt(1),Copy value of 1 to LAYER_RANK,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(crown_closure|-8888);isInt(crown_closure|-8889);between(crown_closure,0,100|-9999)",copyInt(crown_closure),Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(crown_closure|-8888);isInt(crown_closure|-8889);between(crown_closure,0,100|-9999)",copyInt(crown_closure),Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,"notNull(proj_height_1|-8888);isNumeric(proj_height_1|-8889);greaterThan(proj_height_1,0.1|-9999);lessThan(proj_height_1,100|-9999)",copyDouble(proj_height_1),Copies source value to HEIGHT_UPPER,TRUE
9,HEIGHT_LOWER,double precision,"notNull(proj_height_1|-8888);isNumeric(proj_height_1|-8889);greaterThan(proj_height_1,0.1|-9999);lessThan(proj_height_1,100|-9999)",copyDouble(proj_height_1),Copies source value to HEIGHT_LOWER,TRUE
10,NAT_NON_VEG,text,false(|NOT_APPLICABLE),nothingText(),Needs custom helper function,TRUE
11,NON_FOR_ANTH,text,false(|NOT_APPLICABLE),nothingText(),Needs custom helper function,TRUE
12,NON_FOR_VEG,text,false(|NOT_APPLICABLE),nothingText(),Needs custom helper function,TRUE
