rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({species_1, species_2, species_3, species_4, species_5, species_6}, TRUE)",NA,"Translate only rows where species_cd_1, species_cd_2, species_cd_3, species_cd_4, species_cd_5 or species_cd_6 is not empty. Also include alpine forest rows in layer 1 when they occur. Map row_non_productive_cd to NULL on lyaer 2 so we don`t create a layer 2 row unless there is species info.", TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moisture_regime);matchList(soil_moisture_regime,{0,1,2,3,4,5,6,7,8})","mapText(soil_moisture_regime, {0,1,2,3,4,5,6,7,8}, {'DRY','DRY','DRY','MESIC','MESIC','MOIST','MOIST','WET','WET'})",Maps source value to SOIL_MOIST_REG using lists of values. Soil moisture is available for layers 1 and 2 as different attributes.,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure_per should always be 100,TRUE
4,STRUCTURE_RANGE,double precision,false(),nothingDouble(),No complex stands identified,TRUE
5,LAYER,integer,true(),"bc_lyr_layer_translation(height_1_layer1, height_2_layer1, species_pct_1_layer1, species_pct_2_layer1, height_1_layer2, height_2_layer2, species_pct_1_layer2, species_pct_2_layer2, {species_1_layer1, species_2_layer1, species_3_layer1, species_4_layer1, species_5_layer1, species_6_layer1}, {species_1_layer2, species_2_layer2, species_3_layer2, species_4_layer2, species_5_layer2, species_6_layer2}, layer)","Reorder the layers that exist in the polygon by height and return the index of the layer being processed. Custom function calculate heught of each layer using bc_height(), then passes the heights to lyr_layer_translation()",TRUE
6,LAYER_RANK,integer,notNull(layer_rank);isInt(layer_rank),copyInt(layer_rank),BC08 is always rank 1. BC10 uses a source attribute. Note that in BC10 layer 1 or layer 2 can be assigned rank 1. The other attribute is always null. Not rank greater than 1 is ever assigned.,TRUE
7,CROWN_CLOSURE_UPPER,integer,"notNull(crown_closure_upper);isInt(crown_closure_upper);isBetween(crown_closure_upper,0,100)",copyInt(crown_closure_upper),Copies source value to CROWN_CLOSURE_UPPER,TRUE
8,CROWN_CLOSURE_LOWER,integer,"notNull(crown_closure_lower);isInt(crown_closure_lower);isBetween(crown_closure_lower,0,100)",copyInt(crown_closure_lower),Copies source value to CROWN_CLOSURE_LOWER,TRUE
9,HEIGHT_UPPER,double precision,"isNumeric(height_1, TRUE); isNumeric(height_2, TRUE); isNumeric(species_pct_1, TRUE); isNumeric(species_pct_2, TRUE); hasCountOfNotNullOrZero({height_1}, {height_2}, 1, FALSE|-8888)","bc_height(height_1, height_2, species_pct_1, species_pct_2)","Custom function calculates a weighted average of height using the percent values for species 1 and 2. Null height values are ignored. Validation makes sure all input values are either numeric or null. Validation checks that at least one height value exists. Otherwise the formula returns null. If only one height value present, the other one is returned. If both percents are null, the average height is returned.",TRUE
10,HEIGHT_LOWER,double precision,"isNumeric(height_1, TRUE); isNumeric(height_2, TRUE); isNumeric(species_pct_1, TRUE); isNumeric(species_pct_2, TRUE); hasCountOfNotNullOrZero({height_1}, {height_2}, 1, FALSE|-8888)","bc_height(height_1, height_2, species_pct_1, species_pct_2)","Custom function calculates a weighted average of height using the percent values for species 1 and 2. Null height values are ignored. Validation makes sure all input values are either numeric or null. Validation checks that at least one height value exists. Otherwise the formula returns null. If only one height value present, the other one is returned. If both percents are null, the average height is returned.",TRUE
