rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notMatchList(non_for_anth, 'CUTBLOCK', TRUE, TRUE, TRUE)",NA,"Translate only rows which are not Cutblock. Keep nulls and unknows.",TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,false(),nothingInt(),Attribute does not occur,TRUE
3,STRUCTURE_PER,integer,false(),nothingInt(),Attribute does not occur,TRUE
4,LAYER,integer,true(),copyInt(1),Layer is alway 1,TRUE
5,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,CROWN_CLOSURE_UPPER,integer,false(),nothingInt(),Attribute does not occur,TRUE
7,CROWN_CLOSURE_LOWER,integer,false(),nothingInt(),Attribute does not occur,TRUE
8,HEIGHT_UPPER,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
9,HEIGHT_LOWER,double precision,false(),nothingDouble(),Attribute does not occur,TRUE
10,NAT_NON_VEG,text,"false()","nothingText()","Only NON_FOR_ANTH info occurs",TRUE
11,NON_FOR_ANTH,text,"notNull(non_for_anth);notEmpty(non_for_anth);matchList(non_for_anth,{'AGRICULTURE','MINE','OIL/GAS','WELLSITE','RESERVOIR','SETTLEMENT', 'UNKNOWN'}, TRUE, FALSE, TRUE, TRUE);","mapText(non_for_anth, {'AGRICULTURE','MINE','OIL/GAS','WELLSITE','RESERVOIR','SETTLEMENT', 'UNKNOWN'}, {'CULTIVATED','INDUSTRIAL','INDUSTRIAL','INDUSTRIAL','LAGOON', 'SETTLEMENT','UNKNOWN_VALUE'}, TRUE, TRUE)","Map source values to ",TRUE
12,NON_FOR_VEG,text,"false()","nothingText()","Only NON_FOR_ANTH info occurs",TRUE
