rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"matchList(dist_type_1, {'BURN', 'CUT', '2', '3', 'CUTBLOCK'}, TRUE, FALSE)",NA,Translate only rows corresponding to CASFRI disturbances. Nulls and unknowns are translated as NFL, TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_TYPE_1,text,"notEmpty(dist_type_1);matchList(dist_type_1, {'BURN', 'CUT', '2', '3', 'Cutblock'})","mapText(dist_type_1,{'BURN', 'CUT', '2', '3', 'Cutblock'},{'BURN', 'CUT', 'BURN', 'CUT', 'CUT'}, TRUE)",Map original value to CUT or BURN,TRUE
3,DIST_YEAR_1,integer,"notNull(stand_photo_year);isInt(stand_photo_year);isBetween(stand_photo_year, 1917, 2020|-8886)",copyInt(stand_photo_year),Copy original value,TRUE
4,DIST_EXT_UPPER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
5,DIST_EXT_LOWER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,DIST_TYPE_2,text,false(),nothingText(),Attribute does not occur,TRUE
7,DIST_YEAR_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
8,DIST_EXT_UPPER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur,TRUE
11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,false(|-8886),nothingInt(),Disturbance layer is unknown,TRUE
