rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(polyid);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', polyid, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,false(),nothingText(),Attribute does not occur,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,LAYER,integer,true(),"countOfNotNull({ospcomp}, {uspcomp}, {polytype}, max_layer_number)",Count layers up to max_layer_number which is set by the createMappingsView() function in the workflow. ,TRUE
5,LAYER_RANK,integer,false(|-8887),nothingInt(),Copies 1 to LAYER_ID,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(occlo);isInt(occlo);isGreaterThan(occlo,'0');isLessThan(occlo, 100)",copyInt(occlo),Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(occlo);isInt(occlo);isGreaterThan(occlo,'0');isLessThan(occlo, 100)",copyInt(occlo),Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
8,HEIGHT_UPPER,double precision,"notNull(oht);isNumeric(oht);isGreaterThan(oht,'1');isLessThan(oht, 100)",copyDouble(oht),Copies source value to HEIGHT_UPPER,TRUE
9,HEIGHT_LOWER,double precision,"notNull(oht);isNumeric(oht);isGreaterThan(oht,'1');isLessThan(oht, 100)",copyDouble(oht),Copies source value to HEIGHT_LOWER,TRUE
10,PRODUCTIVE_FOR,text,"notNull(polytype);matchList(polytype,{'BSH','DAL','FOR','GRS','ISL','OMS','RCK','TMS','UCL','WAT'})","mapText(polytype, {'BSH','DAL','FOR','GRS','ISL','OMS','RCK','TMS','UCL','WAT'}, {'PP','PP','PF','PP','PP','PP','PP','PP','PP','PP'})",Correct translation has not been determined.,TRUE
11,SPECIES_1,text,"notNull(ospcomp);lengthMatchList(ospcomp, {6,12,18,24,30,36,42,48,54,60}|NOT_APPLICABLE)","fim_species_translation(ospcomp, 1, 'translation', 'on_fim02_species', 'spec1')","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and feeds the species name from the code into the mapping function that maps to casfri species using a lookup table.",TRUE
12,SPECIES_PER_1,integer,"notNull(ospcomp);lengthMatchList(ospcomp, {6,12,18,24,30,36,42,48,54,60}|-8887)","fim_species_percent_translation(ospcomp, 1)","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and returns the percentage characters.",TRUE
13,SPECIES_2,text,"notNull(ospcomp);lengthMatchList(ospcomp, {12,18,24,30,36,42,48,54,60}|NOT_APPLICABLE)","fim_species_translation(ospcomp, 2, 'translation', 'on_fim02_species', 'spec1')","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and feeds the species name from the code into the mapping function that maps to casfri species using a lookup table.",TRUE
14,SPECIES_PER_2,integer,"notNull(ospcomp);lengthMatchList(ospcomp, {12,18,24,30,36,42,48,54,60}|-8887)","fim_species_percent_translation(ospcomp, 2)","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and returns the percentage characters.",TRUE
15,SPECIES_3,text,"notNull(ospcomp);lengthMatchList(ospcomp, {18,24,30,36,42,48,54,60}|NOT_APPLICABLE)","fim_species_translation(ospcomp, 3, 'translation', 'on_fim02_species', 'spec1')","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and feeds the species name from the code into the mapping function that maps to casfri species using a lookup table.",TRUE
16,SPECIES_PER_3,integer,"notNull(ospcomp);lengthMatchList(ospcomp, {18,24,30,36,42,48,54,60}|-8887)","fim_species_percent_translation(ospcomp, 3)","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and returns the percentage characters.",TRUE
17,SPECIES_4,text,"notNull(ospcomp);lengthMatchList(ospcomp, {24,30,36,42,48,54,60}|NOT_APPLICABLE)","fim_species_translation(ospcomp, 4, 'translation', 'on_fim02_species', 'spec1')","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and feeds the species name from the code into the mapping function that maps to casfri species using a lookup table.",TRUE
18,SPECIES_PER_4,integer,"notNull(ospcomp);lengthMatchList(ospcomp, {24,30,36,42,48,54,60}|-8887)","fim_species_percent_translation(ospcomp, 4)","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and returns the percentage characters.",TRUE
19,SPECIES_5,text,"notNull(ospcomp);lengthMatchList(ospcomp, {30,36,42,48,54,60}|NOT_APPLICABLE)","fim_species_translation(ospcomp, 5, 'translation', 'on_fim02_species', 'spec1')","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and feeds the species name from the code into the mapping function that maps to casfri species using a lookup table.",TRUE
20,SPECIES_PER_5,integer,"notNull(ospcomp);lengthMatchList(ospcomp, {30,36,42,48,54,60}|-8887)","fim_species_percent_translation(ospcomp, 5)","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and returns the percentage characters.",TRUE
21,SPECIES_6,text,"notNull(ospcomp);lengthMatchList(ospcomp, {36,42,48,54,60}|NOT_APPLICABLE)","fim_species_translation(ospcomp, 6, 'translation', 'on_fim02_species', 'spec1')","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and feeds the species name from the code into the mapping function that maps to casfri species using a lookup table.",TRUE
22,SPECIES_PER_6,integer,"notNull(ospcomp);lengthMatchList(ospcomp, {36,42,48,54,60}|-8887)","fim_species_percent_translation(ospcomp, 6)","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and returns the percentage characters.",TRUE
23,SPECIES_7,text,"notNull(ospcomp);lengthMatchList(ospcomp, {42,48,54,60}|NOT_APPLICABLE)","fim_species_translation(ospcomp, 7, 'translation', 'on_fim02_species', 'spec1')","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and feeds the species name from the code into the mapping function that maps to casfri species using a lookup table.",TRUE
24,SPECIES_PER_7,integer,"notNull(ospcomp);lengthMatchList(ospcomp, {42,48,54,60}|-8887)","fim_species_percent_translation(ospcomp, 7)","Validation-checks species string is not null, check there are enough species to return a value using the length of the string. String is trimmed to fix some error source data with leading and trainling spaces.     Translation - gets the requested species code and returns the percentage characters.",TRUE
