rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(invproj_id);notNull(fc_id_1);notNull(ogc_fid),"padConcat({inventory_id, src_filename, invproj_id, fc_id_1, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,DIST_TYPE_1,text,"notNull(dis1code);matchList(dis1code,{'BT','BU','CC','DT','FL','IK','PO','SL','SN','TH','UK','UN','VT','WI'})","mapText(dis1code, {'BT','BU','CC','DT','FL','IK','PO','SL','SN','TH','UK','UN','VT','WI'}, {'OT','BU','CO','DT','FL','IK','OT','OT','DT','SI','OT','OT','DT','WF'})",Maps source value to DIST_TYPE_1 using lists of values,TRUE
3,DIST_YEAR_1,integer,"notNull(dis1year);isInt(dis1year);isBetween(dis1year,1,2020)",copyInt(dis1year),Copies (line_7b_disturbance_history) to DIST_YEAR_1,TRUE
4,DIST_EXT_UPPER_1,integer,"notNull(dis1ext);isInt(dis1ext);isGreaterThan(dis1ext,0,'FALSE');matchList(dis1ext,{1,2,3,4,5})","mapInt(dis1ext, {1,2,3,4,5}, {25,50,75,95,100})",Maps extent range to upper,TRUE
5,DIST_EXT_LOWER_1,integer,"notNull(dis1ext);isInt(dis1ext);isGreaterThan(dis1ext,0,'FALSE');matchList(dis1ext,{1,2,3,4,5})","mapInt(dis1ext, {1,2,3,4,5}, {1,26,51,76,96})",Maps extent range to lower,TRUE
6,DIST_TYPE_2,text,false(),nothingText(),Attribute does not occur,TRUE
7,DIST_YEAR_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
8,DIST_EXT_UPPER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur,TRUE
11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,true(),copyInt(1),Assign disturbances to layer 1 unless inventory specifies otherwise. This allows all disturbance to be queried with layer 1 info.,TRUE
