Jurisdiction,Standard,I_CODE,CAS_CODE
**,,,
NS,,AP,Pinu nigr
NS,,JP,Pinu bank
NS,,RP,Pinu resi
NS,,SP,Pinu sylv
NS,,WP,Pinu stro
NS,,*BF,Abie pice
NS,,BF,Abie bals
NS,,DF,Pseu menz
NS,,BS,Pice mari
NS,,NS,Pice abie
NS,,RS,Pice rube
NS,,SS,Pice sitc
NS,,WS,Pice glau
NS,,XS,Pice spp.
NS,,EC,Thuj occi
NS,,EH,Tsug cana
NS,,EL,Lari deci
NS,,JL,Lari kaem
NS,,TL,Lari lari
NS,,WL,Lari occi
NS,,*XL,Lari xmar
NS,,XL,Lari hybr
NS,,OS,Soft unkn
NS,,US,Soft unkn
NS,,*TA,Popu trem
NS,,TA,Popu spp.
NS,,AS,Frax spp.
NS,,BC,Prun sero
NS,,BE,Fagu gran
NS,,BP,Popu balb
NS,,WE,Ulmu amer
NS,,GB,Betu popu
NS,,YB,Betu alle
NS,,WB,Betu papy
NS,,IW,Ostr virg
NS,,RO,Quer rubr
NS,,SM,Acer sacc
NS,,RM,Acer rubr
NS,,TH,Hard tole
NS,,IH,Hard into
NS,,OH,Hard unkn
NS,,UH,Hard unkn
NS,,UC,Uncl spp.
NS,,WI,Sali spp.
**,,,
*
AB,,*UN,Spec unkn
AB,,A,Popu spp.
AB,,AW,Popu trem
AB,,BW,Betu papy
AB,,FA,Abie lasi
AB,,FB,Abie bals
AB,,FD,Pseu menz
AB,,LA,Lari lyal
AB,,LT,Lari lari
AB,,LW,Lari occi
AB,,P,Pinu spp.
AB,,PA,Pinu albi
AB,,PB,Popu balb
AB,,PF,Pinu flex
AB,,PJ,Pinu bank
AB,,PL,Pinu cont
AB,,SB,Pice mari
AB,,SE,Pice enge
AB,,SW,Pice glau
AB,,BP,Betu papy
AB,,WI,Sali spp.
AB,,AL,Alnu spp.
*
MB,,AS,Frax spp.
MB,,*BA,Popu bals
MB,,BA,Popu balb
MB,,BF,Abie bals
MB,,BS,Pice mari
MB,,GA,Frax penn
MB,,JP,Pinu bank
MB,,MM,Acer negu
MB,,TA,Popu trem
MB,,TL,Lari lari
MB,,LA,Lari lari
MB,,LP,Pinu cont
MB,,CE,Thuj occi
MB,,OH,Hard unkn
MB,,*WB,Betu spp.
MB,,WB,Betu papy
MB,,WS,Pice glau
**,MB_0001-FML1-FRI97 (former Tembec FMA) entries not in FLI standard
MB,,*OB,Quer macr
MB,,BO,Quer macr
MB,,E,Ulmu amer
**,various FRI inventories not in FLI and not occurring in Tembec
MB,,B,Tili amer
MB,,CO,Popu delt
MB,,EC,Thuj occi
MB,,RP,Pinu resi
MB,,SP,Pinu sylv
MB,,W,Sali spp.
** defined in FRI but do not appear in our datasets.
MB,,HH,Ostr virg
MB,,*BH,Celt occi
MB,,HB,Celt occi
MB,,EL,Lari deci
MB,,BD,Tili amer
MB,,WI,Sali spp.
MB,,WP,Pinu stro
**,,,
NB,,AL,Alnu spp.
NB,,AP,Pinu nigr
NB,,AS,Frax spp.
NB,,BA,Frax nigr
NB,,BE,Fagu gran
NB,,BF,Abie bals
NB,,BI,Betu spp.
NB,,BL,Robi psue
NB,,BP,*Popu bals
NB,,BP,Popu balb
NB,,BS,Pice mari
NB,,DF,Abie spp.
NB,,DS,Pice spp.
NB,,EB,Betu pend
NB,,EC,Thuj occi
NB,,EH,Tsug cana
NB,,EL,Lari deci
NB,,FD,Pseu menz
NB,,FS,Abie pice
NB,,GB,Betu popu
NB,,HL,Gled tria
NB,,HW,Hard unkn
NB,,*I,Ostr virg
NB,,Ir,Ostr virg
NB,,IH,Hard into
NB,,JF,Abie firm
NB,,JL,Lari kaem
NB,,JP,Pinu bank
NB,,LA,Popu gran
NB,,LP,Pinu cont
NB,,*MA,Acer sach
NB,,MA,Acer spp.
NB,,*MS,Acer sach
NB,,MS,Uncl spp.
NB,,*NC,Prun spp.
NB,,NC,Hard nonc
NB,,NR,Uncl spp.
NB,,NS,Pice abie
NB,,O,Quer spp.
NB,,Oa,Quer spp.
NB,,OH,Hard unkn
NB,,OS,Soft unkn
NB,,PI,Pinu spp.
NB,,PO,Popu spp.
NB,,PR,Pinu rigi
NB,,PS,Pinu sylv
NB,,RM,Acer rubr
NB,,RP,Pinu resi
NB,,*RS,Pice mari
NB,,RS,Pice rube
NB,,SF,Abie pice
NB,,SM,Acer sacc
NB,,*SP,Pice rube
NB,,SP,Pice spp.
NB,,SW,Soft unkn
NB,,TA,Popu trem
NB,,TH,Hard tole
NB,,TL,Lari lari
NB,,WA,Frax amer
NB,,WB,Betu papy
NB,,WC,Thuj plic
NB,,WP,Pinu stro
NB,,WO,Pinu stro
NB,,WS,Pice glau
NB,,YB,Betu alle
**,,,
NL,,BF,Abie bals
NL,,BS,Pice mari
NL,,*BP,Popu bals
NL,,BP,Popu balb
NL,,ES,Pice enge
NL,,EL,Lari deci
NL,,JP,Pinu bank
NL,,JB,Betu mand
NL,,JL,Lari kaem
NL,,LP,Pinu cont
NL,,RM,Acer rubr
NL,,RP,Pinu resi
NL,,SP,Pinu sylv
NL,,SS,Pice sitc
NL,,TL,Lari lari
NL,,TA,Popu trem
NL,,WB,Betu papy
NL,,WP,Pinu stro
NL,,WS,Pice glau
NL,,YB,Betu alle
**,,,
NT,,A,Popu trem
NT,,BW,Betu papy
NT,,SW,Pice glau
NT,,SB,Pice mari
NT,,PL,Pinu cont
NT,,PJ,Pinu bank
NT,,F,Abie lasi
NT,,L,Lari lari
NT,,PO,Popu balb
NT,,SA,Sali spp.
NT,,AL,Alnu spp.
NT,,S,Pice spp.
NT,,AW,Popu trem
NT,,LW,Lari lari
NT,,PB,Popu bals
NT,,AB,Abies spp.
NT,,BG,Uncl spp.
NT,,BS,Pice mari
NT,,PB,Popu bals
NT,,P,Pinu spp.
NT,,XX,Uncl spp.
**,,,
**,,,
PANP,,AB,Abie bals
PANP,,BP,Betu papy
PANP,,LL,Lari lari
PANP,,PG,Pice glau
PANP,,PM,Pice mari
PANP,,PB,Pinu bank
PANP,,PT,Popu trem
**,,,
PE,,AL,Alnu spp.
PE,,AP,Pinu nigr
PE,,BE,Fagu gran
PE,,*BF,Abie pice
PE,,BF,Abie bals
PE,,BS,Pice mari
PE,,BN,Jugl cine
PE,,*CE,Thuj oci
PE,,CE,Thuj occi
PE,,DF,Pseu menz
PE,,EL,Lari deci
PE,,EM,Ulmu amer
PE,,GB,Betu popu
PE,,HE,Tsug cana
PE,,JP,Pinu bank
PE,,LA,Lari lari
PE,,*LI,Pili amer
PE,,LI,Tili amer
PE,,LP,Pinu cont
PE,,*MA,Malu spp.
PE,,MA,Malu pumi
PE,,NS,Pice abie
PE,,PC,Prun pens
PE,,PO,Popu spp.
PE,,RM,Acer rubr
PE,,RP,Pinu resi
PE,,RO,Quer rubr
PE,,SM,Acer sacc
PE,,RS,Pice rube
PE,,SP,Pinu sylv
PE,,WA,Frax amer
PE,,WP,Pinu stro
PE,,WS,Pice glau
PE,,YB,Betu alle
PE,,WB,Betu papy
**,,,
SK,,WS,Pice glau
