SPEC#,FRI_VALUE
Popu balb,ACB
Popu bals,*AC
Popu balb,AC
Popu balt,ACT
Popu delx,*AD
Popu delt,AD
Popu spp.,A
Popu trem,AT
Popu delx,*AX
Popu hybr,AX
Abie amab,BA
Abie spp.,B
Abie bals,BB
Abie gran,BG
Abie lasi,BL
Abie magn,BM
Abie proc,BP
Thuj plic,C
Thuj plic,CW
Alnu spp.,D
Alnu inca,DM
Alnu rubr,DR
Betu neoa,EA
Betu spp.,E
Betu pend,EE
Betu papy,EP
Betu pube,ES
Betu occi,EW
Betu alle,EY
Pseu men,*FDC
Pseu menm,FDC
Pseu men,*FDI
Pseu meng,FDI
Pseu menz,FD
Pseu menz,F
Corn nutt,G
Corn nutt,GP
Tsug mert,HM
Tsug spp.,H
Tsug hete,HW
Tsug merx,HXM
Juni scop,J
Juni scop,JR
Rham purs,K
Lari lyal,LA
Lari spp.,L
Lari sibi,LS
Lari lari,LT
Lari occi,LW
Acer spp.,M
Acer macr,MB
Acer circ,MV
Calc decu,OA
Pinu albi,PA
Pinu flex,PF
Pinu bank,PJ
Pinu cont,*PLC
Pinu conc,PLC
Pinu cont,*PLI
Pinu conl,PLI
Pinu cont,PL
Pinu radi,PM
Pinu spp.,P
Pinu resi,PR
Pinu mont,PW
Pinu murx,PXJ
Pinu pond,PY
Quer garr,QG
Quer spp.,Q
Arbu menz,RA
Arbu menz,R
Pice mari,SB
Pice enge,SE
Pice abie,SN
Pice spp.,S
Pice sitc,SS
Pice glau,SW
Pice lutx,*SXL
Pice sitx,SXL
Pice sppx,*SX
Pice hybr,SX
Pice sitx,SXS
Pice enge,SXW
Taxu brev,T
Taxu brev,TW
Malu pumi,U
Prun emar,VB
Prun pens,VP
Prun spp.,V
Prun aviu,VS
Sali spp.,WA
Sali bebb,WB
Sali luci,WP
Sali spp.,W
Sali scou,WS
Soft unkn,XC
hard unkn,*XH
Hard unkn,XH
Prun pens,*X
Uncl spp.,X
Cham noot,YC
Cham noot,Y
Soft unkn,ZC
hard unkn,*ZH
Hard unkn,ZH
Uncl spp.,Z
