SOURCE_VAL,SPEC1,SPEC2,SPEC3,SPEC4,SPEC5,SPEC6,SPEC7,SPEC8,SPEC9
ACB,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb
*AC,Popu bals,Popu bals,Popu bals,Popu bals,Popu bals,Popu bals,Popu bals,Popu bals,Popu bals
AC,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb
ACT,Popu balt,Popu balt,Popu balt,Popu balt,Popu balt,Popu balt,Popu balt,Popu balt,Popu balt
*AD,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx
AD,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt
A,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.
AT,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem
*AX,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx
AX,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr
BA,Abie amab,Abie amab,Abie amab,Abie amab,Abie amab,Abie amab,Abie amab,Abie amab,Abie amab
B,Abie spp.,Abie spp.,Abie spp.,Abie spp.,Abie spp.,Abie spp.,Abie spp.,Abie spp.,Abie spp.
BB,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals
BG,Abie gran,Abie gran,Abie gran,Abie gran,Abie gran,Abie gran,Abie gran,Abie gran,Abie gran
BL,Abie lasi,Abie lasi,Abie lasi,Abie lasi,Abie lasi,Abie lasi,Abie lasi,Abie lasi,Abie lasi
BM,Abie magn,Abie magn,Abie magn,Abie magn,Abie magn,Abie magn,Abie magn,Abie magn,Abie magn
BP,Abie proc,Abie proc,Abie proc,Abie proc,Abie proc,Abie proc,Abie proc,Abie proc,Abie proc
C,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic
CW,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic
D,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.
DM,Alnu inca,Alnu inca,Alnu inca,Alnu inca,Alnu inca,Alnu inca,Alnu inca,Alnu inca,Alnu inca
DR,Alnu rubr,Alnu rubr,Alnu rubr,Alnu rubr,Alnu rubr,Alnu rubr,Alnu rubr,Alnu rubr,Alnu rubr
EA,Betu neoa,Betu neoa,Betu neoa,Betu neoa,Betu neoa,Betu neoa,Betu neoa,Betu neoa,Betu neoa
E,Betu spp.,Betu spp.,Betu spp.,Betu spp.,Betu spp.,Betu spp.,Betu spp.,Betu spp.,Betu spp.
EE,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend
