SPEC#,FRI_VALUE
Alnu spp.,AL
Pinu nigr,AP
Frax spp.,AS
Frax nigr,BA
Fagu gran,BE
Abie bals,BF
Betu spp.,BI
Robi psue,BL
*Popu bals,BP
Popu balb,BP
Pice mari,BS
Abie spp.,DF
Pice spp.,DS
Betu pend,EB
Thuj occi,EC
Tsug cana,EH
Lari deci,EL
Pseu menz,FD
Abie pice,FS
Betu popu,GB
Gled tria,HL
Hard unkn,HW
Ostr virg,*I
Ostr virg,Ir
Hard into,IH
Abie firm,JF
Lari kaem,JL
Pinu bank,JP
Popu gran,LA
Pinu cont,LP
Acer sach,*MA
Acer spp.,MA
Acer sach,*MS
Uncl spp.,MS
Prun spp.,*NC
Hard nonc,NC
Uncl spp.,NR
Pice abie,NS
Quer spp.,O
Quer spp.,Oa
Hard unkn,OH
Soft unkn,OS
Pinu spp.,PI
Popu spp.,PO
Pinu rigi,PR
Pinu sylv,PS
Acer rubr,RM
Pinu resi,RP
Pice mari,*RS
Pice rube,RS
Abie pice,SF
Acer sacc,SM
Pice rube,*SP
Pice spp.,SP
Soft unkn,SW
Popu trem,TA
Hard tole,TH
Lari lari,TL
Frax amer,WA
Betu papy,WB
Thuj plic,WC
Pinu stro,WP
Pinu stro,WO
Pice glau,WS
Betu alle,YB
