SOURCE_VAL,SPEC1,SPEC2,SPEC3,SPEC4,SPEC5
AL,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.
AP,Pinu nigr,Pinu nigr,Pinu nigr,Pinu nigr,Pinu nigr
AS,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.
BA,Frax nigr,Frax nigr,Frax nigr,Frax nigr,Frax nigr
BE,Fagu gran,Fagu gran,Fagu gran,Fagu gran,Fagu gran
BF,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals
BI,Betu spp.,Betu spp.,Betu spp.,Betu spp.,Betu spp.
BL,Robi psue,Robi psue,Robi psue,Robi psue,Robi psue
BP,*Popu bals,*Popu bals,*Popu bals,*Popu bals,*Popu bals
BP,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb
BS,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari
DF,Abie spp.,Abie spp.,Abie spp.,Abie spp.,Abie spp.
DS,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.
EB,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend
EC,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi
EH,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana
EL,Lari deci,Lari deci,Lari deci,Lari deci,Lari deci
FD,Pseu menz,Pseu menz,Pseu menz,Pseu menz,Pseu menz
FS,Abie pice,Abie pice,Abie pice,Abie pice,Abie pice
GB,Betu popu,Betu popu,Betu popu,Betu popu,Betu popu
HL,Gled tria,Gled tria,Gled tria,Gled tria,Gled tria
HW,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn
*I,Ostr virg,Ostr virg,Ostr virg,Ostr virg,Ostr virg
Ir,Ostr virg,Ostr virg,Ostr virg,Ostr virg,Ostr virg
IH,Hard into,Hard into,Hard into,Hard into,Hard into
JF,Abie firm,Abie firm,Abie firm,Abie firm,Abie firm
JL,Lari kaem,Lari kaem,Lari kaem,Lari kaem,Lari kaem
JP,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank
LA,Popu gran,Popu gran,Popu gran,Popu gran,Popu gran
LP,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont
*MA,Acer sach,Acer sach,Acer sach,Acer sach,Acer sach
MA,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.
*MS,Acer sach,Acer sach,Acer sach,Acer sach,Acer sach
MS,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.
*NC,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.
NC,Hard nonc,Hard nonc,Hard nonc,Hard nonc,Hard nonc
NR,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.
NS,Pice abie,Pice abie,Pice abie,Pice abie,Pice abie
O,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
Oa,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
OH,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn
OS,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn
PI,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.
PO,Popu spp.,Popu spp.,Popu spp.,Popu spp.,Popu spp.
PR,Pinu rigi,Pinu rigi,Pinu rigi,Pinu rigi,Pinu rigi
PS,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv
RM,Acer rubr,Acer rubr,Acer rubr,Acer rubr,Acer rubr
RP,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi
*RS,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari
RS,Pice rube,Pice rube,Pice rube,Pice rube,Pice rube
SF,Abie pice,Abie pice,Abie pice,Abie pice,Abie pice
SM,Acer sacc,Acer sacc,Acer sacc,Acer sacc,Acer sacc
*SP,Pice rube,Pice rube,Pice rube,Pice rube,Pice rube
SP,Pice spp.,Pice spp.,Pice spp.,Pice spp.,Pice spp.
SW,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn
TA,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem
TH,Hard tole,Hard tole,Hard tole,Hard tole,Hard tole
TL,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari
WA,Frax amer,Frax amer,Frax amer,Frax amer,Frax amer
WB,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy
WC,Thuj plic,Thuj plic,Thuj plic,Thuj plic,Thuj plic
WP,Pinu stro,Pinu stro,Pinu stro,Pinu stro,Pinu stro
WO,Pinu stro,Pinu stro,Pinu stro,Pinu stro,Pinu stro
WS,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau
YB,Betu alle,Betu alle,Betu alle,Betu alle,Betu alle
