source_val,spec1,spec2
AP,Pinu nigr,Pinu nigr
JP,Pinu bank,Pinu bank
RP,Pinu resi,Pinu resi
SP,Pinu sylv,Pinu sylv
WP,Pinu stro,Pinu stro
*BF,Abie pice,Abie pice
BF,Abie bals,Abie bals
DF,Pseu menz,Pseu menz
BS,Pice mari,Pice mari
NS,Pice abie,Pice abie
RS,Pice rube,Pice rube
SS,Pice sitc,Pice sitc
WS,Pice glau,Pice glau
XS,Pice spp.,Pice spp.
EC,Thuj occi,Thuj occi
EH,Tsug cana,Tsug cana
EL,Lari deci,Lari deci
JL,Lari kaem,Lari kaem
TL,Lari lari,Lari lari
WL,Lari occi,Lari occi
*XL,Lari xmar,Lari xmar
XL,Lari hybr,Lari hybr
OS,Soft unkn,Soft unkn
US,Soft unkn,Soft unkn
*TA,Popu trem,Popu trem
TA,Popu spp.,Popu spp.
AS,Frax spp.,Frax spp.
BC,Prun sero,Prun sero
BE,Fagu gran,Fagu gran
BP,Popu balb,Popu balb
WE,Ulmu amer,Ulmu amer
GB,Betu popu,Betu popu
YB,Betu alle,Betu alle
WB,Betu papy,Betu papy
IW,Ostr virg,Ostr virg
RO,Quer rubr,Quer rubr
SM,Acer sacc,Acer sacc
RM,Acer rubr,Acer rubr
TH,Hard tole,Hard tole
IH,Hard into,Hard into
OH,Hard unkn,Hard unkn
UH,Hard unkn,Hard unkn
UC,Uncl spp.,Uncl spp.
WI,Sali spp.,Sali spp.
S,Soft unkn,Hard unkn
SH,Soft unkn,Hard unkn
H,Hard unkn,Soft unkn
HS,Hard unkn,Soft unkn
