source_val,spec1,spec2,spec3,spec4
A,Popu trem,Popu trem,Popu trem,Popu trem
BW,Betu papy,Betu papy,Betu papy,Betu papy
SW,Pice glau,Pice glau,Pice glau,Pice glau
SB,Pice mari,Pice mari,Pice mari,Pice mari
PL,Pinu cont,Pinu cont,Pinu cont,Pinu cont
PJ,Pinu bank,Pinu bank,Pinu bank,Pinu bank
F,Abie lasi,Abie lasi,Abie lasi,Abie lasi
L,Lari lari,Lari lari,Lari lari,Lari lari
PO,Popu balb,Popu balb,Popu balb,Popu balb
SA,Sali spp.,Sali spp.,Sali spp.,Sali spp.
AL,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.
S,Pice spp.,Pice spp.,Pice spp.,Pice spp.
AW,Popu trem,Popu trem,Popu trem,Popu trem
LW,Lari lari,Lari lari,Lari lari,Lari lari
PB,Popu bals,Popu bals,Popu bals,Popu bals
AB,Abies spp.,Abies spp.,Abies spp.,Abies spp.
BG,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.
BS,Pice mari,Pice mari,Pice mari,Pice mari
P,Pinu spp.,Pinu spp.,Pinu spp.,Pinu spp.
XX,Uncl spp.,Uncl spp.,Uncl spp.,Uncl spp.
