source_val,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9
AB,Frax nigr,Frax nigr,Frax nigr,Frax nigr,Frax nigr,Frax nigr,Frax nigr,Frax nigr,Frax nigr
AG,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn
AH,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.
AL,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.,Alnu spp.
AM,Sorb spp.,Sorb spp.,Sorb spp.,Sorb spp.,Sorb spp.,Sorb spp.,Sorb spp.,Sorb spp.,Sorb spp.
AP,Frax prof,Frax prof,Frax prof,Frax prof,Frax prof,Frax prof,Frax prof,Frax prof,Frax prof
AQ,Frax quad,Frax quad,Frax quad,Frax quad,Frax quad,Frax quad,Frax quad,Frax quad,Frax quad
AW,Frax amer,Frax amer,Frax amer,Frax amer,Frax amer,Frax amer,Frax amer,Frax amer,Frax amer
AX,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.,Frax spp.
B,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals
BB,Carp caro,Carp caro,Carp caro,Carp caro,Carp caro,Carp caro,Carp caro,Carp caro,Carp caro
BC,Betu lent,Betu lent,Betu lent,Betu lent,Betu lent,Betu lent,Betu lent,Betu lent,Betu lent
BD,Tili amer,Tili amer,Tili amer,Tili amer,Tili amer,Tili amer,Tili amer,Tili amer,Tili amer
BE,Fagu gran,Fagu gran,Fagu gran,Fagu gran,Fagu gran,Fagu gran,Fagu gran,Fagu gran,Fagu gran
BF,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals
BG,Betu popu,Betu popu,Betu popu,Betu popu,Betu popu,Betu popu,Betu popu,Betu popu,Betu popu
BL,Tili plat,Tili plat,Tili plat,Tili plat,Tili plat,Tili plat,Tili plat,Tili plat,Tili plat
BN,Jugl cine,Jugl cine,Jugl cine,Jugl cine,Jugl cine,Jugl cine,Jugl cine,Jugl cine,Jugl cine
BP,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend,Betu pend
BS,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari
BW,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy
BY,Betu alle,Betu alle,Betu alle,Betu alle,Betu alle,Betu alle,Betu alle,Betu alle,Betu alle
CAT,Cata spec,Cata spec,Cata spec,Cata spec,Cata spec,Cata spec,Cata spec,Cata spec,Cata spec
CB,Prun sero,Prun sero,Prun sero,Prun sero,Prun sero,Prun sero,Prun sero,Prun sero,Prun sero
CC,Prun virg,Prun virg,Prun virg,Prun virg,Prun virg,Prun virg,Prun virg,Prun virg,Prun virg
CD,Cast dent,Cast dent,Cast dent,Cast dent,Cast dent,Cast dent,Cast dent,Cast dent,Cast dent
CE,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi
*CH,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera
CH,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.
CHB,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.,Prun spp.
CP,Prun penn,Prun penn,Prun penn,Prun penn,Prun penn,Prun penn,Prun penn,Prun penn,Prun penn
CS,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera,Prun cera
CM,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu,Prun aviu
CR,Thuj juni,Thuj juni,Thuj juni,Thuj juni,Thuj juni,Thuj juni,Thuj juni,Thuj juni,Thuj juni
CT,Magn acum,Magn acum,Magn acum,Magn acum,Magn acum,Magn acum,Magn acum,Magn acum,Magn acum
CW,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi,Thuj occi
E,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer
EMA,Sorb aucu,Sorb aucu,Sorb aucu,Sorb aucu,Sorb aucu,Sorb aucu,Sorb aucu,Sorb aucu,Sorb aucu
ER,Ulmu rubr,Ulmu rubr,Ulmu rubr,Ulmu rubr,Ulmu rubr,Ulmu rubr,Ulmu rubr,Ulmu rubr,Ulmu rubr
EU,Ulmu thom,Ulmu thom,Ulmu thom,Ulmu thom,Ulmu thom,Ulmu thom,Ulmu thom,Ulmu thom,Ulmu thom
EW,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer
EX,Ulmu spp.,Ulmu spp.,Ulmu spp.,Ulmu spp.,Ulmu spp.,Ulmu spp.,Ulmu spp.,Ulmu spp.,Ulmu spp.
*FB,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals
GB,Nyss sylv,Nyss sylv,Nyss sylv,Nyss sylv,Nyss sylv,Nyss sylv,Nyss sylv,Nyss sylv,Nyss sylv
GT,Gled tria,Gled tria,Gled tria,Gled tria,Gled tria,Gled tria,Gled tria,Gled tria,Gled tria
*H,Tsug spp.,Tsug spp.,Tsug spp.,Tsug spp.,Tsug spp.,Tsug spp.,Tsug spp.,Tsug spp.,Tsug spp.
*HAZ,Hana virg,Hana virg,Hana virg,Hana virg,Hana virg,Hana virg,Hana virg,Hana virg,Hana virg
HAZ,Hama virg,Hama virg,Hama virg,Hama virg,Hama virg,Hama virg,Hama virg,Hama virg,Hama virg
HB,Cary cord,Cary cord,Cary cord,Cary cord,Cary cord,Cary cord,Cary cord,Cary cord,Cary cord
*HC,Aesc hypp,Aesc hypp,Aesc hypp,Aesc hypp,Aesc hypp,Aesc hypp,Aesc hypp,Aesc hypp,Aesc hypp
HC,Aesc hipp,Aesc hipp,Aesc hipp,Aesc hipp,Aesc hipp,Aesc hipp,Aesc hipp,Aesc hipp,Aesc hipp
HE,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana
H,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana,Tsug cana
HI,Cary spp.,Cary spp.,Cary spp.,Cary spp.,Cary spp.,Cary spp.,Cary spp.,Cary spp.,Cary spp.
HK,Celt occi,Celt occi,Celt occi,Celt occi,Celt occi,Celt occi,Celt occi,Celt occi,Celt occi
HL,Cary laci,Cary laci,Cary laci,Cary laci,Cary laci,Cary laci,Cary laci,Cary laci,Cary laci
HM,Cary tome,Cary tome,Cary tome,Cary tome,Cary tome,Cary tome,Cary tome,Cary tome,Cary tome
HP,Cary glab,Cary glab,Cary glab,Cary glab,Cary glab,Cary glab,Cary glab,Cary glab,Cary glab
*HS,Cary orav,Cary orav,Cary orav,Cary orav,Cary orav,Cary orav,Cary orav,Cary orav,Cary orav
HS,Cary ovat,Cary ovat,Cary ovat,Cary ovat,Cary ovat,Cary ovat,Cary ovat,Cary ovat,Cary ovat
HT,Crat spp.,Crat spp.,Crat spp.,Crat spp.,Crat spp.,Crat spp.,Crat spp.,Crat spp.,Crat spp.
IW,Ostr virg,Ostr virg,Ostr virg,Ostr virg,Ostr virg,Ostr virg,Ostr virg,Ostr virg,Ostr virg
KK,Gymn dioi,Gymn dioi,Gymn dioi,Gymn dioi,Gymn dioi,Gymn dioi,Gymn dioi,Gymn dioi,Gymn dioi
L,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari
LA,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari
LB,Robi pseu,Robi pseu,Robi pseu,Robi pseu,Robi pseu,Robi pseu,Robi pseu,Robi pseu,Robi pseu
LE,Lari deci,Lari deci,Lari deci,Lari deci,Lari deci,Lari deci,Lari deci,Lari deci,Lari deci
LJ,Lari kaem,Lari kaem,Lari kaem,Lari kaem,Lari kaem,Lari kaem,Lari kaem,Lari kaem,Lari kaem
LL,Tili cord,Tili cord,Tili cord,Tili cord,Tili cord,Tili cord,Tili cord,Tili cord,Tili cord
LO,Robi spp.,Robi spp.,Robi spp.,Robi spp.,Robi spp.,Robi spp.,Robi spp.,Robi spp.,Robi spp.
*M,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.
MB,Acer nigr,Acer nigr,Acer nigr,Acer nigr,Acer nigr,Acer nigr,Acer nigr,Acer nigr,Acer nigr
MF,Acer free,Acer free,Acer free,Acer free,Acer free,Acer free,Acer free,Acer free,Acer free
MH,Acer sacc,Acer sacc,Acer sacc,Acer sacc,Acer sacc,Acer sacc,Acer sacc,Acer sacc,Acer sacc
MM,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu
MN,Acer plat,Acer plat,Acer plat,Acer plat,Acer plat,Acer plat,Acer plat,Acer plat,Acer plat
MO,Moru rubr,Moru rubr,Moru rubr,Moru rubr,Moru rubr,Moru rubr,Moru rubr,Moru rubr,Moru rubr
MP,Acer pens,Acer pens,Acer pens,Acer pens,Acer pens,Acer pens,Acer pens,Acer pens,Acer pens
MR,Acer rubr,Acer rubr,Acer rubr,Acer rubr,Acer rubr,Acer rubr,Acer rubr,Acer rubr,Acer rubr
MS,Acer sach,Acer sach,Acer sach,Acer sach,Acer sach,Acer sach,Acer sach,Acer sach,Acer sach
MT,Acer spic,Acer spic,Acer spic,Acer spic,Acer spic,Acer spic,Acer spic,Acer spic,Acer spic
M,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.
MX,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.,Acer spp.
OB,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr
OBL,Quer velu,Quer velu,Quer velu,Quer velu,Quer velu,Quer velu,Quer velu,Quer velu,Quer velu
OC,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn,Soft unkn
OCH,Quer mueh,Quer mueh,Quer mueh,Quer mueh,Quer mueh,Quer mueh,Quer mueh,Quer mueh,Quer mueh
OH,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn,Hard unkn
OP,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu,Quer palu
OR,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr,Quer rubr
OS,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum,Quer shum
OSW,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico,Quer bico
OW,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba,Quer alba
*OX,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
O,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
OX,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.,Quer spp.
PA,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril,Asim tril
PB,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb
PC,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana,Popu cana
PD,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt,Popu delt
PE,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba,Popu alba
*PH,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx,Popu delx
PH,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr,Popu hybr
