source_val,stand_structure,num_of_layers,layer_1_age,layer_2_age
JIR,C,1,JIR,
VIR,C,1,VIR,
1010,M,2,10,10
1030,M,2,10,30
1050,M,2,10,50
1070,M,2,10,70
1090,M,2,10,90
3010,M,2,30,10
3030,M,2,30,30
3050,M,2,30,50
3070,M,2,30,70
3090,M,2,30,90
5010,M,2,50,10
5030,M,2,50,30
5050,M,2,50,50
5070,M,2,50,70
5090,M,2,50,90
7010,M,2,70,10
7030,M,2,70,30
7050,M,2,70,50
7070,M,2,70,70
7090,M,2,70,90
9010,M,2,90,10
9030,M,2,90,30
9050,M,2,90,50
9070,M,2,90,70
9090,M,2,90,90
10120,M,2,10,120
12010,M,2,120,10
12012,M,2,120,120
12030,M,2,120,30
12050,M,2,120,50
12070,M,2,120,70
12090,M,2,120,90
30120,M,2,30,120
50120,M,2,50,120
70120,M,2,70,120
90120,M,2,90,120
10JIN,M,2,10,JIN
10VIN,M,2,10,VIN
120JI,M,2,120,JIN
120VI,M,2,120,VIN
12JIN,M,2,120,JIN
12VIN,M,2,120,VIN
30JIN,M,2,30,JIN
30VIN,M,2,30,VIN
50JIN,M,2,50,JIN
50VIN,M,2,50,VIN
70JIN,M,2,70,JIN
70VIN,M,2,70,VIN
90JIN,M,2,90,JIN
JIN10,M,2,JIN,10
JIN12,M,2,JIN,120
JIN30,M,2,JIN,30
JIN50,M,2,JIN,50
JIN70,M,2,JIN,70
JIN90,M,2,JIN,90
JINJI,M,2,JIN,JIN
JINVI,M,2,JIN,VIN
VIN10,M,2,VIN,10
VIN12,M,2,VIN,120
VIN30,M,2,VIN,30
VIN50,M,2,VIN,50
VIN70,M,2,VIN,70
VINJI,M,2,VIN,JIN
10,S,1,10,
30,S,1,30,
50,S,1,50,
70,S,1,70,
90,S,1,90,
120,S,1,120,
JIN,S,1,JIN,
VIN,S,1,VIN,
,S,1,,
