source_val,spec1
*AL,Alnu spp.
BB,Betu spp.
BG,Betu popu
BJ,Betu alle
BOJ,Betu alle
BP,Betu papy
C,Thuj occi
CB,Quer alba
CC,Cary cord
CF,Cary orav
CI,Quer bico
CG,Quer macr
CHB,Quer alba
CH,Quer spp.
CHR,Quer rubr
CR,Quer rubr
CT,Prun sero
CV,Prun virg
E,Pice spp.
EA,Acer sach
EB,Pice glau
*EH,Pice rube
EH,Pice hybr
EI,Acer nigr
EN,Pice mari
*EN,Pice spp.
EO,Acer rubr
EPH,Pice rube
EPL,Pice glau
EPN,Pice mari
EPO,Pice abie
EP,Pice spp.
ER,Acer spp.
ERS,Acer sacc
ES,Acer sacc
EU,Pice rube
EV,Pice abie
FA,Frax amer
FEL,Hard unkn
F,Hard unkn
FH,Hard mois
FI,Hard into
*FNC,Hard nonc
*FN,Hard nonc
FNC,Hard nonc
FN,Hard nonc
FO,Frax nigr
FP,Frax penn
FRA,Frax amer
FRN,Frax nigr
FRP,Frax penn
FT,Hard tole
*FU,Hard nonc
FX,Hard unkn
FZ,Hard unkn
G,Pice glau
HG,Fagu gran
MEH,Lari hybr
MEJ,Lari kaem
ME,Lari deci
MEL,Lari lari
MEU,Lari deci
MJ,Lari kaem
ML,Lari lari
MX,Uncl spp.
MR,Soft unkn
MF,Hard unkn
NA,Jugl nigr
NC,Jugl cine
OA,Ulmu rubr
OR,Ulmu spp.
OT,Ulmu thom
OV,Ostr virg
PA,Popu balb
PB,Pinu stro
PC,Pinu rigi
PD,Popu gran
PED,Popu delt
*PEH,Popu delx
PEH,Popu hybr
PE,Popu spp.
PEU,Popu nigr
PG,Pinu bank
PH,Popu delx
PIB,Pinu stro
PID,Pinu rigi
PIG,Pinu bank
PI,Pinu spp.
PIR,Pinu resi
PIS,Pinu sylv
PL,Popu delt
PO,Popu nigr
PR,Pinu resi
PRU,Tsug cana
PS,Pinu sylv
PT,Popu trem
PU,Tsug cana
RES,Soft unkn
R,Soft unkn
RX,Soft unkn
RZ,Soft unkn
SAB,Abie bals
S,Abie pice
SB,Abie bals
SE,Abie pice
TA,Tili amer
THO,Thuj occi
TO,Thuj occi
