source_val,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9
WS,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau,Pice glau
TA,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem,Popu trem
BS,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari,Pice mari
BP,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb,Popu balb
JP,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank,Pinu bank
WB,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy,Betu papy
BF,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals,Abie bals
WE,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer,Ulmu amer
TL,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari,Lari lari
LP,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont,Pinu cont
MM,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu,Acer negu
BO,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr,Quer macr
GA,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn,Frax penn
RP,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi,Pinu resi
SP,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv,Pinu sylv
