rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({species_1, species_2, species_3, species_4, species_5, species_6}, TRUE)",NA,Translate only rows with species info,TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)",Create cas_id using the unique identifier poly_id added during loading.,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moist_reg);notEmpty(soil_moist_reg);matchList(soil_moist_reg,{'D','F','V','M','W'})","mapText(soil_moist_reg, {'D','F','V','M','W'}, {'DRY','MESIC','MESIC','MOIST','WET'})",Maps source value to SOIL_MOIST_REG using lists of values,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,STRUCTURE_RANGE,double precision,"notNull(structure_range);isNumeric(structure_range);isBetween(structure_range,0,100);matchList(structure_type, 'C'|-8887)","multiply(structure_range, 2)",Provided in height range column as the number of metres from the midpoint that describes the height of the complex stand (e.g. 12 m +- 5 m). We therefore need to multiply by 2.,TRUE
5,LAYER,integer,true(),"lyr_layer_translation({height_layer1, height_layer2, height_layer3, height_layer4, height_layer5}, {species_1_layer1, species_2_layer1, species_3_layer1, species_4_layer1, species_5_layer1, species_6_layer1}, {species_1_layer2, species_2_layer2, species_3_layer2, species_4_layer2, species_5_layer2, species_6_layer2}, {species_1_layer3, species_2_layer3, species_3_layer3, species_4_layer3, species_5_layer3, species_6_layer3}, {species_1_layer4, species_2_layer4, species_3_layer4, species_4_layer4, species_5_layer4, species_6_layer4}, {species_1_layer5, species_2_layer5, species_3_layer5, species_4_layer5, species_5_layer5, species_6_layer5}, layer)",Reorder the layers that exist in the polygon by height and return the index of the layer being processed,TRUE
6,LAYER_RANK,integer,notNull(layer_rank);isInt(layer_rank),copyInt(layer_rank),"1 to 4 based on order of precedence (see manual section 5.2 for details). Overstorey layers (S, M or C) are ranked first (in the case of M, the taller layer is given first ranking); then the Understorey layer (U) and finally, the Veteran layer (V) (lowest priority of the treed layers).  If one of the layers (default or M) is non-treed (e.g., shrub), then that layer is given lowest priority.",TRUE
7,CROWN_CLOSURE_UPPER,integer,"notNull(crown_closure_upper);notEmpty(crown_closure_upper|-8888);isInt(crown_closure_upper);isBetween(crown_closure_upper, 0, 9|-9997)","mapInt(crown_closure_upper, {0,1,2,3,4,5,6,7,8,9}, {10,20,30,40,50,60,70,80,90,100})",Maps source value to CROWN_CLOSURE_UPPER using lists of values.,TRUE
8,CROWN_CLOSURE_LOWER,integer,"notNull(crown_closure_lower);notEmpty(crown_closure_lower|-8888);isInt(crown_closure_lower);isBetween(crown_closure_lower, 0, 9|-9997)","mapInt(crown_closure_upper, {0,1,2,3,4,5,6,7,8,9}, {1,11,21,31,41,51,61,71,81,91})",Maps source value to CROWN_CLOSURE_UPPER using lists of values.,TRUE
9,HEIGHT_UPPER,double precision,"notNull(height_upper);isNumeric(height_upper);isGreaterThan(height_upper, 0, FALSE|-9999);isBetween(height_upper,0,100)",copyDouble(height_upper),Copies source value to HEIGHT_UPPER,TRUE
