targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
CAS_ID,str,"notNull(var1,var2,var3,var4,var5|'NULL')","casId1('nb01', src_filename, '', stdlab, ogc_fid)",Concatenates five attributes to create CAS_ID,TRUE
CROWN_CLOSURE_UPPER,int,"notNull(l1cc|-8888);between(l1cc|0|100|-9999)","map(l1cc, '1,2,3,4,5,61,62,63,64', '10,21,51,71,91,10,31,51,71')",Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
CROWN_CLOSURE_LOWER,int,"notNull(l1cc|-8888);between(l1cc|0|100|-9999)","map(l1cc, '1,2,3,4,5,61,62,63,64', '30,50,70,90,100,30,50,80,90')",Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
HEIGHT_UPPER,float,"notNull(l1ht|-8888);greaterThan(l1ht|0.1|-9999a);lesserThan(l1ht|100|-9999b)",copy(l1ht),Copies source value to HEIGHT_UPPER,TRUE
HEIGHT_LOWER,float,"notNull(l1ht|-8888);greaterThan(l1ht|0.1|-9999);lesserThan(l1ht|100|-9999b)",copy(l1ht),Copies source value to HEIGHT_LOWER,TRUE
SPECIES_1,str,"notNull(l1s1|'NULL');match(l1s1|nbSppList|'XXXX ERRC'|TRUE)","lookup(l1s1, nbSppList, casSppList)",Maps source value to SPECIES_1 using lookup table,TRUE
SPECIES_PER_1,int,"notNull(l1pr1|-8888);between(l1pr1|0|100|-9999)",copy(l1pr1),Copies source value to SPECIES_PER_1,TRUE
SPECIES_2,str,"notNull(l1s2|'NULL');match(l1s2|nbSppList|'XXXX ERRC'|TRUE)","lookup(l1s2, nbSppList, casSppList)",Maps source value to SPECIES_2 using lookup table,TRUE
SPECIES_PER_2,int,"notNull(l1pr2|-8888);between(l1pr2|0|100|-9999)",copy(l1pr2),Copies source value to SPECIES_PER_2,TRUE
SPECIES_3,str,"notNull(l1s3|'NULL');match(l1s3|nbSppList|'XXXX ERRC'|TRUE)","lookup(l1s3, nbSppList, casSppList)",Maps source value to SPECIES_3 using lookup table,TRUE
SPECIES_PER_3,int,"notNull(l1pr3|-8888);between(l1pr3|0|100|-9999)",copy(l1pr3),Copies source value to SPECIES_PER_3,TRUE
SPECIES_4,str,"notNull(l1s4|'NULL');match(l1s4|nbSppList|'XXXX ERRC'|TRUE)","lookup(l1s4, nbSppList, casSppList)",Maps source value to SPECIES_4 using lookup table,TRUE
SPECIES_PER_4,int,"notNull(l1pr4|-8888);between(l1pr4|0|100|-9999)",copy(l1pr4),Copies source value to SPECIES_PER_4,TRUE
SPECIES_5,str,"notNull(l1s5|'NULL');match(l1s5|nbSppList|'XXXX ERRC'|TRUE)","lookup(l1s5, nbSppList, casSppList)",Maps source value to SPECIES_5 using lookup table,TRUE
SPECIES_PER_5,int,"notNull(l1pr5|-8888);between(l1pr5|0|100|-9999)",copy(l1pr5),Copies source value to SPECIES_PER_5,TRUE
SPECIES_6,str,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_PER_6,int,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_7,str,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_PER_7,int,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_8,str,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_PER_8,int,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_9,str,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_PER_9,int,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_10,str,false(|na),nothing(),attribute does not occur,FALSE
SPECIES_PER_10,int,false(|na),nothing(),attribute does not occur,FALSE
