targetAttribute,targetAttributeType,validationRules,translationRules,description,descUpToDateWithRules
CAS_ID,str,"notNull(var1, ""NULL"", var2, ""NULL"", var3, ""NULL"", var4, ""NULL"")",concat(),,
SOIL_MOIST_REG,,,,,
STRUCTURE_PER,,,,,
LAYER,,,,,
LAYER_RANK,,,,,
CROWN_CLOSURE_UPPER,int,"notNull(l1cc, -8888);between(l1cc, 0, 100, -9999)","map(l1cc, ""1,2,3,4,5,61,62,63,64"", ""10,21,51,71,91,10,31,51,71"")",,
CROWN_CLOSURE_LOWER,int,"notNull(l1cc, -8888);between(l1cc, 0, 100, -9999)","map(l1cc, ""1,2,3,4,5,61,62,63,64"", ""30,50,70,90,100,30,50,80,90"")",,
HEIGHT_UPPER,float,"notNull(l1ht, -8888);greaterThan(l1ht, 0.1, -9999a);lesserThan(l1ht, 100, -9999b)",copy(l1ht),,
HEIGHT_LOWER,float,"notNull(l1ht, -8888);greaterThan(l1ht, 0.1, -9999);lesserThan(l1ht, 100, -9999b)",copy(l1ht),,
PRODUCTIVE_FOR,,,,,
SPECIES_1,str,"notNull(l1s1, ""NULL"");matchStr(l1s1, nbSppList, ""XXXX ERRC"", TRUE)","map(l1s1, nbSppList, casSppList)",,
SPECIES_PER_1,int,"notNull(l1pr1, -8888);between(l1pr1, 0, 100, -9999)",copy(l1pr1),,
SPECIES_2,str,"notNull(l1s2, ""NULL"");matchStr(l1s2, nbSppList, ""XXXX ERRC"", TRUE)","map(l1s2, nbSppList, casSppList)",,
SPECIES_PER_2,int,"notNull(l1pr2, -8888);between(l1pr2, 0, 100, -9999)",copy(l1pr2),,
SPECIES_3,str,"notNull(l1s3, ""NULL"");matchStr(l1s3, nbSppList, ""XXXX ERRC"", TRUE)","map(l1s3, nbSppList, casSppList)",,
SPECIES_PER_3,int,"notNull(l1pr3, -8888);between(l1pr3, 0, 100, -9999)",copy(l1pr3),,
SPECIES_4,str,"notNull(l1s4, ""NULL"");matchStr(l1s4, nbSppList, ""XXXX ERRC"", TRUE)","map(l1s4, nbSppList, casSppList)",,
SPECIES_PER_4,int,"notNull(l1pr4, -8888);between(l1pr4, 0, 100, -9999)",copy(l1pr4),,
SPECIES_5,str,"notNull(l1s5, ""NULL"");matchStr(l1s5, nbSppList, ""XXXX ERRC"", TRUE)","map(l1s5, nbSppList, casSppList)",,
SPECIES_PER_5,int,"notNull(l1pr5, -8888);between(l1pr5, 0, 100, -9999)",copy(l1pr5),,
SPECIES_6,NA,NA,NA,NA,NA
SPECIES_PER_6,NA,NA,NA,NA,NA
SPECIES_7,NA,NA,NA,NA,NA
SPECIES_PER_7,NA,NA,NA,NA,NA
SPECIES_8,NA,NA,NA,NA,NA
SPECIES_PER_8,NA,NA,NA,NA,NA
SPECIES_9,NA,NA,NA,NA,NA
SPECIES_PER_9,NA,NA,NA,NA,NA
SPECIES_10,NA,NA,NA,NA,NA
SPECIES_PER_10,NA,NA,NA,NA,NA
ORIGIN_UPPER,int,,,,
ORIGIN_LOWER,int,,,,
SITE_CLASS,text,,,,
SITE_INDEX,text,,,,
