rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({species_1, species_2, species_3, species_4}, TRUE)",NA,"Translate only rows where sp1, sp2, sp3, sp4 or sp5 is not empty",TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moisture_regime);matchList(soil_moisture_regime,{'d','D','w','W'})","mapText(soil_moisture_regime, {'d','D','w','W'}, {'DRY','DRY','WET','WET'})",Attribute does not occur,TRUE
3,STRUCTURE_PER,integer,true(),copyInt(100),No horizontal structure so structure percent is 100,TRUE
4,STRUCTURE_RANGE,double precision,false(),nothingDouble(),No complex structure,TRUE
5,LAYER,integer,true(),"ns_nsi01_countOfNotNull({species_1_layer1, species_2_layer1, species_3_layer1, species_4_layer1 }, {species_1_layer2}, fornon, layer)",Counts number of layers based on the presence of a not null value for attributes representing each layer. Custom function decides if NFL layer is present based on rules in NFL table.,TRUE
6,LAYER_RANK,integer,false(),nothingInt(),Attribute does not occur,TRUE
7,CROWN_CLOSURE_UPPER,integer,"notNull(density_code);notEmpty(density_code|-8888);isNumeric(density_code);matchList(density_code,{1,2,3,4,5,6,7,8,9}|-9997)","mapInt(density_code, {1,2,3,4,5,6,7,8,9}, {20,40,60,75,90,105,120,2000})",Maps source value to CROWN_CLOSURE_UPPER using lists of values,TRUE
8,CROWN_CLOSURE_LOWER,integer,"notNull(density_code);notEmpty(density_code|-8888);isNumeric(density_code);matchList(density_code,{1,2,3,4,5,6,7,8,9}|-9997)","mapInt(density_code, {1,2,3,4,5,6,7,8,9}, {20,40,60,75,90,105,120,2000})",Maps source value to CROWN_CLOSURE_LOWER using lists of values,TRUE
9,HEIGHT_UPPER,double precision,"notNull(height_class);notEmpty(height_class|-8888);isNumeric(height_class);matchList(height_class,{1,2,3,4,5,6,7,8}|-9997)","mapInt(height_class, {1,2,3,4,5,6,7,8}, {3.5,6.5,9.5,12.5,15.5,18.5,21.5,100})",Maps source values to HEIGHT_LOWER,TRUE
10,HEIGHT_LOWER,double precision,"notNull(height_class);notEmpty(height_class|-8888);isNumeric(height_class);matchList(height_class,{1,2,3,4,5,6,7,8}|-9997)","mapInt(height_class, {1,2,3,4,5,6,7,8}, {0,3.6,6.6,9.6,12.6,15.6,18.6,21.6})",Maps source values to HEIGHT_UPPER,TRUE
11,PRODUCTIVITY,text,"matchList(productivity, {33,38,39}|UNKNOWN_VALUE)","mapText(productivity, {33,38,39}, {'NON_PRODUCTIVE_FOREST','NON_PRODUCTIVE_FOREST','NON_PRODUCTIVE_FOREST'})",Brush and two alder classes are inlcuded in the fornon attribute. Note that these are not explicitly labelled as non-productive in the manual but we think they fit better here than in the nfl table.,TRUE
12,PRODUCTIVITY_TYPE,text,"matchList(productivity, {33,38,39}|UNKNOWN_VALUE)","mapText(productivity, {33,38,39}, {'SCRUB_SHRUB','ALDER','ALDER'})",Brush and two alder classes are inlcuded in the fornon attribute. Note that these are not explicitly labelled as non-productive in the manual but we think they fit better here than in the nfl table.,TRUE
13,SPECIES_1,text,"notNull(species_comp);notEmpty(species_comp);matchTable(species_comp, 'translation', 'species_code_mapping', 'nl_species_codes', 'TRUE')","lookupText(species_comp, 'translation', 'species_code_mapping', 'nl_species_codes', 'casfri_species_codes', 'TRUE')",Maps source value to SPECIES_1 using lookup table,TRUE
14,SPECIES_PER_1,integer,"notNull(species_comp);matchList(species_comp, {1,2,3,4,5,6,7,8,9,10,'S','SH','HS','H'}|-9997)","mapInt(species_comp, {1,2,3,4,5,6,7,8,9,10,'S','SH','HS','H'}, {10,20,30,40,50,60,70,80,90,100,85,60,60,85})",Maps source value to SPECIES_PER_1 by multiplying by 10,TRUE
15,SPECIES_2,text,"notNull(species_comp);notEmpty(species_comp);matchTable(species_comp, 'translation', 'species_code_mapping', 'ns2_species_codes', 'TRUE')","lookupText(species_comp, 'translation', 'species_code_mapping', 'nl_species_codes', 'casfri_species_codes', 'TRUE')",Maps source value to SPECIES_2 using lookup table. Uses a second column in the lookup table to allow the layer 2 source values to be translated to different target values for species 1 and species 2.,TRUE
16,SPECIES_PER_2,integer,"notNull(species_comp);matchList(species_comp, {1,2,3,4,5,6,7,8,9,10,'S','SH','HS','H'}|-9997)","mapInt(species_comp, {1,2,3,4,5,6,7,8,9,10,'S','SH','HS','H'}, {10,20,30,40,50,60,70,80,90,100,15,40,40,15})",Maps source value to SPECIES_PER_2 by multiplying by 10,TRUE
17,SPECIES_3,text,"notNull(species_comp);notEmpty(species_comp);matchTable(species_comp, 'translation', 'species_code_mapping', 'ns_species_codes', 'TRUE')","lookupText(species_comp, 'translation', 'species_code_mapping', 'nl_species_codes', 'casfri_species_codes', 'TRUE')",Maps source value to SPECIES_3 using lookup table,TRUE
18,SPECIES_PER_3,integer,"notNull(species_comp);isInt(species_comp|-9997);isBetween(species_per_comp, 1, 10|-9997)","mapInt(species_comp, {1,2,3,4,5,6,7,8,9,10}, {10,20,30,40,50,60,70,80,90,100})",Maps source value to SPECIES_PER_3 by multiplying by 10. Layer 2 only has 2 species so rules for species 3 and 4 only need to account for layer 1.,TRUE
