rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notNull(invproj_id);notNull(fc_id_1);notNull(ogc_fid),"padConcat({'nt01', 'NF_FORCOV', invproj_id, fc_id_1, ogc_fid}, {'4','15','10','10','7'}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,ORIG_STAND_ID,text,"notNull(fc_id_1);isInt(fc_id_1);isGreaterThan(fc_id_1,'0')",copyText(fc_id_1),Copies source value to ORIG_STAND_ID,TRUE
3,STAND_STRUCTURE,text,"notNull(structur);notEmpty(structur);matchList(structur,{'C','H','M','S'})",copyText(structur),Copies source value to STAND_STRUCTURE,TRUE
4,NUM_OF_LAYERS,integer,false(),nothingInt(),Copies value 1 to NUM_OF_LAYERS,TRUE
5,IDENTIFICATION_ID,integer,true(),copyInt('1'),Copies value 1 to IDENTIFICATION_ID,TRUE
6,MAP_SHEET_ID,text,false(),nothingText(),Copies source value to MAP_SHEET_ID,TRUE
7,CASFRI_AREA,double precision,"geoIsValid(wkb_geometry, TRUE)",geoArea(wkb_geometry),Validates geometry then calculates area,TRUE
8,CASFRI_PERIMETER,double precision,"geoIsValid(wkb_geometry, TRUE)",geoPerimeter(wkb_geometry),Validates geometry then calculates perimeter,TRUE
9,SRC_INV_AREA,double precision,"notNull(areaha);isNumeric(areaha);isGreaterThan(areaha,'0')",copyDouble(areaha),Copies source value to SRC_INV_AREA,TRUE
10,STAND_PHOTO_YEAR,integer,"notNull(ref_year);isInt(ref_year);isBetween(ref_year, '1900', '2020')",copyInt(ref_year),Copies source value to STAND_PHOTO_YEAR,TRUE
