rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notEmpty({species_1, species_2, species_3, species_4}, TRUE)",NA,"Translate only rows where sp1, sp2, sp3 or sp4 is not empty", TRUE
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,SOIL_MOIST_REG,text,"notNull(soil_moist_reg);notEmpty(soil_moist_reg);matchList(soil_moist_reg,{'vx','x','sx','sm','m','sg','hg','sd','hd'})","mapText(soil_moist_reg, {'vx','x','sx','sm','m','sg','hg','sd','hd'}, {'D','D','D','F','F','M','M','W','W'})",Maps source value to SOIL_moisture using lists of values,TRUE
3,STRUCTURE_PER,integer,"notNull(structure_per);isInt(structure_per);isBetween(structure_per,0,9)","mapInt(structure_per, {0,1,2,3,4,5,6,7,8,9}, {100,10,20,30,40,50,60,70,80,90})",Copy source value to STRUCTURE_PER and multiply by 10. Source value 0 is translated to 100.,TRUE
4,LAYER,integer,true(),"fvi01_countOfNotNull({species_1_layer1, species_2_layer1, species_3_layer1, species_4_layer1}, {species_1_layer2, species_2_layer2, species_3_layer2, species_4_layer2}, {typeclas_layer1}, {typeclas_layer2}, layer, 'FALSE')","Count layers up to max_layer_number which is set by the createMappingsView() function in the workflow. Dummy variables are used here and in attribute_dependencies.csv to avoid two sets of values (sp1 and minsp1) being mapped to the same column (sp1). First set of dummy variables are overstory species 1 - 4, then understory species 1 - 4, then overstory nfl, then understory nfl. Custom helper function is a wrapper around countOfNotNull that first checks if the polygon-level type_class attributes have NFL values using matchList.",TRUE
5,LAYER_RANK,integer,false(),nothingInt(),No rank attribute,TRUE
6,CROWN_CLOSURE_UPPER,integer,"notNull(crown_closure_upper);isInt(crown_closure_upper);matchList(typeclas, {'TC','TB','TM'}|-8887);isBetween(crown_closure_upper,0,100)",copyInt(crown_closure_upper),Copy source value to CROWN_CLOSURE_UPPER if layer type is forested,TRUE
7,CROWN_CLOSURE_LOWER,integer,"notNull(crown_closure_lower);isInt(crown_closure_lower);matchList(typeclas, {'TC','TB','TM'}|-8887);isBetween(crown_closure_lower,0,100)",copyInt(crown_closure_lower),Copy source value to CROWN_CLOSURE_UPPER if type is forested,TRUE
8,HEIGHT_UPPER,double precision,"notNull(height_upper);isNumeric(height_upper);matchList(typeclas, {'TC','TB','TM'}|-8887);isBetween(height_upper,1,100)",copyDouble(height_upper),Copies source value to HEIGHT_UPPER if type is forested,TRUE
9,HEIGHT_LOWER,double precision,"notNull(height_lower);isNumeric(height_lower);matchList(typeclas, {'TC','TB','TM'}|-8887);isBetween(height_lower,1,100)",copyDouble(height_lower),Copies source value to HEIGHT_LOWER if type is forested,TRUE
