rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
1,CAS_ID,text,notEmpty(inventory_id);notNull(polyid);notNull(src_filename);notNull(ogc_fid),"padConcat({inventory_id, src_filename, '', polyid, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID,TRUE
2,INVENTORY_ID,text,notEmpty(inventory_id),copyText(inventory_id),Copies source value,TRUE
3,ORIG_STAND_ID,text,notNull(polyid),copyText(polyid),Copies source value to ORIG_STAND_ID,TRUE
4,STAND_STRUCTURE,text,"notNull(vert);matchList(vert,{'SI','SV','TT','TV',CX'})","mapText(vert, {'SI','SV','TT','TV',CX'}, {'S','S','M','M','C'})",Maps source value to STAND_STRUCTURE using lists of values,TRUE
5,NUM_OF_LAYERS,integer,true(),"countOfNotNull({ospcomp}, {uspcomp}, {polytype}, 2)","Counts number of layers based on the presence of a not null value for attributes representing each layer. Assumes valid LYR1 row must have ospcomp, LYR2 must have uspcomp, NFL1 must have polytype. NFL only occurs if there is no forest LYR info. Note that polytype has value FOR when there is forest info, so max_layer number should be set to 2. When ospcomp and uspcomp are empty, polytype is always an NFL value so layer count will always be 1.",TRUE
6,MAP_SHEET_ID,text,false(),nothingText(),Attribute does not occur,TRUE
7,CASFRI_AREA,double precision,"geoIsValid(wkb_geometry, TRUE)",geoArea(wkb_geometry),Validates geometry then calculates area,TRUE
8,CASFRI_PERIMETER,double precision,"geoIsValid(wkb_geometry, TRUE)",geoPerimeter(wkb_geometry),Validates geometry then calculates perimeter,TRUE
9,SRC_INV_AREA,double precision,"notNull(area);isNumeric(area);isGreaterThan(area, 0)",copyDouble(area),Copies source value to SRC_INV_AREA,TRUE
10,STAND_PHOTO_YEAR,integer,"notNull(yrsource);isInt(yrsource);isBetween(yrsource, 1900, 2020)",copyInt(yrsource),Copies source value to STAND_PHOTO_YEAR,TRUE
