rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"matchList(dist_type_1,{'DEPH','DEPHARV','FCUT','FIRSTCUT','FRSTPASS','FTGP','FTGPLANT','FTGS','FTGSEED','IMPR','IMPROVE','LASTCUT','LCUT','LOWM','LOWMGMT','LOWMGT','NEWP','NEWPLANT','NEWS','NEWSEED','PCUT','PREPCUT','SCUT','SEEDCUT','SEEDTREE','SELECT','SLCT','STRIPCUT'})",NA,Translate only rows where devstage has a disturbance value, TRUE
1,CAS_ID,text,notEmpty(inventory_id);notEmpty(src_filename);notNull(orig_stand_id_1);notNull(orig_stand_id_2);notNull(ogc_fid),"padConcat({inventory_id, src_filename, orig_stand_id_1, orig_stand_id_2, ogc_fid}, {4,15,10,10,7}, {'x','x','x','x','x'}, '-', TRUE, TRUE)","Concatenates five attributes to create CAS_ID. Note that polyid in ON02 can have up to 19 characters. To trace back to the source polyon, we split this into two strings during loading, polyid_1_10, and polyid_11_20. Concatenating these and dropping any x characters will return the original polyid identifier.",TRUE
2,DIST_TYPE_1,text,"notNull(dist_type_1);notEmpty(dist_type_1);matchList(dist_type_1,{'DEPH','DEPHARV','FCUT','FIRSTCUT','FRSTPASS','FTGP','FTGPLANT','FTGS','FTGSEED','IMPR','IMPROVE','LASTCUT','LCUT','LOWM','LOWMGMT','LOWMGT','NEWP','NEWPLANT','NEWS','NEWSEED','PCUT','PREPCUT','SCUT','SEEDCUT','SEEDTREE','SELECT','SLCT','STRIPCUT'})","mapText(dist_type_1, {'DEPH','DEPHARV','FCUT','FIRSTCUT','FRSTPASS','FTGP','FTGPLANT','FTGS','FTGSEED','IMPR','IMPROVE','LASTCUT','LCUT','LOWM','LOWMGMT','LOWMGT','NEWP','NEWPLANT','NEWS','NEWSEED','PCUT','PREPCUT','SCUT','SEEDCUT','SEEDTREE','SELECT','SLCT','STRIPCUT'}, {'CUT','CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT','CUT','CUT','CUT','CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT','CUT','CUT','CUT','CUT','CUT','CUT','CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT','PARTIAL_CUT'})",Maps source value to DIST_TYPE_1 using lists of values,TRUE
3,DIST_YEAR_1,integer,"notNull(dist_year_1);isInt(dist_year_1);isBetween(dist_year_1, 1000, 2020)",copyInt(dist_year_1),Copies source value to DIST_YEAR_1,TRUE
4,DIST_EXT_UPPER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
5,DIST_EXT_LOWER_1,integer,false(),nothingInt(),Attribute does not occur,TRUE
6,DIST_TYPE_2,text,false(),nothingText(),Attribute does not occur,TRUE
7,DIST_YEAR_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
8,DIST_EXT_UPPER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
9,DIST_EXT_LOWER_2,integer,false(),nothingInt(),Attribute does not occur,TRUE
10,DIST_TYPE_3,text,false(),nothingText(),Attribute does not occur,TRUE
11,DIST_YEAR_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
12,DIST_EXT_UPPER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
13,DIST_EXT_LOWER_3,integer,false(),nothingInt(),Attribute does not occur,TRUE
14,LAYER,integer,false(|-8886),nothingInt(),Disturbance layer is unknown,TRUE
