rule_id,target_attribute,target_attribute_type,validation_rules,translation_rules,description,desc_uptodate_with_rules
0,ROW_TRANSLATION_RULE,NA,"notNull({shrln,v1pcm,v2pcm,v3pcm,v4pcm,v5pcm,v6pcm,v7pcm}, TRUE);matchList({shrln,v1pcm,v2pcm,v3pcm,v4pcm,v5pcm,v6pcm,v7pcm},{'Z','U','1', '2', '3', '4', '5', '6', '7', '13', '17', '18', '98', '99', '0', '416'})",NA,Translate only rows where shrln or vegetation communities have precise values.,FALSE
1,CAS_ID,text,notEmpty(inventory_id);notNull(src_filename);notNull(map_sheet_id);notNull(orig_stand_id);notNull(ogc_fid),"padConcat({inventory_id, src_filename, map_sheet_id, orig_stand_id, ogc_fid}, {4,15,10,10,7}, {'x','x','x','0','0'}, '-', 'TRUE', 'TRUE')",Concatenates five attributes to create CAS_ID.,FALSE
2,SOIL_MOIST_REG,text,"notNull(soil_moist_reg);notEmpty(soil_moist_reg);matchList(soil_moist_reg,{'vx','x','sx','sm','m','sg','hg','sd','hd'})","mapText(soil_moist_reg, {'vx','x','sx','sm','m','sg','hg','sd','hd'}, {'DRY','DRY','DRY','MESIC','MESIC','MOIST','MOIST','WET','WET'})",Maps source value to SOIL_MOIST_REG using lists of values.,FALSE
3,STRUCTURE_PER,integer,"notNull(stand_structure);matchList(stand_structure, {'C', 'H', 'M', 'S', 'V'}|-8887);notNull(structure_per);isInt(structure_per);isBetween(structure_per,0,9)","fvi01_structure_per(stand_structure, structure_per)","Note that every polygon is either LYR or NFL, not both. If stand structure is C, V, S or M, return 100. If stand structure is H, return structure_val multiplied by 10. If structure is horizontal and percent is zero, return 100.",FALSE
4,LAYER,integer,true(),"countOfNotNull({l1_spcomp}, {l2_spcomp}, {l3_spcomp}, {l4_spcomp}, {l5_spcomp}, {l6_spcomp}, {l7_spcomp},{shlrn}, layer, 'TRUE')","Count layers up to max_layer_number which is set by the createMappingsView() function in the workflow. Counts layer 1 if typeclass is not an NFL class and species 1, 2, 3 or 4 is present. Counts layer 2 if mintypeclass is not an nfl class and species 1, 2, 3 or 4 is present. Counts layer 1 and layer 2 nfl if nfl codes is present.",FALSE
5,LAYER_RANK,integer,false(),nothingInt(),No rank attribute.,FALSE
6,CROWN_CLOSURE_UPPER,integer,false(),nothingInt(),Attribute does not occur,FALSE
7,CROWN_CLOSURE_LOWER,integer,false(),nothingInt(),Attribute does not occur,FALSE
8,HEIGHT_UPPER,double precision,false(),nothingDouble(),Attribute does not occur,FALSE
9,HEIGHT_LOWER,double precision,false(),nothingDouble(),Attribute does not occur,FALSE
10,NAT_NON_VEG,text,"notNull(typeclas);notEmpty(typeclas);matchList(typeclas,{'BE','BR','BU','CB','ES','LA','LL','LS','MO','MU','PO','RE','RI','RO','RS','RT','SW'})","mapText(typeclas, {'BE','BR','BU','CB','ES','LA','LL','LS','MO','MU','PO','RE','RI','RO','RS','RT','SW'}, {'BEACH','ROCK_RUBBLE','EXPOSED_LAND','EXPOSED_LAND','EXPOSED_LAND','LAKE','EXPOSED_LAND','WATER_SEDIMENT','EXPOSED_LAND','EXPOSED_LAND','LAKE','LAKE','RIVER','ROCK_RUBBLE','WATER_SEDIMENT','ROCK_RUBBLE','OCEAN'})",Maps source value to NAT_NON_VEG using list of values,FALSE
11,NON_FOR_ANTH,text,false(),nothingText(),Attribute does not occur,FALSE
12,NON_FOR_VEG,text,"hasCountOfNotNull(v1pcm,v2pcm,v3pcm,v4pcm,v5pcm,v6pcm,v7pcm, 1, 'FALSE'|NOT_APPLICABLE)","mapText(typeclas, {'BL','BM','BY','HE','HF','HG','SL','ST'}, {'BRYOID','BRYOID','BRYOID','HERBS','FORBS','GRAMINOIDS','LOW_SHRUB','TALL_SHRUB'})",Maps source value to NON_FOR_VEG using list of values.,FALSE
